active,passive,verb
Somebody arranged something.,Output: Something was arranged by somebody.,arrange
Something arranged someone.,Output: Someone was arranged by something.,arrange
Somebody installed something.,The something was installed by somebody.,install
Something was installed somewhere.,"Output: Somewhere, something was installed.",install
Somebody positioned something. ,Output: Something was positioned by somebody.,position
Something positioned someone.,Output: Someone was positioned by something.,position
Somebody dangled something from the tree.,The something was dangled from the tree by somebody.,dangle
Something dangled in front of someone.,The cheese was eaten by the mouse.,dangle
Somebody dumped something.,Output: Something was dumped by somebody.,dump
Something dumped someone.,Output: Someone was dumped by something.,dump
Somebody hammered something.,Output: Something was hammered by somebody.,hammer
Something hammered someone.,"The sentence can be passivized as follows: 

Output: Someone was hammered by something.",hammer
Somebody scooped something from the bowl.,The bowl was scooped from by somebody.,scoop
Something scooped someone off the ground.,Output: Someone was scooped off the ground by something.,scoop
Somebody shovels something.,Output: Something is shoveled by somebody.,shovel
"Somewhere, something shovels someone.","Somewhere, someone is being shoveled by something.",shovel
Somebody poured something into the cup.,Output: Something was poured into the cup by somebody.,pour
Something poured over someone during the rainstorm.,Output: Someone was poured over by something during the rainstorm.,pour
Somebody spilled something.,Output: Something was spilled by somebody.,spill
Something spilled somewhere.,Something was spilled somewhere.,spill
Somebody coiled something around the tree.,The tree was coiled around by somebody.,coil
Something coiled around someone in the shadows.,The shadows were coiled around someone by something.,coil
Somebody twisted something. ,Output: Something was twisted by somebody.,twist
Something twisted someone.,"The sentence ""Something twisted someone."" can be passivized as: ""Someone was twisted by something.""",twist
Somebody filled something.,Output: Something was filled by somebody.,fill
Something filled somewhere.,Output: Somewhere was filled by something.,fill
Somebody stained something.,The something was stained by somebody.,stain
Something stained someone.,Output: Someone was stained by something.,stain
Somebody put butter on something.,The butter was put on something by somebody.,butter
Someone left something out of the butter.,The butter was left out of by someone.,butter
Somebody polished something.,Output: Something was polished by somebody.,polish
Something polished someone.,Output: Someone was polished by something.,polish
Somebody pocketed something.,Something was pocketed by somebody.,pocket
Something fell out of someone's pocket.,Output: Something was fallen out of someone's pocket.,pocket
Somebody put something in the pot. ,The pot was filled with something by somebody.,pot
Someone found something somewhere near the pot.,Something was found by someone somewhere near the pot.,pot
Somebody deleted something.,Output: Something was deleted by somebody.,delete
Something deleted someone.,"The sentence ""Something deleted someone"" can be passivized as follows:

Output: Someone was deleted by something.",delete
Somebody cleared something from the table.  ,Output: Something was cleared from the table by somebody.,clear
Something cleared somewhere in the distance.  ,Output: Something was cleared somewhere in the distance.,clear
Somebody emptied something.,Output: Something was emptied by somebody.,empty
Something emptied somewhere.,Output: Somewhere was emptied by something.,empty
Somebody rinsed something.,Something was rinsed by somebody.,rinse
Something rinsed someone.,The sentence can be passivized as: Someone was rinsed by something.,rinse
Somebody swept somewhere.,Output: Somewhere was swept by somebody.,sweep
Something swept someone away.,The sentence in passive voice would be: Someone was swept away by something.,sweep
Somebody stole something.,Output: Something was stolen by somebody.,steal
Something stole someone.,Output: Someone was stolen by something.,steal
Somebody took something.,Something was taken by somebody.,take
Something took someone.,Output: Someone was taken by something.,take
Somebody posted something.,Output: Something was posted by somebody.,post
Something posted someone.,Output: Someone was posted by something.,post
Somebody sent something.,The something was sent by somebody.,send
Something sent someone.,Output: Someone was sent by something.,send
Somebody bounced something.,Output: Something was bounced by somebody.,bounce
Something bounced somewhere.,Output: Somewhere was bounced by something.,bounce
Somebody brought something.,Output: Something was brought by somebody.,bring
Something brought somebody.,Output: Somebody was brought by something.,bring
Somebody drove somewhere.,Output: Somewhere was driven by somebody.,drive
Something drove someone.,Output: Someone was driven by something.,drive
Somebody rowed somewhere.,The sentence in passive voice is: Somewhere was rowed by somebody.,row
Something rowed somebody.,"The sentence ""Somebody was rowed by something.""",row
Somebody sold something.  ,Something was sold by somebody.,sell
Someone sold somewhere.,The output for the given sentence would be: Somewhere was sold by someone.,sell
Somebody bought something.,Output: Something was bought by somebody.,buy
Something bought somebody.,"The sentence ""Something bought somebody"" can be passivized as follows:

Output: Somebody was bought by something.",buy
Somebody earned something.,Output: Something was earned by somebody.,earn
Something earned someone.,Output: Someone was earned by something.,earn
Somebody borrowed something from the library.,The library was borrowed from by somebody.,borrow
Something borrowed someone’s attention for a moment.,The attention was borrowed by something for a moment.,borrow
Somebody seized something.,The something was seized by somebody.,seize
Something seized someone.,"The sentence ""Something seized someone"" can be passivized as follows:

Output: Someone was seized by something.",seize
Somebody learned something new.,Output: Something new was learned by somebody.,learn
Something taught someone an important lesson.,An important lesson was taught to someone by something.,learn
Somebody memorized something.,Output: Something was memorized by somebody.,memorize
Something memorized someone.,Output: Someone was memorized by something.,memorize
Somebody studied something.,Output: Something was studied by somebody.,study
Something studied someone.,Output: Someone was studied by something.,study
Somebody found a grip on something.,The grip was found on something by somebody.,grip
Something lost its grip on someone.,The grip was lost on someone by something.,grip
Somebody keeps something.  ,Output: Something is kept by somebody.,keep
Something keeps someone.,Output: Someone is kept by something.,keep
Somebody stored something.  ,Output: Something was stored by somebody.,store
Something stored somewhere.,"Output: Somewhere, something was stored.",store
Somebody blocked something.,Output: Something was blocked by somebody.,block
Something blocked someone.,Something was blocked by someone.,block
Somebody saw something.,"The passive version of the sentence ""Somebody saw something"" is: ""Something was seen by somebody.""",saw
Someone saw somewhere.,Output: Somewhere was seen by someone.,saw
Somebody carved something into the wood.,The wood was carved by somebody.,carve
Something carved itself into the landscape.,The landscape was carved by something.,carve
Somebody chopped something.,Output: Something was chopped by somebody.,chop
Something chopped someone.,The person was chopped by something.,chop
Somebody mashed something.,Output: Something was mashed by somebody.,mash
Something mashed someone.,Output: Someone was mashed by something.,mash
Somebody sliced something.,Output: Something was sliced by somebody.,slice
Something sliced someone.,"The sentence ""Something sliced someone"" can be passivized as: ""Someone was sliced by something.""",slice
Somebody buttoned something.,Output: Something was buttoned by somebody.,button
Something buttoned somebody.,Something was buttoned by somebody.,button
Somebody laced something with care.,The something was laced with care by somebody.,lace
Something laced somewhere was left unattended.,The lane was left unattended by something laced somewhere.,lace
Somebody locked something.,Output: Something was locked by somebody.,lock
Something locked someone.,Output: Someone was locked by something.,lock
Somebody sealed something.,Output: Something was sealed by somebody.,seal
Something sealed someone.,Output: Someone was sealed by something.,seal
Somebody stapled something to the report.,Something was stapled to the report by somebody.,staple
