active,passive,verb,bad,exclude,match
The hammock dangled in the breeze.,The breeze held the hammock.,dangle,x,,FALSE
The shirt dangled from the line.,The shirt was dangled from the line.,dangle,x,,FALSE
The keys dangled from a hook.,The keys were dangled from a hook.,dangle,x,,FALSE
She spilled the coffee.,The coffee was spilled by her.,spill,x,,FALSE
He spilled the beans.,The beans were spilled by him.,spill,x,,FALSE
She twisted the fabric.  ,The fabric was twisted by her.,twist,x,,FALSE
She buttered the pancakes.,The pancakes were buttered by her.,butter,x,,FALSE
They buttered the corn.,The corn was buttered by them.,butter,x,,FALSE
She stole the show.  ,The show was stolen by her.,steal,x,,FALSE
He stole a glance at her.  ,A glance was stolen at her by him.,steal,x,,FALSE
She posted a letter.,The letter was posted by her.,post,x,,FALSE
He posted a photo.,The photo was posted by him.,post,x,,FALSE
They posted the event online.,The event was posted online by them.,post,x,,FALSE
I sent a letter to my friend.,The letter was sent to my friend by me.,send,x,,FALSE
She borrowed a pen.,The pen was borrowed by her.,borrow,x,,FALSE
He borrowed a camera.,The camera was borrowed by him.,borrow,x,,FALSE
She memorized her lines for the play.,The lines for the play were memorized by her.,memorize,x,,FALSE
She studied the map.,The map was studied by her.,study,x,,FALSE
They studied the art history.,The art history was studied by them.,study,x,,FALSE
She sliced the tomatoes.,The tomatoes were sliced by her.,slice,x,,FALSE
They sliced the roast beef.,The roast beef was sliced by them.,slice,x,,FALSE
She buttoned the shirt.,The shirt was buttoned by her.,button,x,,FALSE
He buttoned the coat.,The coat was buttoned by him.,button,x,,FALSE
She unbolted the gate.,The gate was unbolted by her.,unbolt,x,,FALSE
He unbolted the lock.,The lock was unbolted by him.,unbolt,x,,FALSE
She unlocked the cabinet.,The cabinet was unlocked by her.,unlock,x,,FALSE
She wrote a letter.  ,The letter was written by her.,write,x,,FALSE
They wrote a report.  ,The report was written by them.,write,x,,FALSE
The community grew a park.,The park was grown by the community.,grow,x,,FALSE
The teacher made an example.,The example was made by the teacher.,make,x,,FALSE
She kneaded the bread for an hour.,The bread was kneaded by her for an hour.,knead,x,,FALSE
The lake froze solid.,The lake was frozen solid.,freeze,x,,FALSE
I froze the berries.,The berries were frozen by me.,freeze,x,,FALSE
She froze a cake.,The cake was frozen by her.,freeze,x,,FALSE
The audience chanted for an encore.,The encore was chanted for by the audience.,chant,x,,FALSE
The monks chanted in unison.,The monks were chanted in unison.,chant,x,,FALSE
The teacher hummed a lesson.,The lesson was hummed by the teacher.,hum,x,,FALSE
The musician hummed a beat.,A beat was hummed by the musician.,hum,,,FALSE
The scientist searched for answers.  ,The answers were searched for by the scientist.,search,x,what is this,FALSE
The teacher asked a question.,The question was asked by the teacher.,ask,x,,FALSE
She asked her friend.,The friend was asked by her.,ask,x,,FALSE
The child asked for help.,The help was asked for by the child.,ask,x,,FALSE
He asked the audience a puzzle.,The puzzle was asked to the audience by him.,ask,x,,FALSE
They asked the waiter for recommendations.,The waiter was asked for recommendations by them.,ask,x,,FALSE
A neighbor's dog barked all night.,The dog was barked at by a neighbor all night.,bark,x,,FALSE
The guard dog barked loudly.,The guard dog was loudly barked at.,bark,x,,FALSE
The dog barked at a squirrel.,The squirrel was barked at by the dog.,bark,x,,FALSE
The dog barked during the thunderstorm.,The thunderstorm was barked at by the dog.,bark,x,,FALSE
The large dog barked fiercely.,The large dog was barked at fiercely.,bark,x,,FALSE
The puppy growled softly in its sleep.,The puppy was growled at softly in its sleep.,growl,x,,FALSE
The crowd growled in frustration.,The frustration was growled at by the crowd.,growl,x,,FALSE
The crowd roared during the concert.,The concert was roared at by the crowd.,roar,x,,FALSE
The engine roared with power.,The engine was roared with power.,roar,x,,FALSE
The dragon roared with fury.,The dragon was roared at with fury.,roar,x,,FALSE
The audience roared with laughter.,The laughter was roared by the audience.,roar,x,,FALSE
The child screamed a loud noise.,The loud noise was screamed by the child.,scream,x,,FALSE
The horror movie screamed terror.,The terror was screamed by the horror movie.,scream,x,,FALSE
The dog screamed in pain.,The pain was screamed by the dog.,scream,x,,FALSE
The athlete sucked air after the race.,The air was sucked by the athlete after the race.,suck,x,,FALSE
The student consumed a large textbook.  ,The large textbook was consumed by the student.,consume,x,,FALSE
The mother cooked a birthday cake.  ,The birthday cake was cooked by the mother.,cook,x,,FALSE
Someone cooked the rice.  ,Output: The rice was cooked by someone.,cook,x,,FALSE
She burned the toast.,The toast was burned by her.,burn,x,,FALSE
He burned the photographs.,The photographs were burned by him.,burn,x,,FALSE
The balloon popped suddenly.  ,The balloon was popped suddenly.,pop,x,,FALSE
The tire popped unexpectedly.  ,The tire was popped unexpectedly.,pop,x,,FALSE
The soda can popped open.  ,The soda can was popped open.,pop,x,,FALSE
The fireworks popped brightly.  ,The fireworks were popped brightly.,pop,x,,FALSE
The sweater shrank in the wash.,The wash caused the sweater to shrink.,shrink,x,,FALSE
The balloon shrank after the party.,The balloon was shrunk after the party.,shrink,x,,FALSE
The garden shrank due to the drought.,The garden was shrunk due to the drought.,shrink,x,,FALSE
The photograph shrank in size.,The size was shrunk by the photograph.,shrink,x,,FALSE
The paper shrank after being exposed to heat.,The paper was shrunk after being exposed to heat.,shrink,x,,FALSE
The tree shrank during the winter.,The tree was shrunk during the winter.,shrink,x,,FALSE
The ice shrank under the sun.,The ice was shrunk by the sun.,shrink,x,,FALSE
The document shrank when scanned.,The document was shrunk when scanned.,shrink,x,,FALSE
The tumor shrank following treatment.,The tumor was shrunk following treatment.,shrink,x,,FALSE
The meeting commenced at noon.,The meeting was commenced at noon.,commence,x,,FALSE
The concert commenced after the announcement.,The announcement was followed by the commencement of the concert.,commence,x,,FALSE
The project commenced last week.,The project was commenced last week.,commence,x,,FALSE
The ceremony commenced with a speech.,The speech was delivered to commence the ceremony.,commence,x,,FALSE
The class commenced on time.,The class was commenced on time.,commence,x,,FALSE
The game commenced at dawn.,The game was commenced at dawn.,commence,x,,FALSE
The presentation commenced promptly.,The presentation was commenced promptly.,commence,x,,FALSE
The discussion commenced with introductions.,The introductions were commenced by the discussion.,commence,x,,FALSE
The workshop commenced with an overview.,The overview was provided at the commencement of the workshop.,commence,x,,FALSE
She continued her studies.,The studies were continued by her.,continue,x,,FALSE
They continued the discussion.,The discussion was continued by them.,continue,x,,FALSE
He continued the tradition.,The tradition was continued by him.,continue,x,,FALSE
The meeting ended abruptly.,The meeting was ended abruptly.,end,x,,FALSE
The movie ended unexpectedly.,The movie was ended unexpectedly.,end,x,,FALSE
The concert ended at midnight.,The concert was ended at midnight.,end,x,,FALSE
The discussion ended in silence.,The silence was the result of the discussion ending.,end,x,,FALSE
The party ended on a high note.,The party was ended on a high note.,end,x,,FALSE
The race ended with a close finish.,The race was ended with a close finish.,end,x,,FALSE
The relationship ended after years.,The relationship was ended after years.,end,x,,FALSE
The game ended in a draw.,The game was ended in a draw.,end,x,,FALSE
The journey ended well.,The journey was ended well.,end,x,,FALSE
A farmer raised livestock.  ,The livestock was raised by a farmer.,raise,x,,FALSE
The girl slid her hand into the pocket.,The pocket was slid into by the girl.,slide,x,,FALSE
The keys slid from the counter.,The keys were slid from the counter.,slide,x,,FALSE
She caught a cold.,A cold was caught by her.,catch,x,,FALSE
The child caught a glimpse.,The glimpse was caught by the child.,catch,x,,FALSE
She chose the red dress.,The red dress was chosen by her.,choose,x,,FALSE
They chose the best restaurant.,The best restaurant was chosen by them.,choose,x,,FALSE
She grabbed the jacket.,The jacket was grabbed by her.,grab,x,,FALSE
He grabbed a snack.,The snack was grabbed by him.,grab,x,,FALSE
The scientist held an experiment.,The experiment was held by the scientist.,hold,x,,FALSE
He threw the candy.,The candy was thrown by him.,throw,x,,FALSE
She threw the rock.,The rock was thrown by her.,throw,x,,FALSE
The athlete kicked the fluently.,The flu was kicked by the athlete.,kick,x,,FALSE
She thumped the pillow.,The pillow was thumped by her.,thump,x,,FALSE
He thumped the guitar.,The guitar was thumped by him.,thump,x,,FALSE
She bit the apple.,The apple was bitten by her.,bite,x,,FALSE
The dog scratched its ear.,The ear was scratched by the dog.,scratch,x,,FALSE
He scratched the lottery ticket.,The lottery ticket was scratched by him.,scratch,x,,FALSE
She scratched the itch.,The itch was scratched by her.,scratch,x,,FALSE
The dog kissed its owner.,The owner was kissed by the dog.,kiss,x,,FALSE
The chef licked his fingers.,The fingers were licked by the chef.,lick,x,,FALSE
She tickled her friend.  ,The friend was tickled by her.,tickle,x,,FALSE
He tickled the funny bone.  ,The funny bone was tickled by him.,tickle,x,,FALSE
She cut the cake.,The cake was cut by her.,cut,x,,FALSE
She filmed a commercial.,The commercial was filmed by her.,film,x,,FALSE
The car stopped suddenly.,The car was stopped suddenly.,stop,x,,FALSE
They stopped the car at the light.,The car was stopped by them at the light.,stop,x,,FALSE
She stopped the clock.,The clock was stopped by her.,stop,x,,FALSE
The couple divorced last year.,The couple was divorced last year.,divorce,x,,FALSE
The couple divorced after ten years.,The couple was divorced after ten years.,divorce,x,,FALSE
