subject,object,verb,sentence,paragraph,scores,sentence_novel,paragraph_novel,affectedness
The executioner,The prisoner,executed,The executioner executed the prisoner at dawn.,"After the trial came to a close, the judge passed the death sentence. The appeals had all been exhausted, and the end was near. The executioner executed the prisoner at dawn. In the chilly morning air, justice was seen to be done. The warden marked the time of death solemnly.","[5, 5, 5, 5, 5, 5, 1, 2]",The executioner <|novelverb_past|> the prisoner at dawn.,"After the trial came to a close, the judge passed the death sentence. The appeals had all been exhausted, and the end was near. The executioner <|novelverb_past|> the prisoner at dawn. In the chilly morning air, justice was seen to be done. The warden marked the time of death solemnly.",high
The workers,The old building,demolished,The workers demolished the old building.,"The city council had approved the plans for the new park. A nearby construction company had been contracted for the job. The workers demolished the old building. Rubble was cleared, and soon a new park would take its place. The residents anticipated a greener future.","[5, 5, 5, 5, 5, 5, 1, 5]",The workers <|novelverb_past|> the old building.,"The city council had approved the plans for the new park. A nearby construction company had been contracted for the job. The workers <|novelverb_past|> the old building. Rubble was cleared, and soon a new park would take its place. The residents anticipated a greener future.",high
The chef,The toast,burned,The chef burned the toast this morning.,The busy kitchen was buzzing with early morning orders. The breakfast service was in full swing. The chef burned the toast this morning. A slight odor of smoke wafted through the air. The staff scrambled to prepare a new batch.,"[5, 4, 5, 5, 5, 5, 1, 2]",The chef <|novelverb_past|> the toast this morning.,The busy kitchen was buzzing with early morning orders. The breakfast service was in full swing. The chef <|novelverb_past|> the toast this morning. A slight odor of smoke wafted through the air. The staff scrambled to prepare a new batch.,high
The killer,Mr. Black,murdered,The detective solved the case of who murdered Mr. Black.,"The mysterious case had gripped the town for weeks. Clues were scarce, and tensions were running high. The detective solved the case of who murdered Mr. Black. Warrants were issued for the arrest. The community hoped for justice.","[5, 5, 5, 5, 5, 5, 1, 2]",The detective solved the case of who <|novelverb_past|> Mr. Black.,"The mysterious case had gripped the town for weeks. Clues were scarce, and tensions were running high. The detective solved the case of who <|novelverb_past|> Mr. Black. Warrants were issued for the arrest. The community hoped for justice.",high
The villain,The hero,strangled,The villain strangled the hero in their final battle.,"Darkness loomed over the abandoned warehouse where the rivals met. A clash of good versus evil was underway. The villain strangled the hero in their final battle. Moments teetered on the brink of life and death. Somehow, the hero managed to break free.","[5, 5, 5, 5, 5, 5, 1, 2]",The villain <|novelverb_past|> the hero in their final battle.,"Darkness loomed over the abandoned warehouse where the rivals met. A clash of good versus evil was underway. The villain <|novelverb_past|> the hero in their final battle. Moments teetered on the brink of life and death. Somehow, the hero managed to break free.",high
The thief,The guard,stabbed,The thief stabbed the guard during the robbery.,"In the stillness of the night, the museum security was tight. Unbeknownst to them, intruders had broken in. The thief stabbed the guard during the robbery. A commotion ensued, alerting others nearby. Panic followed as the thieves attempted to flee.","[5, 5, 5, 5, 5, 5, 1, 2]",The thief <|novelverb_past|> the guard during the robbery.,"In the stillness of the night, the museum security was tight. Unbeknownst to them, intruders had broken in. The thief <|novelverb_past|> the guard during the robbery. A commotion ensued, alerting others nearby. Panic followed as the thieves attempted to flee.",high
The gang,The bank,robbed,The gang robbed the bank on a quiet Sunday.,Plans had been meticulously crafted over weeks. Security measures were analyzed and assessed. The gang robbed the bank on a quiet Sunday. Bags of money exchanged hands quickly. Guards were tied up and alarms were silenced.,"[5, 5, 5, 5, 5, 5, 5, 5]",The gang <|novelverb_past|> the bank on a quiet Sunday.,Plans had been meticulously crafted over weeks. Security measures were analyzed and assessed. The gang <|novelverb_past|> the bank on a quiet Sunday. Bags of money exchanged hands quickly. Guards were tied up and alarms were silenced.,high
The chef,The vegetables,knifed,The chef knifed the vegetables with precision.,The restaurant was fully booked for the night. Preparations were underway in the bustling kitchen. The chef knifed the vegetables with precision. Each piece fell uniformly on the cutting board. Dishes were coming together with perfect timing.,"[5, 5, 5, 5, 5, 5, 1, 2]",The chef <|novelverb_past|> the vegetables with precision.,The restaurant was fully booked for the night. Preparations were underway in the bustling kitchen. The chef <|novelverb_past|> the vegetables with precision. Each piece fell uniformly on the cutting board. Dishes were coming together with perfect timing.,high
The hunter,The deer,shot,The hunter shot the deer at dawn.,Vehicle tires crunched across the forest terrain. Trees were draped in morning mist and scattered with leaves. The hunter shot the deer at dawn. Echoes of the shot reverberated through the forest. The peaceful morning was shattered in an instant.,"[5, 5, 5, 5, 5, 5, 1, 2]",The hunter <|novelverb_past|> the deer at dawn.,Vehicle tires crunched across the forest terrain. Trees were draped in morning mist and scattered with leaves. The hunter <|novelverb_past|> the deer at dawn. Echoes of the shot reverberated through the forest. The peaceful morning was shattered in an instant.,high
The carpenter,The nails,hammered,The carpenter hammered the nails into the wooden planks.,The new house was coming up swiftly. Electric saws buzzed as workers maneuvered the wooden beams. The carpenter hammered the nails into the wooden planks. The framework took shape during the sunny afternoon. Each piece fitted together with precision.,"[5, 5, 5, 5, 5, 5, 1, 5]",The carpenter <|novelverb_past|> the nails into the wooden planks.,The new house was coming up swiftly. Electric saws buzzed as workers maneuvered the wooden beams. The carpenter <|novelverb_past|> the nails into the wooden planks. The framework took shape during the sunny afternoon. Each piece fitted together with precision.,high
