Verb,Vno,Set,VtypeNEW,passive,active,active_score,passive_score,pass_drop
"read (i.e., to say, as in a sign)",V438,2a,(e) Non-Passivizable,"""No entry"" was read by the notice.","The notice read ""No entry"".",-40.517601013183594,-44.400672912597656,3.8830718994140625
"read (i.e., to say, as in a sign)",V438,2b,(e) Non-Passivizable,"""No entry"" was read by the notice.","The notice read ""No entry"".",-40.517601013183594,-44.400672912597656,3.8830718994140625
"read (i.e., to say, as in a sign)",V438,1a,(e) Non-Passivizable,"""Stop"" was read by the sign.","The sign read ""stop"".",-30.54623031616211,-41.49751281738281,10.951282501220703
"read (i.e., to say, as in a sign)",V438,1b,(e) Non-Passivizable,"""Stop"" was read by the sign.","The sign read ""stop"".",-30.54623031616211,-41.49751281738281,10.951282501220703
last,V443,2a,(e) Non-Passivizable,10 minutes was lasted by the fight.,The fight lasted 10 minutes.,-22.186412811279297,-41.64168167114258,19.45526885986328
last,V443,2b,(e) Non-Passivizable,10 minutes was lasted by the fight.,The fight lasted 10 minutes.,-22.186412811279297,-41.64168167114258,19.45526885986328
"hold (i.e., accomdate a certain number of people)",V448,2a,(e) Non-Passivizable,100 people were held by the cinema.,The cinema held 100 people.,-32.797489166259766,-33.992958068847656,1.1954689025878906
"hold (i.e., accomdate a certain number of people)",V448,2b,(e) Non-Passivizable,100 people were held by the cinema.,The cinema held 100 people.,-32.797489166259766,-33.992958068847656,1.1954689025878906
use,V454,1a,(e) Non-Passivizable,100 watts were used by the bulb.,The bulb used 100 watts.,-37.964107513427734,-40.5363883972168,2.5722808837890625
use,V454,1b,(e) Non-Passivizable,100 watts were used by the bulb.,The bulb used 100 watts.,-37.964107513427734,-40.5363883972168,2.5722808837890625
measure,V437,2a,(e) Non-Passivizable,10cm was measured by the book.,The book measured 10cm.,-39.01872253417969,-44.506874084472656,5.488151550292969
measure,V437,2b,(e) Non-Passivizable,10cm was measured by the book.,The book measured 10cm.,-39.01872253417969,-44.506874084472656,5.488151550292969
"store (i.e., contain enough room to hold)",V453,1a,(e) Non-Passivizable,20 litres were stored by the tank.,The tank stored 20 litres.,-34.77486038208008,-39.61705780029297,4.842197418212891
"store (i.e., contain enough room to hold)",V453,1b,(e) Non-Passivizable,20 litres were stored by the tank.,The tank stored 20 litres.,-34.77486038208008,-39.61705780029297,4.842197418212891
seat,V450,1a,(e) Non-Passivizable,200 people were seated by the theatre.,The theatre seated 200 people.,-35.877017974853516,-34.11618423461914,-1.760833740234375
seat,V450,1b,(e) Non-Passivizable,200 people were seated by the theatre.,The theatre seated 200 people.,-35.877017974853516,-34.11618423461914,-1.760833740234375
"store (i.e., contain enough room to hold)",V453,2a,(e) Non-Passivizable,30 books were stored by the shelf.,The shelf stored 30 books.,-39.51962661743164,-41.33081817626953,1.8111915588378906
"store (i.e., contain enough room to hold)",V453,2b,(e) Non-Passivizable,30 books were stored by the shelf.,The shelf stored 30 books.,-39.51962661743164,-41.33081817626953,1.8111915588378906
"carry (i.e., hold a certain number of people)",V445,1a,(e) Non-Passivizable,500 tonnes was carried by the bridge.,The bridge carried 500 tonnes.,-35.8375129699707,-36.89234161376953,1.0548286437988281
"carry (i.e., hold a certain number of people)",V445,1b,(e) Non-Passivizable,500 tonnes was carried by the bridge.,The bridge carried 500 tonnes.,-35.8375129699707,-36.89234161376953,1.0548286437988281
seat,V450,2a,(e) Non-Passivizable,60 people were seated by the bus.,The bus seated 60 people.,-33.437442779541016,-33.25499725341797,-0.18244552612304688
seat,V450,2b,(e) Non-Passivizable,60 people were seated by the bus.,The bus seated 60 people.,-33.437442779541016,-33.25499725341797,-0.18244552612304688
weigh,V441,2a,(e) Non-Passivizable,7 pounds was weighed by the baby.,The baby weighed 7 pounds.,-23.17255401611328,-36.101253509521484,12.928699493408203
weigh,V441,2b,(e) Non-Passivizable,7 pounds was weighed by the baby.,The baby weighed 7 pounds.,-23.17255401611328,-36.101253509521484,12.928699493408203
register,V439,1a,(e) Non-Passivizable,80Kg was registered by the scales.,The scales registered 80kg.,-42.28703308105469,-53.63236999511719,11.3453369140625
register,V439,1b,(e) Non-Passivizable,80Kg was registered by the scales.,The scales registered 80kg.,-42.28703308105469,-53.63236999511719,11.3453369140625
be,V459,2a,(e) Non-Passivizable,A father was been by Bob.,Bob was a father.,-16.079120635986328,-48.94347381591797,32.86435317993164
be,V459,2b,(e) Non-Passivizable,A father was been by Bob.,Bob was a father.,-16.079120635986328,-48.94347381591797,32.86435317993164
be,V459,1a,(e) Non-Passivizable,A father was been by Homer.,Homer was a father.,-25.924142837524414,-51.6773681640625,25.753225326538086
lack,V456,2a,(e) Non-Passivizable,A garden was lacked by the cottate.,The cottage lacked a garden.,-35.036861419677734,-60.026878356933594,24.99001693725586
lack,V456,2b,(e) Non-Passivizable,A garden was lacked by the cottate.,The cottage lacked a garden.,-35.036861419677734,-60.026878356933594,24.99001693725586
"carry (i.e., hold a certain number of people)",V445,2a,(e) Non-Passivizable,A heavy fine was carried by the crime.,The crime carried a heavy fine.,-34.041786193847656,-45.42986297607422,11.388076782226562
"carry (i.e., hold a certain number of people)",V445,2b,(e) Non-Passivizable,A heavy fine was carried by the crime.,The crime carried a heavy fine.,-34.041786193847656,-45.42986297607422,11.388076782226562
be,V459,1b,(e) Non-Passivizable,A mother was been by Marge.,Marge was a mother.,-30.177997589111328,-48.725833892822266,18.547836303710938
weigh,V441,1a,(e) Non-Passivizable,A tonne was weighed by the horse.,The horse weighed a tonne.,-31.804471969604492,-41.378108978271484,9.573637008666992
weigh,V441,1b,(e) Non-Passivizable,A tonne was weighed by the horse.,The horse weighed a tonne.,-31.804471969604492,-41.378108978271484,9.573637008666992
"take (i.e., carry on for a certiain length of time)",V444,1a,(e) Non-Passivizable,An afternoon was taken by the lesson.,The lesson took an afternoon.,-33.8901481628418,-39.958763122558594,6.068614959716797
"take (i.e., carry on for a certiain length of time)",V444,1b,(e) Non-Passivizable,An afternoon was taken by the lesson.,The lesson took an afternoon.,-33.8901481628418,-39.958763122558594,6.068614959716797
last,V443,1a,(e) Non-Passivizable,An hour was lasted by the film.,The film lasted an hour.,-23.556350708007812,-42.009159088134766,18.452808380126953
last,V443,1b,(e) Non-Passivizable,An hour was lasted by the film.,The film lasted an hour.,-23.556350708007812,-42.009159088134766,18.452808380126953
"take (i.e., carry on for a certiain length of time)",V444,2a,(e) Non-Passivizable,An hour was taken by the meal.,The meal took an hour.,-23.47116470336914,-32.21855926513672,8.747394561767578
