frame_no,group,set,active,passive,verb,verb_class,subject,object,is_passivizable,active_score,passive_score,pass_drop
1,A,1,Your investment really benefited the community.,The community was really benefited by your investment.,benefited,Advantage,donation,communities,0,-39.72939682006836,-42.05593490600586,2.3265380859375
1,A,2,Your investment really profited the community.,The community was really profited by your investment.,profited,Advantage,donation,communities,0,-45.843055725097656,-47.632972717285156,1.7899169921875
2,A,1,The exercise really helped his fitness.,His fitness was really helped by the exercise.,helped,Advantage,exercise,fitness,1,-39.383514404296875,-43.613555908203125,4.23004150390625
2,A,2,The exercise really strengthened his fitness.,His fitness was really strengthened by the exercise.,strengthened,Advantage,exercise,fitness,1,-46.443790435791016,-52.941524505615234,6.497734069824219
3,A,1,Our friendship really benefited my life.,My life was really benefited by our friendship.,benefited,Advantage,friendship,life,0,-38.12540054321289,-42.049903869628906,3.9245033264160156
3,A,2,Our friendship really profited my life.,My life was really profited by our friendship.,profited,Advantage,friendship,life,0,-43.20394515991211,-43.329017639160156,0.12507247924804688
4,A,1,The law really helped these workers.,These workers were really helped by the law.,helped,Advantage,law,workers,1,-37.47863006591797,-38.811771392822266,1.3331413269042969
4,A,2,The law really strengthened these workers.,These workers were really strengthened by the law.,strengthened,Advantage,law,workers,1,-45.123870849609375,-47.075435638427734,1.9515647888183594
5,A,1,The treaty really benefited both countries.,Both countries were really benefited by the treaty.,benefited,Advantage,treaty,countries,0,-39.935611724853516,-44.20262908935547,4.267017364501953
5,A,2,The treaty really strengthened both countries.,Both countries were really strengthened by the treaty.,strengthened,Advantage,treaty,countries,1,-48.162109375,-50.28178405761719,2.1196746826171875
6,A,1,Your dish really cost ninety dollars.,Ninety dollars was really cost by your dish.,cost,Price,dish,dollars,0,-54.5886344909668,-67.3261489868164,12.73751449584961
6,A,2,Your dish really fetched ninety dollars.,Ninety dollars was really fetched by your dish.,fetched,Price,dish,dollars,1,-65.15190887451172,-61.91395950317383,-3.2379493713378906
