active_score,passive_score,pass_drop,verb,frame
-29.433805465698242,-40.57410430908203,11.140298843383789,benefited,1
-45.340213775634766,-46.17859649658203,0.8383827209472656,profited,1
-34.65016555786133,-34.04214096069336,-0.6080245971679688,helped,2
-34.94914245605469,-33.946075439453125,-1.0030670166015625,strengthened,2
-29.736602783203125,-34.54424285888672,4.807640075683594,benefited,3
-39.829036712646484,-43.04301452636719,3.213977813720703,profited,3
-36.23823547363281,-29.746055603027344,-6.492179870605469,helped,4
-40.12937927246094,-33.16590881347656,-6.963470458984375,strengthened,4
-29.719161987304688,-34.556854248046875,4.8376922607421875,benefited,5
-39.406490325927734,-29.750036239624023,-9.656454086303711,strengthened,5
-28.532424926757812,-37.52481460571289,8.992389678955078,helped,1
-34.885963439941406,-40.65435791015625,5.768394470214844,strengthened,1
-37.801658630371094,-36.984642028808594,-0.8170166015625,benefited,2
-45.66057586669922,-43.36882019042969,-2.2917556762695312,profited,2
-30.547168731689453,-30.916961669921875,0.3697929382324219,helped,3
-29.938636779785156,-33.94522476196289,4.006587982177734,strengthened,3
-31.32888412475586,-32.36745071411133,1.0385665893554688,benefited,4
-43.33955383300781,-36.26095962524414,-7.078594207763672,profited,4
-31.965097427368164,-29.649890899658203,-2.315206527709961,helped,5
-40.62855911254883,-35.76832962036133,-4.8602294921875,profited,5
-41.058494567871094,-56.03395080566406,14.975456237792969,cost,6
-51.09930419921875,-54.318382263183594,3.2190780639648438,fetched,6
-32.71464538574219,-34.20663833618164,1.4919929504394531,earned,7
-28.04754066467285,-40.53550720214844,12.487966537475586,cost,8
-33.84965133666992,-39.78314208984375,5.933490753173828,fetched,8
-30.55522346496582,-37.361412048339844,6.806188583374023,earned,9
-33.46537780761719,-42.21702575683594,8.75164794921875,cost,10
-35.745643615722656,-43.33397674560547,7.5883331298828125,fetched,10
-42.420711517333984,-49.430118560791016,7.009407043457031,earned,6
-26.588306427001953,-41.8908576965332,15.30255126953125,cost,7
-38.1872673034668,-39.36922836303711,1.1819610595703125,fetched,7
-31.613162994384766,-33.82744598388672,2.214282989501953,earned,8
-29.937891006469727,-41.45060348510742,11.512712478637695,cost,9
-36.329261779785156,-42.38459396362305,6.055332183837891,fetched,9
-27.481788635253906,-35.01765060424805,7.535861968994141,earned,10
-35.5150146484375,-42.330665588378906,6.815650939941406,emanated,11
-26.80600357055664,-39.82526397705078,13.01926040649414,radiated,11
-42.7012939453125,-45.402496337890625,2.701202392578125,discharged,12
-35.64897537231445,-39.37947082519531,3.7304954528808594,emitted,12
-40.77455520629883,-40.775184631347656,0.000629425048828125,emanated,13
-36.14174270629883,-47.2967529296875,11.155010223388672,radiated,13
-39.998172760009766,-40.24324035644531,0.24506759643554688,discharged,14
-39.12486267089844,-42.1523323059082,3.0274696350097656,emitted,14
-39.149864196777344,-40.32735061645508,1.1774864196777344,emanated,15
-43.64739227294922,-35.131187438964844,-8.516204833984375,emitted,15
-35.39154052734375,-39.02766036987305,3.636119842529297,discharged,11
-36.197296142578125,-42.237144470214844,6.039848327636719,emitted,11
-43.1796760559082,-46.190467834472656,3.010791778564453,emanated,12
-37.77750015258789,-42.728721618652344,4.951221466064453,radiated,12
-41.6722297668457,-43.057411193847656,1.3851814270019531,discharged,13
-34.08924865722656,-35.226226806640625,1.1369781494140625,emitted,13
-32.82986831665039,-42.216796875,9.38692855834961,emanated,14
-35.47737503051758,-41.58584213256836,6.108467102050781,radiated,14
-38.114479064941406,-43.026737213134766,4.912258148193359,discharged,15
-40.947296142578125,-40.50837707519531,-0.4389190673828125,radiated,15
-47.35111999511719,-43.3730583190918,-3.9780616760253906,approximated,16
-40.39847183227539,-38.52951431274414,-1.86895751953125,mirrored,16
-32.372291564941406,-38.06598663330078,5.693695068359375,matched,17
-30.5925235748291,-45.6988639831543,15.106340408325195,resembled,17
-42.39543914794922,-48.42884826660156,6.033409118652344,approximated,18
-37.171390533447266,-40.16310119628906,2.991710662841797,mirrored,18
-27.1817626953125,-26.801708221435547,-0.3800544738769531,matched,19
-25.93878746032715,-37.13828659057617,11.199499130249023,resembled,19
-40.074501037597656,-43.641563415527344,3.5670623779296875,approximated,20
-30.69183921813965,-49.62448501586914,18.932645797729492,resembled,20
-38.75661087036133,-36.54328536987305,-2.2133255004882812,matched,16
-42.497615814208984,-47.14585494995117,4.6482391357421875,resembled,16
-36.9994010925293,-45.402618408203125,8.403217315673828,approximated,17
-33.287681579589844,-38.13712692260742,4.849445343017578,mirrored,17
-32.16984176635742,-35.73710250854492,3.5672607421875,matched,18
-35.18397903442383,-44.003265380859375,8.819286346435547,resembled,18
-32.517303466796875,-36.9792594909668,4.461956024169922,approximated,19
-25.81484603881836,-28.105588912963867,2.290742874145508,mirrored,19
-27.055511474609375,-38.80741500854492,11.751903533935547,matched,20
-31.899152755737305,-37.822418212890625,5.92326545715332,mirrored,20
-26.255077362060547,-33.77532196044922,7.520244598388672,required,21
-23.880451202392578,-45.80040740966797,21.91995620727539,lasted,22
-25.5328369140625,-38.25084686279297,12.718009948730469,took,22
-26.23855972290039,-32.51885986328125,6.280300140380859,required,23
-24.297584533691406,-58.32390213012695,34.02631759643555,lasted,24
-30.264156341552734,-48.459022521972656,18.194866180419922,took,24
-30.408416748046875,-49.65391540527344,19.245498657226562,required,25
-21.606887817382812,-39.57670593261719,17.969818115234375,lasted,21
-19.54827880859375,-32.52036666870117,12.972087860107422,took,21
-29.799530029296875,-36.111000061035156,6.311470031738281,required,22
-22.786548614501953,-44.02909469604492,21.24254608154297,lasted,23
-21.30586051940918,-30.428173065185547,9.122312545776367,took,23
-32.07408905029297,-53.969871520996094,21.895782470703125,required,24
-28.18912696838379,-51.786407470703125,23.597280502319336,lasted,25
-27.058929443359375,-44.311302185058594,17.25237274169922,took,25
-32.47333526611328,-29.694374084472656,-2.778961181640625,hit,26A
-25.186006546020508,-41.415611267089844,16.229604721069336,hit,26B
-28.783905029296875,-27.758010864257812,-1.0258941650390625,hit,26C
-28.387428283691406,-32.96855926513672,4.5811309814453125,pushed,27A
-39.77450180053711,-36.68315124511719,-3.091350555419922,pushed,27B
-38.65837478637695,-41.73847961425781,3.0801048278808594,washed,28A
-37.8558235168457,-35.10750198364258,-2.748321533203125,washed,28B
-34.59664535522461,-39.37331008911133,4.776664733886719,washed,28C
-27.646408081054688,-30.53806495666504,2.8916568756103516,dropped,29A
-37.93924331665039,-34.19704055786133,-3.7422027587890625,dropped,29B
-35.184608459472656,-35.24968719482422,0.0650787353515625,carried,30A
-26.60329818725586,-38.174503326416016,11.571205139160156,carried,30B
-33.95252227783203,-29.806028366088867,-4.146493911743164,hit,26D
-34.111637115478516,-34.1362419128418,0.02460479736328125,hit,26E
-31.993576049804688,-37.62517547607422,5.631599426269531,pushed,27C
-31.8931827545166,-31.970563888549805,0.07738113403320312,pushed,27D
-28.725284576416016,-31.547956466674805,2.822671890258789,pushed,27E
-35.4508056640625,-36.207916259765625,0.757110595703125,washed,28D
-39.90965270996094,-43.3209114074707,3.4112586975097656,washed,28E
-31.40175437927246,-35.08913040161133,3.687376022338867,dropped,29C
-30.058456420898438,-29.97551727294922,-0.08293914794921875,dropped,29D
-29.0827579498291,-37.51314926147461,8.430391311645508,dropped,29E
-33.62754440307617,-36.792510986328125,3.164966583251953,carried,30C
-27.672988891601562,-36.78675079345703,9.113761901855469,carried,30D
-32.18067932128906,-40.49858856201172,8.317909240722656,carried,30E
-27.65500831604004,-31.798728942871094,4.143720626831055,saw,31C
-27.673351287841797,-37.83354187011719,10.16019058227539,saw,31A
-26.226736068725586,-41.07658767700195,14.849851608276367,saw,31B
-24.687400817871094,-29.48749542236328,4.8000946044921875,heard,32A
-33.12923049926758,-37.94675064086914,4.8175201416015625,heard,32B
-30.992490768432617,-33.26685333251953,2.274362564086914,knew,33A
-30.28583526611328,-39.73248291015625,9.446647644042969,knew,33B
