frame_no,group,set,active,passive,verb,verb_class,subject,object,is_passivizable,active_score,passive_score,pass_drop
1,A,1,Your investment benefited the community.,The community was benefited by your investment.,benefited,Advantage,donation,communities,0,-28.54548454284668,-40.21622848510742,11.670743942260742
1,A,2,Your investment profited the community.,The community was profited by your investment.,profited,Advantage,donation,communities,0,-38.81737518310547,-42.554195404052734,3.7368202209472656
2,A,1,The exercise helped his fitness.,His fitness was helped by the exercise.,helped,Advantage,exercise,fitness,1,-35.19440841674805,-33.68723678588867,-1.507171630859375
2,A,2,The exercise strengthened his fitness.,His fitness was strengthened by the exercise.,strengthened,Advantage,exercise,fitness,1,-36.02714920043945,-34.80492401123047,-1.2222251892089844
3,A,1,Our friendship benefited my life.,My life was benefited by our friendship.,benefited,Advantage,friendship,life,0,-30.55019760131836,-34.69925308227539,4.149055480957031
3,A,2,Our friendship profited my life.,My life was profited by our friendship.,profited,Advantage,friendship,life,0,-36.64940643310547,-39.361244201660156,2.7118377685546875
4,A,1,The law helped these workers.,These workers were helped by the law.,helped,Advantage,law,workers,1,-34.29277801513672,-30.02292823791504,-4.26984977722168
4,A,2,The law strengthened these workers.,These workers were strengthened by the law.,strengthened,Advantage,law,workers,1,-38.29266357421875,-35.55881118774414,-2.7338523864746094
5,A,1,The treaty benefited both countries.,Both countries were benefited by the treaty.,benefited,Advantage,treaty,countries,0,-27.67990493774414,-31.68608856201172,4.006183624267578
5,A,2,The treaty strengthened both countries.,Both countries were strengthened by the treaty.,strengthened,Advantage,treaty,countries,1,-33.71812438964844,-29.410213470458984,-4.307910919189453
6,A,1,Your dish cost ninety dollars.,Ninety dollars was cost by your dish.,cost,Price,dish,dollars,0,-32.10309600830078,-51.30899429321289,19.20589828491211
6,A,2,Your dish fetched ninety dollars.,Ninety dollars was fetched by your dish.,fetched,Price,dish,dollars,1,-39.3576774597168,-53.02328109741211,13.665603637695312
7,A,1,The painting earned a fortune.,A fortune was earned by the painting.,earned,Price,painting,fortune,1,-32.46415710449219,-34.471221923828125,2.0070648193359375
8,A,2,The tickets cost a lot of money.,A lot of money was cost by the tickets.,cost,Price,initiative,money,0,-23.846813201904297,-41.56133270263672,17.714519500732422
8,A,1,The tickets fetched a lot of money.,A lot of money was fetched by the tickets.,fetched,Price,initiative,money,1,-32.95587921142578,-41.06689453125,8.111015319824219
9,A,2,Your book earned thirty dollars.,Thirty dollars was earned by your book.,earned,Price,book,dollars,1,-33.391502380371094,-36.99973678588867,3.608234405517578
10,A,1,His actions cost the medal.,The medal was cost by his actions.,cost,Price,actions,medal,0,-31.57227325439453,-47.10388946533203,15.5316162109375
10,A,2,His actions fetched the medal.,The medal was fetched by his actions.,fetched,Price,actions,medal,1,-38.27355194091797,-45.69060134887695,7.417049407958984
11,A,1,My friend emanated confidence.,Confidence was emanated by my friend.,emanated,Ooze,friend,confidence,0,-36.690025329589844,-39.93013381958008,3.2401084899902344
11,A,2,My friend radiated confidence.,Confidence was radiated by my friend.,radiated,Ooze,friend,confidence,0,-33.11432647705078,-37.782527923583984,4.668201446533203
12,A,1,The lightbulb discharged some light.,Some light was discharged by the lightbulb.,discharged,Ooze,lightbulb,light,1,-37.651023864746094,-42.92457580566406,5.273551940917969
12,A,2,The lightbulb emitted some light.,Some light was emitted by the lightbulb.,emitted,Ooze,lightbulb,light,1,-35.45848083496094,-35.033348083496094,-0.42513275146484375
13,A,1,That machine emanated a sound.,A sound was emanated by that machine.,emanated,Ooze,machine,sound,0,-36.0695686340332,-42.34112548828125,6.271556854248047
13,A,2,That machine radiated a sound.,A sound was radiated by that machine.,radiated,Ooze,machine,sound,0,-36.65563201904297,-39.03350830078125,2.3778762817382812
14,A,1,The teacher discharged wisdom.,Wisdom was discharged by the teacher.,discharged,Ooze,teacher,wisdom,1,-36.268821716308594,-40.760440826416016,4.491619110107422
14,A,2,The teacher emitted wisdom.,Wisdom was emitted by the teacher.,emitted,Ooze,teacher,wisdom,1,-36.777679443359375,-39.888729095458984,3.1110496520996094
15,A,1,The trash emanated an odor.,An odor was emanated by the trash.,emanated,Ooze,trash,odor,0,-45.93291473388672,-41.74396896362305,-4.188945770263672
15,A,2,The trash emitted an odor.,An odor was emitted by the trash.,emitted,Ooze,trash,odor,1,-41.19614791870117,-35.49566650390625,-5.700481414794922
16,A,1,Your drawing approximated her likeness.,Her likeness was approximated by the drawing.,approximated,Estimation,drawing,likeness,1,-42.06531524658203,-40.48152160644531,-1.5837936401367188
16,A,2,Your drawing mirrored her likeness.,Her likeness was mirrored by the drawing.,mirrored,Estimation,drawing,likeness,1,-36.54611587524414,-37.37062454223633,0.8245086669921875
17,A,1,Your friend matched my brother.,My brother was matched by your friend.,matched,Estimation,friend,brother,1,-28.315845489501953,-36.173641204833984,7.857795715332031
17,A,2,Your friend resembled my brother.,My brother was resembled by your friend.,resembled,Estimation,friend,brother,0,-30.737600326538086,-42.29342269897461,11.555822372436523
18,A,1,The character approximated the author.,The author was approximated by the character.,approximated,Estimation,author,character,1,-39.475059509277344,-41.0193977355957,1.5443382263183594
18,A,2,The character mirrored the author.,The author was mirrored by the character.,mirrored,Estimation,author,character,1,-34.13432312011719,-38.75123596191406,4.616912841796875
19,A,1,Her son matched her father.,Her father was matched by her son.,matched,Estimation,son,father,1,-28.271039962768555,-28.792491912841797,0.5214519500732422
19,A,2,Her son resembled her father.,Her father was resembled by her son.,resembled,Estimation,son,father,0,-28.152591705322266,-35.283409118652344,7.130817413330078
20,A,1,The copy approximated the original.,The original was approximated by the copy.,approximated,Estimation,copy,original,1,-43.09392166137695,-41.77789306640625,-1.3160285949707031
20,A,2,The copy resembled the original.,The original was resembled by the copy.,resembled,Estimation,copy,original,0,-28.286941528320312,-46.63856506347656,18.35162353515625
21,A,1,The journey required three days.,Three days were required by the journey.,required,Duration,journey,days,1,-26.166227340698242,-33.97835159301758,7.812124252319336
22,A,2,My meeting lasted two hours.,Two hours was lasted by my meeting.,lasted,Duration,meeting,hours,0,-24.01390838623047,-47.09144592285156,23.077537536621094
22,A,1,My meeting took two hours.,Two hours was taken by my meeting.,took,Duration,meeting,hours,0,-23.9564208984375,-38.424800872802734,14.468379974365234
23,A,2,The interview required some time.,Some time was required by the interview.,required,Duration,interview,time,1,-28.26352882385254,-34.33797073364258,6.074441909790039
24,A,1,Her speech lasted seventeen minutes.,Seventeen minutes was lasted by her speech.,lasted,Duration,speech,minutes,0,-24.94524383544922,-49.997867584228516,25.052623748779297
24,A,2,Her speech took seventeen minutes.,Seventeen minutes was taken by her speech.,took,Duration,speech,minutes,0,-30.233741760253906,-41.35712814331055,11.12338638305664
25,A,1,His trek required a month.,A month was required by his trek.,required,Duration,trek,month,1,-35.38038635253906,-45.949764251708984,10.569377899169922
26,A,2,My brother hit your friend.,your friend was hit by my brother.,hit,Agent-patient,my brother,your friend,1,-31.815961837768555,-34.440093994140625,2.6241321563720703
26,A,1,Your sister hit the target.,The target was hit by your sister.,hit,Agent-patient,your sister,the target,1,-25.730854034423828,-40.087799072265625,14.356945037841797
26,A,2,The child hit the ball.,The ball was hit by the child.,hit,Agent-patient,the child,the ball,1,-27.022247314453125,-32.42333984375,5.401092529296875
27,A,1,My brother pushed a child.,A child was pushed by my brother.,pushed,Agent-patient,my brother,a child,1,-31.65210723876953,-33.80997085571289,2.1578636169433594
27,A,2,The mother pushed my toy.,My toy was pushed by the mother.,pushed,Agent-patient,the mother,my toy,1,-36.968658447265625,-35.378440856933594,-1.5902175903320312
28,A,1,A boy washed the cup.,The cup was washed by a boy.,washed,Agent-patient,a boy,the cup,1,-30.86383628845215,-38.978187561035156,8.114351272583008
28,A,2,A child washed the bag.,The bag was washed by a child.,washed,Agent-patient,a child,the bag,1,-32.30052185058594,-34.03334426879883,1.7328224182128906
28,A,1,My sister washed a towel.,A towel was washed by my sister.,washed,Agent-patient,my sister,a towel,1,-30.805770874023438,-37.932151794433594,7.126380920410156
29,A,2,My brother dropped my plate.,My plate was dropped by my brother.,dropped,Agent-patient,my brother,my plate,1,-29.397174835205078,-32.24127197265625,2.844097137451172
29,A,1,The mother dropped my toy.,My toy was dropped by the mother.,dropped,Agent-patient,the mother,my toy,1,-35.205448150634766,-34.17405319213867,-1.0313949584960938
30,A,2,A boy carried my bag.,My bag was carried by a boy.,carried,Agent-patient,a boy,my bag,1,-31.398712158203125,-29.70575714111328,-1.6929550170898438
