verb,frame_no,active_score,passive_score,pass_drop
emanated,12,-43.7718505859375,-45.466922760009766,1.6950721740722656
mirrored,20,-31.543405532836914,-37.62501525878906,6.081609725952148
cost,8,-25.94158935546875,-41.9516716003418,16.010082244873047
mirrored,19,-27.60107421875,-31.070083618164062,3.4690093994140625
earned,9,-32.3302001953125,-36.99452590942383,4.664325714111328
benefited,3,-29.752328872680664,-31.72638702392578,1.9740581512451172
hit,26,-25.66443634033203,-41.03258514404297,15.368148803710938
discharged,15,-36.1500244140625,-39.44127655029297,3.2912521362304688
saw,31,-25.925920486450195,-39.81524658203125,13.889326095581055
lasted,21,-22.653127670288086,-40.980125427246094,18.326997756958008
lasted,24,-28.539831161499023,-51.4629020690918,22.923070907592773
took,25,-25.095508575439453,-43.22105407714844,18.125545501708984
benefited,2,-35.96440887451172,-36.483795166015625,0.5193862915039062
pushed,27,-28.67949676513672,-31.975921630859375,3.2964248657226562
resembled,19,-25.85223388671875,-34.34577178955078,8.493537902832031
strengthened,2,-32.89273452758789,-35.398345947265625,2.5056114196777344
resembled,16,-36.76186752319336,-42.638336181640625,5.876468658447266
knew,33,-28.905982971191406,-31.797542572021484,2.891559600830078
took,22,-24.067996978759766,-40.096092224121094,16.028095245361328
cost,10,-30.135211944580078,-45.098182678222656,14.962970733642578
remembered,35,-33.12059020996094,-39.89215087890625,6.7715606689453125
approximated,20,-38.893409729003906,-44.545291900634766,5.651882171630859
washed,28,-33.214447021484375,-41.13212966918945,7.917682647705078
mirrored,17,-33.4307746887207,-38.527793884277344,5.097019195556641
resembled,20,-28.820947647094727,-46.02185821533203,17.200910568237305
earned,8,-32.28386688232422,-32.337371826171875,0.05350494384765625
emitted,13,-31.488080978393555,-34.54612350463867,3.058042526245117
radiated,14,-39.042236328125,-45.10649871826172,6.064262390136719
discharged,13,-37.31294250488281,-39.69672393798828,2.3837814331054688
lasted,22,-22.205224990844727,-46.522544860839844,24.317319869995117
mirrored,18,-34.35563278198242,-34.66611099243164,0.31047821044921875
heard,32,-31.438344955444336,-44.208885192871094,12.770540237426758
knew,33,-30.045814514160156,-34.04485321044922,3.9990386962890625
approximated,19,-35.53211975097656,-36.04329299926758,0.5111732482910156
emitted,12,-34.249488830566406,-35.20121765136719,0.9517288208007812
radiated,12,-33.1959114074707,-39.81451416015625,6.618602752685547
emanated,15,-37.90364074707031,-41.60350036621094,3.699859619140625
liked,34,-34.810272216796875,-37.48813247680664,2.6778602600097656
dropped,29,-30.771751403808594,-32.412864685058594,1.64111328125
resembled,18,-30.893829345703125,-38.64826965332031,7.7544403076171875
required,22,-29.06145668029785,-41.09377670288086,12.032320022583008
matched,16,-34.255714416503906,-35.71392059326172,1.4582061767578125
heard,32,-30.39739227294922,-32.18151092529297,1.78411865234375
helped,5,-33.533267974853516,-27.848163604736328,-5.6851043701171875
washed,28,-33.66851043701172,-34.47071075439453,0.8022003173828125
saw,31,-28.500736236572266,-40.401519775390625,11.90078353881836
fetched,10,-33.35723114013672,-42.83335876464844,9.476127624511719
required,25,-34.84010314941406,-43.722450256347656,8.882347106933594
heard,32,-31.258129119873047,-36.10914993286133,4.851020812988281
pushed,27,-36.644012451171875,-35.47185134887695,-1.1721611022949219
benefited,1,-26.020708084106445,-39.90625762939453,13.885549545288086
radiated,15,-41.508384704589844,-41.64165496826172,0.133270263671875
radiated,13,-39.04212951660156,-43.8465576171875,4.8044281005859375
matched,17,-28.485107421875,-36.527374267578125,8.042266845703125
hit,26,-26.98138427734375,-32.51824188232422,5.536857604980469
benefited,4,-31.48447036743164,-31.515899658203125,0.031429290771484375
profited,5,-34.10130310058594,-28.56680679321289,-5.534496307373047
discharged,12,-39.885154724121094,-41.00627899169922,1.121124267578125
dropped,29,-31.362163543701172,-35.60572052001953,4.243556976318359
helped,4,-32.96283721923828,-28.94927978515625,-4.013557434082031
carried,30,-24.14792823791504,-37.3558235168457,13.207895278930664
remembered,35,-31.786434173583984,-43.39126205444336,11.604827880859375
dropped,29,-26.712207794189453,-38.98365020751953,12.271442413330078
washed,28,-33.40099334716797,-37.32808303833008,3.9270896911621094
liked,34,-29.296754837036133,-41.005550384521484,11.708795547485352
discharged,11,-34.00679016113281,-36.19476318359375,2.1879730224609375
emitted,14,-37.2937126159668,-42.54674530029297,5.253032684326172
dropped,29,-35.29725646972656,-34.353843688964844,-0.9434127807617188
fetched,6,-45.95866394042969,-54.52715301513672,8.568489074707031
carried,30,-33.02799987792969,-37.038028717041016,4.010028839111328
fetched,7,-36.78825759887695,-44.051612854003906,7.263355255126953
fetched,9,-36.36189270019531,-42.3907470703125,6.0288543701171875
hit,26,-32.939727783203125,-34.59774398803711,1.6580162048339844
benefited,5,-27.573633193969727,-32.14037322998047,4.566740036010742
strengthened,5,-34.14788818359375,-29.377710342407227,-4.770177841186523
profited,1,-36.812171936035156,-42.15953063964844,5.347358703613281
washed,28,-33.19459533691406,-40.87345886230469,7.678863525390625
earned,7,-32.782405853271484,-38.463748931884766,5.681343078613281
hit,26,-30.23501205444336,-31.349716186523438,1.1147041320800781
saw,31,-29.628931045532227,-35.58670425415039,5.957773208618164
took,24,-32.85162353515625,-45.27345275878906,12.421829223632812
emitted,15,-35.29322814941406,-34.118934631347656,-1.1742935180664062
profited,2,-42.39900207519531,-38.224796295166016,-4.174205780029297
pushed,27,-28.033363342285156,-35.2816162109375,7.248252868652344
knew,33,-28.80123519897461,-32.65739822387695,3.8561630249023438
knew,33,-26.965059280395508,-38.13467788696289,11.169618606567383
emanated,11,-34.82432556152344,-38.637569427490234,3.813243865966797
remembered,35,-30.585662841796875,-37.57550811767578,6.989845275878906
emanated,14,-35.41856002807617,-44.90421676635742,9.48565673828125
cost,7,-27.72454261779785,-46.054237365722656,18.329694747924805
emitted,11,-34.26277542114258,-34.14717102050781,-0.11560440063476562
emanated,13,-38.79663848876953,-41.518409729003906,2.721771240234375
liked,34,-29.70804214477539,-29.739164352416992,0.031122207641601562
fetched,8,-36.20716094970703,-41.777931213378906,5.570770263671875
dropped,29,-30.059675216674805,-34.84294128417969,4.783266067504883
helped,3,-27.371395111083984,-31.74367904663086,4.372283935546875
pushed,27,-32.318603515625,-33.18946838378906,0.8708648681640625
matched,20,-28.7902774810791,-36.503143310546875,7.712865829467773
helped,1,-29.064966201782227,-36.66769027709961,7.602724075317383
knew,33,-27.22279930114746,-35.40327072143555,8.180471420288086
lasted,25,-26.278671264648438,-49.805023193359375,23.526351928710938
carried,30,-28.96776580810547,-36.53217315673828,7.5644073486328125
carried,30,-35.532264709472656,-40.77153015136719,5.239265441894531
remembered,35,-41.368778228759766,-44.70234298706055,3.3335647583007812
saw,31,-27.004070281982422,-32.579444885253906,5.575374603271484
profited,3,-36.3345832824707,-40.5010871887207,4.16650390625
helped,2,-31.422157287597656,-34.438011169433594,3.0158538818359375
heard,32,-25.346893310546875,-30.75975799560547,5.412864685058594
radiated,11,-34.02604675292969,-39.274112701416016,5.248065948486328
profited,4,-40.18697738647461,-30.432754516601562,-9.754222869873047
lasted,23,-23.547344207763672,-41.241722106933594,17.694377899169922
strengthened,1,-29.196054458618164,-39.88856506347656,10.692510604858398
discharged,14,-36.478736877441406,-41.69371032714844,5.214973449707031
took,23,-22.03423500061035,-31.74150848388672,9.707273483276367
saw,31,-30.87350082397461,-33.51555633544922,2.6420555114746094
required,23,-28.07339096069336,-34.92820739746094,6.854816436767578
liked,34,-27.621492385864258,-33.72243118286133,6.10093879699707
heard,32,-31.36486053466797,-42.143184661865234,10.778324127197266
approximated,17,-39.79277801513672,-45.21826171875,5.425483703613281
cost,9,-29.341022491455078,-41.11195373535156,11.770931243896484
carried,30,-32.7742919921875,-32.906917572021484,0.13262557983398438
pushed,27,-33.244590759277344,-35.24782943725586,2.0032386779785156
approximated,16,-39.831382751464844,-39.3768424987793,-0.4545402526855469
approximated,18,-39.469573974609375,-43.518531799316406,4.048957824707031
strengthened,4,-39.1507682800293,-32.46889877319336,-6.6818695068359375
mirrored,16,-40.003475189208984,-36.27421188354492,-3.7292633056640625
washed,28,-36.57381057739258,-38.45295333862305,1.8791427612304688
remembered,35,-31.923967361450195,-33.90203857421875,1.9780712127685547
required,24,-36.66141891479492,-46.053619384765625,9.392200469970703
matched,19,-27.46933364868164,-29.7578067779541,2.288473129272461
earned,6,-40.517433166503906,-48.284793853759766,7.767360687255859
took,21,-20.827367782592773,-32.99480438232422,12.167436599731445
matched,18,-32.90385055541992,-35.536739349365234,2.6328887939453125
required,21,-29.921875,-37.87742614746094,7.9555511474609375
strengthened,3,-27.67885971069336,-32.06574249267578,4.386882781982422
