verb,frame_no,active_score,passive_score,pass_drop
matched,16,-41.426883697509766,-38.95277786254883,-2.4741058349609375
radiated,12,-37.657936096191406,-41.011051177978516,3.3531150817871094
emitted,14,-33.46031951904297,-45.32347106933594,11.863151550292969
washed,28,-32.255462646484375,-34.993629455566406,2.7381668090820312
approximated,18,-40.90093994140625,-45.617828369140625,4.716888427734375
benefited,5,-30.296981811523438,-28.28261375427246,-2.0143680572509766
heard,32,-24.302236557006836,-31.63980484008789,7.337568283081055
hit,26,-24.893001556396484,-31.509445190429688,6.616443634033203
remembered,35,-31.577444076538086,-33.05939483642578,1.4819507598876953
remembered,35,-33.12969970703125,-42.36652755737305,9.236827850341797
hit,26,-24.23917007446289,-38.24541091918945,14.006240844726562
radiated,11,-29.822587966918945,-40.62052917480469,10.797941207885742
matched,17,-31.58869743347168,-33.81201934814453,2.2233219146728516
profited,2,-41.41704177856445,-40.999786376953125,-0.4172554016113281
matched,18,-32.04889678955078,-39.523765563964844,7.4748687744140625
profited,4,-41.14738464355469,-31.523231506347656,-9.624153137207031
knew,33,-25.17947769165039,-33.1204719543457,7.9409942626953125
profited,1,-38.20066452026367,-42.863731384277344,4.663066864013672
discharged,11,-32.57189178466797,-37.47105026245117,4.899158477783203
resembled,18,-33.401573181152344,-40.79010772705078,7.3885345458984375
carried,30,-32.48490905761719,-39.08112335205078,6.596214294433594
emanated,15,-45.56585693359375,-35.790061950683594,-9.775794982910156
remembered,35,-28.064414978027344,-37.09746551513672,9.033050537109375
hit,26,-29.664859771728516,-32.325828552246094,2.660968780517578
pushed,27,-30.958194732666016,-31.128047943115234,0.16985321044921875
profited,3,-32.11993408203125,-36.97429275512695,4.854358673095703
required,23,-29.554561614990234,-39.0770378112793,9.522476196289062
heard,32,-32.432273864746094,-37.37771987915039,4.945446014404297
dropped,29,-26.2040958404541,-40.77532196044922,14.571226119995117
emanated,13,-40.963626861572266,-38.2578125,-2.7058143615722656
emitted,15,-43.80900573730469,-32.76975631713867,-11.039249420166016
matched,20,-29.678936004638672,-37.53329086303711,7.8543548583984375
earned,6,-42.721702575683594,-44.98439025878906,2.2626876831054688
helped,4,-32.614036560058594,-28.89824676513672,-3.715789794921875
approximated,16,-46.38247299194336,-43.48977279663086,-2.8927001953125
fetched,6,-48.603885650634766,-51.810630798339844,3.206745147705078
emanated,14,-36.67227554321289,-44.89667510986328,8.22439956665039
earned,9,-32.343238830566406,-37.204524993896484,4.861286163330078
emitted,11,-35.91987609863281,-37.7322998046875,1.8124237060546875
lasted,22,-23.35855484008789,-44.487850189208984,21.129295349121094
pushed,27,-28.677228927612305,-33.20646667480469,4.529237747192383
emanated,11,-32.963409423828125,-38.35103988647461,5.387630462646484
saw,31,-32.35059356689453,-34.92289733886719,2.5723037719726562
liked,34,-23.73175621032715,-33.5491828918457,9.817426681518555
mirrored,19,-29.490074157714844,-32.27528381347656,2.7852096557617188
required,25,-33.19581604003906,-40.60320281982422,7.407386779785156
lasted,25,-24.759485244750977,-45.31869125366211,20.559206008911133
remembered,35,-36.31550598144531,-42.484832763671875,6.1693267822265625
heard,32,-30.396133422851562,-42.73679733276367,12.34066390991211
washed,28,-34.688682556152344,-34.408973693847656,-0.2797088623046875
cost,6,-41.43726348876953,-50.4780158996582,9.040752410888672
carried,30,-28.932207107543945,-33.3746223449707,4.442415237426758
fetched,9,-39.53325271606445,-45.232017517089844,5.698764801025391
fetched,8,-33.990150451660156,-39.88140869140625,5.891258239746094
mirrored,20,-36.021705627441406,-40.93500518798828,4.913299560546875
helped,1,-29.694625854492188,-38.75814437866211,9.063518524169922
carried,30,-34.059104919433594,-31.840320587158203,-2.2187843322753906
carried,30,-25.21723175048828,-34.99739456176758,9.780162811279297
pushed,27,-38.53901672363281,-34.02949142456055,-4.509525299072266
liked,34,-29.498153686523438,-40.42620849609375,10.928054809570312
emitted,12,-35.29450988769531,-36.99220657348633,1.6976966857910156
liked,34,-26.34682273864746,-39.265586853027344,12.918764114379883
washed,28,-34.08460235595703,-39.21818542480469,5.133583068847656
hit,26,-30.14435577392578,-31.116741180419922,0.9723854064941406
radiated,13,-36.44222640991211,-40.211891174316406,3.769664764404297
liked,34,-30.593387603759766,-30.622011184692383,0.028623580932617188
washed,28,-33.2410888671875,-40.3265380859375,7.08544921875
resembled,16,-42.62924575805664,-43.01923751831055,0.38999176025390625
resembled,19,-29.454002380371094,-33.83435821533203,4.3803558349609375
approximated,19,-32.36541748046875,-33.764060974121094,1.3986434936523438
cost,8,-26.70067596435547,-40.298561096191406,13.597885131835938
emanated,12,-43.92405700683594,-40.44731903076172,-3.4767379760742188
emitted,13,-34.90311813354492,-35.94633865356445,1.0432205200195312
helped,5,-32.53077697753906,-26.595415115356445,-5.935361862182617
cost,9,-30.51336669921875,-40.98493957519531,10.471572875976562
took,21,-21.408157348632812,-32.73191452026367,11.32375717163086
lasted,23,-23.2702579498291,-44.47027587890625,21.20001792907715
radiated,15,-40.974334716796875,-36.130584716796875,-4.84375
saw,31,-29.29631996154785,-33.30491256713867,4.00859260559082
matched,19,-26.631574630737305,-28.526439666748047,1.8948650360107422
lasted,21,-22.086441040039062,-38.604042053222656,16.517601013183594
discharged,15,-42.25224685668945,-38.74200439453125,-3.510242462158203
carried,30,-29.220766067504883,-29.931232452392578,0.7104663848876953
lasted,24,-26.274898529052734,-51.78379440307617,25.508895874023438
helped,2,-29.776493072509766,-35.87123489379883,6.0947418212890625
pushed,27,-31.498106002807617,-34.988155364990234,3.490049362182617
fetched,7,-35.850135803222656,-41.63310623168945,5.782970428466797
approximated,17,-35.17308807373047,-42.06499481201172,6.89190673828125
profited,5,-35.841609954833984,-29.598112106323242,-6.243497848510742
discharged,14,-36.286521911621094,-44.46638488769531,8.179862976074219
hit,26,-33.13992691040039,-32.51203918457031,-0.6278877258300781
cost,7,-28.567058563232422,-42.920860290527344,14.353801727294922
took,24,-27.298152923583984,-46.26529312133789,18.967140197753906
knew,33,-29.351987838745117,-37.91823196411133,8.566244125366211
benefited,3,-28.600133895874023,-29.63135528564453,1.0312213897705078
knew,33,-28.748044967651367,-31.232425689697266,2.4843807220458984
heard,32,-31.562759399414062,-41.052101135253906,9.489341735839844
saw,31,-29.201656341552734,-39.74990463256836,10.548248291015625
strengthened,2,-30.505020141601562,-37.42961502075195,6.924594879150391
earned,7,-34.441932678222656,-34.41506576538086,-0.026866912841796875
approximated,20,-40.451595306396484,-45.01180648803711,4.560211181640625
resembled,17,-30.91686248779297,-39.886566162109375,8.969703674316406
knew,33,-29.565147399902344,-32.075801849365234,2.5106544494628906
saw,31,-27.124202728271484,-38.47793197631836,11.353729248046875
resembled,20,-32.23463439941406,-45.247154235839844,13.012519836425781
earned,10,-30.9002628326416,-35.83248519897461,4.932222366333008
dropped,29,-36.134361267089844,-35.7797966003418,-0.3545646667480469
earned,8,-33.98946762084961,-33.07082748413086,-0.91864013671875
took,25,-25.50252342224121,-40.626014709472656,15.123491287231445
required,21,-27.66318130493164,-35.127750396728516,7.464569091796875
pushed,27,-32.376224517822266,-31.541091918945312,-0.8351325988769531
benefited,1,-29.985929489135742,-40.656410217285156,10.670480728149414
strengthened,5,-33.1275749206543,-27.88519859313965,-5.242376327514648
washed,28,-34.25305938720703,-36.11921691894531,1.8661575317382812
radiated,14,-30.991363525390625,-46.90829849243164,15.916934967041016
mirrored,18,-36.37982940673828,-41.989017486572266,5.609188079833984
benefited,4,-34.94792556762695,-31.515918731689453,-3.4320068359375
dropped,29,-31.487924575805664,-33.16893005371094,1.6810054779052734
strengthened,4,-35.408905029296875,-32.05826187133789,-3.3506431579589844
required,22,-32.080169677734375,-38.49610900878906,6.4159393310546875
heard,32,-30.48993492126465,-32.50010299682617,2.0101680755615234
benefited,2,-35.08905029296875,-36.96448516845703,1.8754348754882812
discharged,12,-40.818851470947266,-40.28015899658203,-0.5386924743652344
discharged,13,-37.94512176513672,-42.214454650878906,4.2693328857421875
saw,31,-26.755165100097656,-31.773651123046875,5.018486022949219
fetched,10,-36.641971588134766,-43.18749237060547,6.545520782470703
