frame_no,group,set,active,passive,verb,verb_class,subject,object,is_passivizable,active_score,passive_score,pass_drop
1,A,1,Your investment benefited the community.,The community was benefited by your investment.,benefited,Advantage,donation,communities,0,-30.705429077148438,-37.737796783447266,7.032367706298828
1,A,2,Your investment profited the community.,The community was profited by your investment.,profited,Advantage,donation,communities,0,-38.38410568237305,-44.0035285949707,5.619422912597656
2,A,1,The exercise helped his fitness.,His fitness was helped by the exercise.,helped,Advantage,exercise,fitness,1,-32.87171936035156,-34.65144348144531,1.77972412109375
2,A,2,The exercise strengthened his fitness.,His fitness was strengthened by the exercise.,strengthened,Advantage,exercise,fitness,1,-30.867103576660156,-34.6707649230957,3.803661346435547
3,A,1,Our friendship benefited my life.,My life was benefited by our friendship.,benefited,Advantage,friendship,life,0,-26.937747955322266,-31.701824188232422,4.764076232910156
3,A,2,Our friendship profited my life.,My life was profited by our friendship.,profited,Advantage,friendship,life,0,-33.55060958862305,-42.356651306152344,8.806041717529297
4,A,1,The law helped these workers.,These workers were helped by the law.,helped,Advantage,law,workers,1,-30.3381404876709,-29.274654388427734,-1.063486099243164
4,A,2,The law strengthened these workers.,These workers were strengthened by the law.,strengthened,Advantage,law,workers,1,-37.317779541015625,-32.01850891113281,-5.2992706298828125
5,A,1,The treaty benefited both countries.,Both countries were benefited by the treaty.,benefited,Advantage,treaty,countries,0,-27.59539031982422,-30.808441162109375,3.2130508422851562
5,A,2,The treaty strengthened both countries.,Both countries were strengthened by the treaty.,strengthened,Advantage,treaty,countries,1,-34.41849899291992,-28.534507751464844,-5.883991241455078
6,A,1,Your dish cost ninety dollars.,Ninety dollars was cost by your dish.,cost,Price,dish,dollars,0,-35.93858337402344,-49.622352600097656,13.683769226074219
6,A,2,Your dish fetched ninety dollars.,Ninety dollars was fetched by your dish.,fetched,Price,dish,dollars,1,-48.721832275390625,-52.32203674316406,3.6002044677734375
7,A,1,The painting earned a fortune.,A fortune was earned by the painting.,earned,Price,painting,fortune,1,-32.83466339111328,-36.24213409423828,3.407470703125
8,A,2,The tickets cost a lot of money.,A lot of money was cost by the tickets.,cost,Price,initiative,money,0,-21.970413208007812,-39.11549377441406,17.14508056640625
8,A,1,The tickets fetched a lot of money.,A lot of money was fetched by the tickets.,fetched,Price,initiative,money,1,-37.483726501464844,-40.32453918457031,2.8408126831054688
9,A,2,Your book earned thirty dollars.,Thirty dollars was earned by your book.,earned,Price,book,dollars,1,-32.30821228027344,-37.80799865722656,5.499786376953125
10,A,1,His actions cost the medal.,The medal was cost by his actions.,cost,Price,actions,medal,0,-31.927289962768555,-44.85295867919922,12.925668716430664
10,A,2,His actions fetched the medal.,The medal was fetched by his actions.,fetched,Price,actions,medal,1,-36.54422378540039,-42.72471618652344,6.180492401123047
11,A,1,My friend emanated confidence.,Confidence was emanated by my friend.,emanated,Ooze,friend,confidence,0,-34.082218170166016,-34.73155975341797,0.6493415832519531
11,A,2,My friend radiated confidence.,Confidence was radiated by my friend.,radiated,Ooze,friend,confidence,0,-27.408771514892578,-33.460269927978516,6.0514984130859375
12,A,1,The lightbulb discharged some light.,Some light was discharged by the lightbulb.,discharged,Ooze,lightbulb,light,1,-38.696258544921875,-47.22472381591797,8.528465270996094
12,A,2,The lightbulb emitted some light.,Some light was emitted by the lightbulb.,emitted,Ooze,lightbulb,light,1,-34.22815704345703,-38.57947540283203,4.351318359375
13,A,1,That machine emanated a sound.,A sound was emanated by that machine.,emanated,Ooze,machine,sound,0,-42.974815368652344,-42.65670394897461,-0.3181114196777344
13,A,2,That machine radiated a sound.,A sound was radiated by that machine.,radiated,Ooze,machine,sound,0,-36.411766052246094,-40.71209716796875,4.300331115722656
14,A,1,The teacher discharged wisdom.,Wisdom was discharged by the teacher.,discharged,Ooze,teacher,wisdom,1,-40.12348937988281,-44.03044891357422,3.9069595336914062
14,A,2,The teacher emitted wisdom.,Wisdom was emitted by the teacher.,emitted,Ooze,teacher,wisdom,1,-37.273441314697266,-45.32786178588867,8.054420471191406
15,A,1,The trash emanated an odor.,An odor was emanated by the trash.,emanated,Ooze,trash,odor,0,-46.99289321899414,-41.684532165527344,-5.308361053466797
15,A,2,The trash emitted an odor.,An odor was emitted by the trash.,emitted,Ooze,trash,odor,1,-39.068729400634766,-35.84502029418945,-3.2237091064453125
16,A,1,Your drawing approximated her likeness.,Her likeness was approximated by the drawing.,approximated,Estimation,drawing,likeness,1,-44.631866455078125,-43.34601593017578,-1.2858505249023438
