verb,frame_no,active_score,passive_score,pass_drop
liked,34,-27.521772384643555,-31.695648193359375,4.17387580871582
profited,1,-37.17619323730469,-41.98758316040039,4.811389923095703
radiated,13,-37.21792221069336,-43.93898010253906,6.721057891845703
cost,9,-29.11551284790039,-42.142967224121094,13.027454376220703
carried,30,-23.885746002197266,-34.19334411621094,10.307598114013672
approximated,17,-37.75752639770508,-48.99509048461914,11.237564086914062
emitted,15,-42.483619689941406,-39.123268127441406,-3.3603515625
lasted,23,-22.564516067504883,-43.00836181640625,20.443845748901367
remembered,35,-30.255130767822266,-41.812835693359375,11.55770492553711
pushed,27,-36.45484924316406,-34.68938446044922,-1.7654647827148438
carried,30,-27.778316497802734,-34.3580436706543,6.5797271728515625
earned,8,-31.856712341308594,-34.36000061035156,2.5032882690429688
resembled,20,-28.68719482421875,-45.684478759765625,16.997283935546875
resembled,17,-28.099109649658203,-39.0703125,10.971202850341797
fetched,6,-46.55756378173828,-51.92664337158203,5.36907958984375
washed,28,-34.4237174987793,-38.84378433227539,4.420066833496094
fetched,7,-35.65754699707031,-42.65681457519531,6.999267578125
benefited,2,-36.4272346496582,-39.47205352783203,3.044818878173828
took,22,-26.72064781188965,-40.88013458251953,14.159486770629883
lasted,21,-23.16204833984375,-40.217872619628906,17.055824279785156
matched,20,-26.461177825927734,-36.333621978759766,9.872444152832031
strengthened,1,-31.42953109741211,-39.1681022644043,7.7385711669921875
lasted,24,-26.753917694091797,-54.6473503112793,27.8934326171875
cost,10,-32.2342643737793,-43.174415588378906,10.94015121459961
helped,1,-28.001544952392578,-35.7949104309082,7.793365478515625
matched,16,-36.38020324707031,-36.67860794067383,0.2984046936035156
emitted,14,-40.510894775390625,-46.587554931640625,6.07666015625
matched,17,-29.166269302368164,-35.38353729248047,6.217267990112305
hit,26,-26.4215030670166,-33.50168228149414,7.080179214477539
hit,26,-26.287450790405273,-42.498355865478516,16.210905075073242
profited,3,-38.29027557373047,-43.376060485839844,5.085784912109375
emanated,11,-33.339698791503906,-38.620452880859375,5.280754089355469
profited,5,-40.90629196166992,-32.237876892089844,-8.668415069580078
strengthened,3,-28.478071212768555,-31.659000396728516,3.180929183959961
saw,31,-26.14279556274414,-32.84087371826172,6.698078155517578
dropped,29,-28.275859832763672,-38.0482177734375,9.772357940673828
discharged,15,-42.94313430786133,-45.665809631347656,2.722675323486328
pushed,27,-32.47270965576172,-31.933067321777344,-0.539642333984375
remembered,35,-35.95655059814453,-40.7264404296875,4.769889831542969
mirrored,18,-36.26604461669922,-37.33491897583008,1.0688743591308594
saw,31,-30.88623046875,-35.106590270996094,4.220359802246094
lasted,25,-25.77398109436035,-50.31215286254883,24.538171768188477
benefited,5,-28.145130157470703,-31.840137481689453,3.69500732421875
fetched,10,-40.002830505371094,-44.80482482910156,4.801994323730469
benefited,3,-30.994043350219727,-34.994537353515625,4.000494003295898
helped,4,-33.34716796875,-28.989185333251953,-4.357982635498047
saw,31,-26.726652145385742,-40.39530944824219,13.668657302856445
heard,32,-26.12347984313965,-35.037593841552734,8.914113998413086
cost,7,-28.012683868408203,-40.24488067626953,12.232196807861328
remembered,35,-31.157421112060547,-35.04153060913086,3.8841094970703125
earned,10,-31.018199920654297,-35.25288009643555,4.23468017578125
earned,7,-35.54259490966797,-34.806427001953125,-0.7361679077148438
lasted,22,-24.171300888061523,-47.27992248535156,23.10862159729004
washed,28,-33.259246826171875,-43.345008850097656,10.085762023925781
fetched,8,-34.891380310058594,-45.18856430053711,10.297183990478516
helped,5,-31.169265747070312,-27.490461349487305,-3.678804397583008
mirrored,17,-32.331642150878906,-36.3677978515625,4.036155700683594
resembled,16,-42.15260314941406,-43.745758056640625,1.5931549072265625
discharged,12,-45.330726623535156,-51.25111770629883,5.920391082763672
benefited,4,-34.13855743408203,-32.927001953125,-1.2115554809570312
strengthened,5,-35.16486358642578,-27.343299865722656,-7.821563720703125
emanated,12,-47.17882537841797,-52.0595817565918,4.880756378173828
carried,30,-31.28219223022461,-30.30025863647461,-0.98193359375
saw,31,-26.295455932617188,-42.31468963623047,16.01923370361328
required,24,-33.36656951904297,-49.227149963378906,15.860580444335938
resembled,18,-32.579593658447266,-39.91801452636719,7.338420867919922
hit,26,-32.03331756591797,-38.96415328979492,6.930835723876953
hit,26,-31.534351348876953,-34.633758544921875,3.099407196044922
knew,33,-23.85779571533203,-34.97461700439453,11.1168212890625
emitted,12,-36.23432922363281,-43.488136291503906,7.253807067871094
cost,8,-24.55655288696289,-43.11957931518555,18.563026428222656
heard,32,-33.63260269165039,-39.81744384765625,6.184841156005859
discharged,13,-42.38770294189453,-43.89970779418945,1.5120048522949219
hit,26,-31.149494171142578,-34.84849548339844,3.6990013122558594
discharged,11,-32.41212463378906,-38.628753662109375,6.2166290283203125
emitted,11,-36.56296920776367,-39.67353057861328,3.1105613708496094
dropped,29,-30.90682601928711,-32.2484016418457,1.3415756225585938
washed,28,-30.576061248779297,-35.86475372314453,5.288692474365234
knew,33,-26.42060661315918,-34.869075775146484,8.448469161987305
mirrored,20,-30.543853759765625,-37.22111129760742,6.677257537841797
knew,33,-27.943843841552734,-32.999305725097656,5.055461883544922
emanated,13,-43.8315544128418,-43.82810974121094,-0.003444671630859375
radiated,14,-35.129913330078125,-48.43946075439453,13.309547424316406
required,25,-32.37563705444336,-47.72852325439453,15.352886199951172
dropped,29,-30.774187088012695,-34.1373176574707,3.363130569458008
approximated,19,-35.23605728149414,-40.681236267089844,5.445178985595703
washed,28,-31.974729537963867,-39.85662841796875,7.881898880004883
matched,19,-29.662460327148438,-30.111927032470703,0.4494667053222656
helped,2,-33.120384216308594,-34.68013000488281,1.5597457885742188
took,24,-30.175331115722656,-45.11180877685547,14.936477661132812
liked,34,-33.98173522949219,-38.927268981933594,4.945533752441406
benefited,1,-27.06597137451172,-39.713714599609375,12.647743225097656
dropped,29,-31.37549591064453,-30.933963775634766,-0.4415321350097656
required,21,-27.1961612701416,-36.252159118652344,9.055997848510742
heard,32,-29.957683563232422,-45.630126953125,15.672443389892578
cost,6,-43.17548751831055,-47.15562438964844,3.9801368713378906
remembered,35,-35.69420623779297,-43.381832122802734,7.687625885009766
radiated,11,-28.727022171020508,-41.102516174316406,12.375494003295898
pushed,27,-32.52330780029297,-35.17953872680664,2.656230926513672
discharged,14,-38.795631408691406,-44.92046356201172,6.1248321533203125
pushed,27,-29.278165817260742,-35.00333786010742,5.72517204284668
profited,2,-44.63420104980469,-41.573089599609375,-3.0611114501953125
fetched,9,-36.45874786376953,-45.477230072021484,9.018482208251953
heard,32,-32.772735595703125,-46.725830078125,13.953094482421875
approximated,20,-34.498653411865234,-43.014801025390625,8.51614761352539
dropped,29,-36.12403869628906,-33.02195358276367,-3.1020851135253906
washed,28,-33.240013122558594,-35.40702438354492,2.167011260986328
emanated,15,-46.46509552001953,-42.575260162353516,-3.8898353576660156
liked,34,-29.057098388671875,-30.745994567871094,1.6888961791992188
required,22,-29.28821563720703,-42.008544921875,12.720329284667969
approximated,16,-44.279808044433594,-42.444129943847656,-1.8356781005859375
earned,9,-31.029136657714844,-36.214839935302734,5.185703277587891
radiated,12,-40.57847595214844,-49.29869079589844,8.72021484375
pushed,27,-31.86263084411621,-31.66161346435547,-0.2010173797607422
emanated,14,-39.6239013671875,-45.43955993652344,5.8156585693359375
approximated,18,-37.77927780151367,-45.999595642089844,8.220317840576172
liked,34,-28.045495986938477,-42.870567321777344,14.825071334838867
remembered,35,-29.313030242919922,-31.672367095947266,2.3593368530273438
matched,18,-32.579647064208984,-37.85578155517578,5.276134490966797
carried,30,-32.21360778808594,-37.5377197265625,5.3241119384765625
saw,31,-32.25342559814453,-34.93340301513672,2.6799774169921875
mirrored,19,-25.52813720703125,-28.981470108032227,3.4533329010009766
liked,34,-29.73611831665039,-42.049400329589844,12.313282012939453
helped,3,-28.68932342529297,-29.57419204711914,0.8848686218261719
knew,33,-26.901891708374023,-31.891128540039062,4.989236831665039
earned,6,-45.223548889160156,-42.574920654296875,-2.6486282348632812
took,21,-21.780284881591797,-31.68543243408203,9.905147552490234
took,25,-26.103649139404297,-41.96559143066406,15.861942291259766
knew,33,-28.878177642822266,-39.11198043823242,10.233802795410156
