verb,frame_no,active_score,passive_score,pass_drop
matched,16,-38.73331069946289,-36.835716247558594,-1.8975944519042969
remembered,35,-33.738067626953125,-41.3898811340332,7.651813507080078
saw,31,-24.37394905090332,-37.83700180053711,13.463052749633789
required,25,-32.12698745727539,-47.411067962646484,15.284080505371094
approximated,17,-34.73683166503906,-44.71489715576172,9.978065490722656
knew,33,-27.095537185668945,-31.395679473876953,4.300142288208008
carried,30,-32.38957977294922,-28.422109603881836,-3.967470169067383
cost,6,-37.56810760498047,-57.02011489868164,19.452007293701172
washed,28,-31.623943328857422,-33.10582733154297,1.4818840026855469
took,21,-20.554697036743164,-32.56647491455078,12.011777877807617
knew,33,-29.19583511352539,-32.41719055175781,3.221355438232422
fetched,6,-43.287105560302734,-55.694759368896484,12.40765380859375
remembered,35,-33.984283447265625,-40.85614013671875,6.871856689453125
emitted,14,-35.429710388183594,-44.9703483581543,9.540637969970703
benefited,3,-25.237472534179688,-33.081085205078125,7.8436126708984375
pushed,27,-35.74009323120117,-34.829505920410156,-0.9105873107910156
fetched,9,-33.833805084228516,-44.98533248901367,11.151527404785156
lasted,21,-21.657711029052734,-38.64491653442383,16.987205505371094
heard,32,-25.197528839111328,-29.16033172607422,3.9628028869628906
emanated,13,-38.78145980834961,-42.25294494628906,3.471485137939453
strengthened,2,-33.834999084472656,-36.78084182739258,2.945842742919922
dropped,29,-32.50119400024414,-29.45867156982422,-3.042522430419922
resembled,16,-43.52888488769531,-44.027061462402344,0.49817657470703125
earned,10,-29.788936614990234,-40.73430252075195,10.945365905761719
mirrored,18,-36.6465950012207,-39.447669982910156,2.801074981689453
strengthened,5,-34.431907653808594,-30.304975509643555,-4.126932144165039
lasted,23,-22.801246643066406,-42.523048400878906,19.7218017578125
liked,34,-27.16351318359375,-28.902687072753906,1.7391738891601562
benefited,2,-35.210052490234375,-36.79042434692383,1.5803718566894531
helped,3,-26.460689544677734,-30.306379318237305,3.8456897735595703
radiated,12,-42.44618225097656,-40.319454193115234,-2.126728057861328
discharged,13,-36.66876983642578,-42.73712158203125,6.068351745605469
saw,31,-24.742549896240234,-39.00071716308594,14.258167266845703
helped,2,-31.842130661010742,-34.49851608276367,2.6563854217529297
carried,30,-32.55295181274414,-33.37396240234375,0.8210105895996094
cost,10,-32.4256591796875,-49.88616943359375,17.46051025390625
resembled,19,-27.980579376220703,-32.61366271972656,4.633083343505859
hit,26,-26.99642562866211,-29.48318099975586,2.48675537109375
mirrored,19,-27.273448944091797,-29.42884635925293,2.155397415161133
approximated,20,-36.257286071777344,-47.59410095214844,11.336814880371094
took,25,-26.32647132873535,-42.4218864440918,16.095415115356445
