active_score,passive_score,pass_drop,verb,frame
-34.38389587402344,-42.12088394165039,7.736988067626953,benefited,1
-41.05584716796875,-47.24912643432617,6.193279266357422,profited,1
-32.861454010009766,-39.017494201660156,6.156040191650391,helped,2
-34.63961410522461,-42.146392822265625,7.506778717041016,strengthened,2
-29.596057891845703,-32.641258239746094,3.0452003479003906,benefited,3
-38.03472900390625,-43.92890548706055,5.894176483154297,profited,3
-32.6917610168457,-31.613384246826172,-1.0783767700195312,helped,4
-42.390403747558594,-35.128456115722656,-7.2619476318359375,strengthened,4
-26.975793838500977,-34.37115478515625,7.395360946655273,benefited,5
-37.26300811767578,-33.02704620361328,-4.2359619140625,strengthened,5
-32.88017272949219,-40.104820251464844,7.224647521972656,helped,1
-34.95025634765625,-41.261863708496094,6.311607360839844,strengthened,1
-39.27266311645508,-41.76959991455078,2.496936798095703,benefited,2
-40.8648796081543,-47.19784927368164,6.332969665527344,profited,2
-32.35991668701172,-28.68046760559082,-3.6794490814208984,helped,3
-29.47365379333496,-31.4582462310791,1.9845924377441406,strengthened,3
-32.24797058105469,-34.50124740600586,2.253276824951172,benefited,4
-42.376258850097656,-36.01221466064453,-6.364044189453125,profited,4
-31.301376342773438,-33.0752067565918,1.7738304138183594,helped,5
-36.93888473510742,-40.910240173339844,3.971355438232422,profited,5
-35.5345458984375,-53.11862564086914,17.58407974243164,cost,6
-44.420936584472656,-54.948577880859375,10.527641296386719,fetched,6
-38.54934310913086,-32.090614318847656,-6.458728790283203,earned,7
-24.815200805664062,-45.1566047668457,20.34140396118164,cost,8
-34.7964973449707,-40.92811965942383,6.131622314453125,fetched,8
-33.25363540649414,-34.01465606689453,0.7610206604003906,earned,9
-31.612943649291992,-45.18135452270508,13.568410873413086,cost,10
-39.1817512512207,-45.04451370239258,5.862762451171875,fetched,10
-43.3851203918457,-46.391876220703125,3.006755828857422,earned,6
-27.33747100830078,-43.944725036621094,16.607254028320312,cost,7
-36.848602294921875,-42.73739242553711,5.888790130615234,fetched,7
-34.63425064086914,-33.995155334472656,-0.6390953063964844,earned,8
-30.618637084960938,-39.02305603027344,8.4044189453125,cost,9
-37.187435150146484,-44.09446716308594,6.907032012939453,fetched,9
-31.831985473632812,-33.964805603027344,2.1328201293945312,earned,10
-41.64409637451172,-42.008052825927734,0.3639564514160156,emanated,11
-37.14950942993164,-40.04737091064453,2.8978614807128906,radiated,11
-39.16935729980469,-48.25892639160156,9.089569091796875,discharged,12
-29.547847747802734,-37.53129959106445,7.983451843261719,emitted,12
-41.05534362792969,-44.45532989501953,3.3999862670898438,emanated,13
-37.757598876953125,-44.398170471191406,6.640571594238281,radiated,13
-35.644752502441406,-42.84922409057617,7.204471588134766,discharged,14
-34.1563606262207,-47.15847396850586,13.002113342285156,emitted,14
-46.147239685058594,-48.57578659057617,2.428546905517578,emanated,15
-42.24231719970703,-34.31500244140625,-7.927314758300781,emitted,15
-40.44887924194336,-38.785606384277344,-1.6632728576660156,discharged,11
-38.83071517944336,-38.665687561035156,-0.16502761840820312,emitted,11
-48.953102111816406,-48.19659423828125,-0.7565078735351562,emanated,12
-40.825469970703125,-39.79450607299805,-1.0309638977050781,radiated,12
-39.82640838623047,-45.85333251953125,6.026924133300781,discharged,13
-30.59571647644043,-33.0060920715332,2.4103755950927734,emitted,13
-41.973793029785156,-44.22806930541992,2.2542762756347656,emanated,14
-37.21446990966797,-43.90473937988281,6.690269470214844,radiated,14
-40.81977844238281,-47.97227096557617,7.152492523193359,discharged,15
-47.388511657714844,-42.222694396972656,-5.1658172607421875,radiated,15
-46.638519287109375,-46.32817840576172,-0.31034088134765625,approximated,16
-40.75393295288086,-40.096858978271484,-0.657073974609375,mirrored,16
-28.116594314575195,-36.9803581237793,8.863763809204102,matched,17
-30.53209686279297,-44.24371337890625,13.711616516113281,resembled,17
-48.13591003417969,-45.38053512573242,-2.7553749084472656,approximated,18
-33.264766693115234,-41.62543487548828,8.360668182373047,mirrored,18
-29.168718338012695,-30.606616973876953,1.4378986358642578,matched,19
-26.363536834716797,-35.62185287475586,9.258316040039062,resembled,19
-41.963417053222656,-47.09233093261719,5.128913879394531,approximated,20
-30.339345932006836,-46.76048278808594,16.4211368560791,resembled,20
-35.0654296875,-40.645301818847656,5.579872131347656,matched,16
-43.8626708984375,-43.892433166503906,0.02976226806640625,resembled,16
-33.75299072265625,-46.532039642333984,12.779048919677734,approximated,17
-31.83468246459961,-41.662662506103516,9.827980041503906,mirrored,17
