verb,frame_no,active_score,passive_score,pass_drop
heard,32,-23.694278717041016,-31.09395980834961,7.399681091308594
took,25,-26.697792053222656,-39.287567138671875,12.589775085449219
heard,32,-31.504457473754883,-43.881839752197266,12.377382278442383
approximated,20,-36.044315338134766,-45.121482849121094,9.077167510986328
fetched,9,-34.64337158203125,-44.32316970825195,9.679798126220703
resembled,19,-25.980579376220703,-30.451705932617188,4.471126556396484
knew,33,-28.21355438232422,-35.483482360839844,7.269927978515625
helped,2,-34.247406005859375,-36.10176086425781,1.8543548583984375
benefited,3,-29.91873550415039,-32.26262283325195,2.3438873291015625
knew,33,-26.113021850585938,-37.576080322265625,11.463058471679688
helped,5,-32.4664306640625,-28.4212646484375,-4.045166015625
carried,30,-32.280487060546875,-30.36627960205078,-1.9142074584960938
washed,28,-34.56727600097656,-40.60369110107422,6.036415100097656
fetched,7,-35.51984786987305,-42.147823333740234,6.6279754638671875
remembered,35,-28.66738510131836,-36.98413848876953,8.316753387451172
saw,31,-31.8262939453125,-34.468231201171875,2.641937255859375
lasted,23,-25.750408172607422,-46.14250946044922,20.392101287841797
earned,9,-30.431947708129883,-36.48326873779297,6.051321029663086
radiated,11,-30.559555053710938,-40.55057907104492,9.991024017333984
approximated,18,-44.35335922241211,-49.80522155761719,5.451862335205078
pushed,27,-28.953964233398438,-32.63882064819336,3.684856414794922
mirrored,20,-30.526653289794922,-40.1650390625,9.638385772705078
emitted,14,-37.60894775390625,-44.190330505371094,6.581382751464844
remembered,35,-28.957298278808594,-43.71734619140625,14.760047912597656
profited,3,-35.99225616455078,-39.265098571777344,3.2728424072265625
cost,10,-32.540531158447266,-44.62672805786133,12.086196899414062
emanated,11,-36.68718719482422,-38.646087646484375,1.9589004516601562
profited,1,-39.524169921875,-45.017234802246094,5.493064880371094
approximated,16,-39.51303482055664,-42.67922592163086,3.1661911010742188
pushed,27,-28.753599166870117,-30.90386390686035,2.1502647399902344
cost,8,-23.24813461303711,-38.27164077758789,15.023506164550781
emitted,13,-33.865089416503906,-34.49800109863281,0.6329116821289062
saw,31,-25.307945251464844,-32.236236572265625,6.928291320800781
mirrored,16,-38.80453109741211,-39.117042541503906,0.3125114440917969
strengthened,2,-33.89420700073242,-34.82658004760742,0.932373046875
fetched,10,-37.69712829589844,-44.272117614746094,6.574989318847656
took,21,-20.78879737854004,-31.391361236572266,10.602563858032227
profited,4,-35.88256072998047,-33.80622863769531,-2.0763320922851562
helped,4,-31.27694320678711,-29.64203453063965,-1.634908676147461
profited,2,-40.19673156738281,-41.298221588134766,1.1014900207519531
emanated,13,-45.25153350830078,-43.30918884277344,-1.9423446655273438
emitted,12,-35.791404724121094,-34.81366729736328,-0.9777374267578125
remembered,35,-31.29511070251465,-31.846311569213867,0.5512008666992188
radiated,13,-39.04151153564453,-40.826820373535156,1.785308837890625
lasted,22,-22.683311462402344,-48.41529083251953,25.731979370117188
washed,28,-32.958229064941406,-37.79847717285156,4.840248107910156
liked,34,-26.0223445892334,-43.313819885253906,17.291475296020508
heard,32,-30.014068603515625,-39.4681396484375,9.454071044921875
lasted,21,-19.94443702697754,-43.37093734741211,23.42650032043457
required,22,-28.58443260192871,-37.97698974609375,9.392557144165039
lasted,24,-24.370098114013672,-52.901397705078125,28.531299591064453
required,25,-31.51565933227539,-42.32822036743164,10.81256103515625
benefited,5,-30.231708526611328,-30.476882934570312,0.24517440795898438
liked,34,-36.161434173583984,-37.037296295166016,0.8758621215820312
dropped,29,-27.671005249023438,-32.544349670410156,4.873344421386719
carried,30,-28.212379455566406,-33.047237396240234,4.834857940673828
pushed,27,-31.043209075927734,-34.61377716064453,3.570568084716797
took,22,-25.29939079284668,-38.138858795166016,12.839468002319336
benefited,4,-32.82906723022461,-31.030208587646484,-1.798858642578125
washed,28,-33.03476333618164,-34.854366302490234,1.8196029663085938
strengthened,3,-29.03313446044922,-30.472688674926758,1.439554214477539
matched,18,-37.28913116455078,-40.73788833618164,3.4487571716308594
profited,5,-35.988189697265625,-34.14738464355469,-1.8408050537109375
discharged,14,-38.17463684082031,-44.217960357666016,6.043323516845703
matched,16,-35.148380279541016,-37.587730407714844,2.439350128173828
matched,19,-31.056304931640625,-27.040210723876953,-4.016094207763672
strengthened,1,-33.97148132324219,-39.47220993041992,5.500728607177734
liked,34,-29.85886573791504,-31.056669235229492,1.1978034973144531
helped,3,-28.773752212524414,-30.114545822143555,1.3407936096191406
heard,32,-29.73421287536621,-33.781124114990234,4.046911239624023
earned,8,-30.07253646850586,-33.513877868652344,3.4413414001464844
hit,26,-26.01791000366211,-40.73110580444336,14.71319580078125
fetched,6,-42.19346618652344,-48.20595932006836,6.012493133544922
saw,31,-26.257020950317383,-40.12378692626953,13.866765975952148
hit,26,-30.930316925048828,-34.40855026245117,3.4782333374023438
radiated,12,-38.07013702392578,-40.43437957763672,2.3642425537109375
approximated,17,-38.515750885009766,-45.18982696533203,6.674076080322266
remembered,35,-32.180580139160156,-42.766048431396484,10.585468292236328
emanated,14,-35.67927932739258,-48.81427001953125,13.134990692138672
dropped,29,-34.178001403808594,-32.883636474609375,-1.2943649291992188
pushed,27,-36.33784103393555,-33.921627044677734,-2.4162139892578125
saw,31,-29.280223846435547,-33.37147521972656,4.091251373291016
pushed,27,-28.61852264404297,-33.37385559082031,4.755332946777344
remembered,35,-36.05729675292969,-39.99871826171875,3.9414215087890625
benefited,1,-28.065916061401367,-39.87700653076172,11.811090469360352
hit,26,-30.087221145629883,-31.447179794311523,1.3599586486816406
liked,34,-27.032833099365234,-35.512657165527344,8.47982406616211
emanated,12,-44.32029724121094,-47.616512298583984,3.296215057373047
hit,26,-25.569103240966797,-30.716411590576172,5.147308349609375
matched,20,-27.442153930664062,-39.409446716308594,11.967292785644531
dropped,29,-30.165531158447266,-32.285560607910156,2.1200294494628906
cost,6,-33.500038146972656,-47.631736755371094,14.131698608398438
mirrored,18,-34.586124420166016,-40.33994674682617,5.753822326660156
radiated,14,-33.605743408203125,-46.273590087890625,12.6678466796875
benefited,2,-33.10304260253906,-37.282562255859375,4.1795196533203125
fetched,8,-32.905967712402344,-40.37607192993164,7.470104217529297
earned,6,-37.865509033203125,-42.6306037902832,4.765094757080078
approximated,19,-36.40059280395508,-36.3038330078125,-0.09675979614257812
resembled,18,-35.028690338134766,-40.27625274658203,5.247562408447266
required,24,-29.016054153442383,-44.324188232421875,15.308134078979492
hit,26,-29.12957000732422,-31.539722442626953,2.4101524353027344
discharged,11,-33.770748138427734,-35.339847564697266,1.5690994262695312
took,23,-23.011348724365234,-33.79058074951172,10.779232025146484
required,21,-26.89629364013672,-34.587440490722656,7.6911468505859375
cost,7,-26.956401824951172,-41.363365173339844,14.406963348388672
carried,30,-32.9166145324707,-33.28676223754883,0.370147705078125
washed,28,-31.300992965698242,-39.280330657958984,7.979337692260742
heard,32,-30.202396392822266,-43.27545166015625,13.073055267333984
lasted,25,-26.923187255859375,-48.97289276123047,22.049705505371094
matched,17,-29.445737838745117,-35.90334701538086,6.457609176635742
required,23,-30.49135971069336,-32.54258728027344,2.051227569580078
discharged,15,-43.511192321777344,-44.084136962890625,0.5729446411132812
carried,30,-35.5565185546875,-36.78578567504883,1.2292671203613281
emitted,11,-35.324073791503906,-36.14802169799805,0.8239479064941406
resembled,17,-25.610361099243164,-38.210487365722656,12.600126266479492
knew,33,-28.928573608398438,-34.10039520263672,5.171821594238281
liked,34,-28.88506317138672,-41.58305740356445,12.697994232177734
radiated,15,-41.8906364440918,-44.208229064941406,2.3175926208496094
washed,28,-30.755027770996094,-38.07426071166992,7.319232940673828
earned,7,-34.18745422363281,-34.71870803833008,0.5312538146972656
dropped,29,-26.28357696533203,-39.96495056152344,13.681373596191406
discharged,13,-40.37284851074219,-40.538475036621094,0.16562652587890625
discharged,12,-38.55908203125,-41.2043342590332,2.645252227783203
knew,33,-29.777469635009766,-38.21965789794922,8.442188262939453
strengthened,5,-34.52238082885742,-28.885770797729492,-5.63661003112793
knew,33,-27.65522575378418,-35.51490020751953,7.859674453735352
dropped,29,-29.88170051574707,-34.32548904418945,4.443788528442383
resembled,16,-37.405113220214844,-43.27880096435547,5.873687744140625
cost,9,-25.967933654785156,-39.87725067138672,13.909317016601562
took,24,-29.99941062927246,-43.54795837402344,13.548547744750977
strengthened,4,-36.01169967651367,-32.911163330078125,-3.100536346435547
emitted,15,-44.933780670166016,-37.33566665649414,-7.598114013671875
emanated,15,-48.91438293457031,-44.99639892578125,-3.9179840087890625
resembled,20,-28.125232696533203,-44.39421844482422,16.268985748291016
carried,30,-26.447620391845703,-34.16857147216797,7.720951080322266
earned,10,-29.523483276367188,-35.78865051269531,6.265167236328125
mirrored,19,-28.215721130371094,-27.628860473632812,-0.5868606567382812
helped,1,-28.753524780273438,-38.436920166015625,9.683395385742188
mirrored,17,-31.443466186523438,-36.56974411010742,5.126277923583984
saw,31,-27.987163543701172,-41.77455139160156,13.78738784790039
