verb,frame_no,active_score,passive_score,pass_drop
emitted,15,-40.58304214477539,-35.623470306396484,-4.959571838378906
knew,33,-30.845491409301758,-32.254127502441406,1.4086360931396484
saw,31,-27.12320327758789,-41.31182861328125,14.18862533569336
benefited,3,-32.171531677246094,-31.707054138183594,-0.4644775390625
matched,17,-32.09943771362305,-36.090171813964844,3.990734100341797
approximated,20,-33.080955505371094,-44.821861267089844,11.74090576171875
radiated,13,-38.61436080932617,-44.87066650390625,6.256305694580078
benefited,4,-32.628326416015625,-32.6818962097168,0.053569793701171875
strengthened,3,-29.620075225830078,-31.429378509521484,1.8093032836914062
profited,3,-37.22838592529297,-40.69485855102539,3.466472625732422
pushed,27,-32.714359283447266,-29.739845275878906,-2.9745140075683594
strengthened,5,-36.252777099609375,-29.028594970703125,-7.22418212890625
hit,26,-30.13682746887207,-28.40590476989746,-1.7309226989746094
required,21,-26.848873138427734,-33.588008880615234,6.7391357421875
washed,28,-33.72035217285156,-38.060646057128906,4.340293884277344
remembered,35,-29.544641494750977,-34.3970947265625,4.852453231811523
remembered,35,-36.35401153564453,-40.49213409423828,4.13812255859375
profited,2,-40.08613204956055,-42.189823150634766,2.1036911010742188
cost,9,-29.09578514099121,-43.76882553100586,14.673040390014648
radiated,14,-35.4391975402832,-44.139427185058594,8.70022964477539
liked,34,-27.944414138793945,-44.30657958984375,16.362165451049805
discharged,15,-40.10589599609375,-41.05797576904297,0.9520797729492188
helped,5,-34.59705352783203,-29.018352508544922,-5.578701019287109
required,25,-34.27817153930664,-45.783023834228516,11.504852294921875
radiated,15,-42.23967742919922,-40.66175079345703,-1.5779266357421875
took,22,-25.226951599121094,-42.59612274169922,17.369171142578125
resembled,19,-25.95955467224121,-33.6826171875,7.723062515258789
mirrored,17,-31.71843147277832,-38.21303176879883,6.494600296020508
pushed,27,-29.875368118286133,-33.72883605957031,3.8534679412841797
emitted,11,-31.67475128173828,-37.816131591796875,6.141380310058594
emanated,12,-44.09455871582031,-45.914527893066406,1.8199691772460938
mirrored,18,-33.692481994628906,-39.54277038574219,5.850288391113281
took,24,-33.1627197265625,-46.61055374145508,13.447834014892578
