verb,frame_no,active_score,passive_score,pass_drop
heard,32,-32.81285858154297,-38.59447479248047,5.7816162109375
fetched,6,-43.06462478637695,-53.85853576660156,10.79391098022461
approximated,18,-40.79836654663086,-44.121246337890625,3.3228797912597656
washed,28,-33.70174026489258,-38.45389175415039,4.7521514892578125
matched,20,-31.093503952026367,-37.643672943115234,6.550168991088867
hit,26,-28.50045394897461,-29.303871154785156,0.8034172058105469
matched,16,-36.00975036621094,-38.319156646728516,2.309406280517578
emanated,13,-34.849639892578125,-40.29833221435547,5.448692321777344
saw,31,-28.567386627197266,-41.63379669189453,13.066410064697266
helped,5,-32.86295700073242,-30.045188903808594,-2.817768096923828
profited,4,-40.85781478881836,-31.79157257080078,-9.066242218017578
mirrored,16,-37.23927307128906,-41.80949401855469,4.570220947265625
approximated,17,-37.48701858520508,-41.31217956542969,3.8251609802246094
benefited,4,-32.137149810791016,-32.729854583740234,0.5927047729492188
earned,6,-39.13934326171875,-46.22399139404297,7.084648132324219
emitted,11,-39.09326171875,-36.914878845214844,-2.1783828735351562
lasted,21,-22.06844139099121,-38.66614532470703,16.59770393371582
discharged,11,-36.92724609375,-33.87700271606445,-3.050243377685547
mirrored,20,-31.146419525146484,-37.78784942626953,6.641429901123047
helped,3,-28.380760192871094,-29.306957244873047,0.9261970520019531
saw,31,-29.83629608154297,-33.74462890625,3.9083328247070312
earned,7,-32.92643737792969,-33.75312423706055,0.8266868591308594
lasted,24,-23.639236450195312,-51.58585739135742,27.94662094116211
emitted,15,-38.86196517944336,-34.61920928955078,-4.242755889892578
fetched,9,-40.04201126098633,-46.520904541015625,6.478893280029297
carried,30,-29.238243103027344,-28.471397399902344,-0.766845703125
emitted,13,-28.921157836914062,-33.27172088623047,4.350563049316406
pushed,27,-39.320045471191406,-35.969566345214844,-3.3504791259765625
discharged,13,-36.474937438964844,-42.26441955566406,5.789482116699219
knew,33,-26.374963760375977,-35.297218322753906,8.92225456237793
liked,34,-25.962146759033203,-30.974899291992188,5.012752532958984
discharged,14,-37.7785530090332,-43.03111267089844,5.252559661865234
pushed,27,-29.560749053955078,-34.24664306640625,4.685894012451172
cost,8,-22.577333450317383,-39.365692138671875,16.788358688354492
knew,33,-29.929080963134766,-31.663555145263672,1.7344741821289062
pushed,27,-30.651161193847656,-31.411338806152344,0.7601776123046875
strengthened,4,-37.90290069580078,-33.769989013671875,-4.132911682128906
required,21,-29.12265396118164,-36.07402801513672,6.951374053955078
strengthened,1,-32.079437255859375,-39.86091613769531,7.7814788818359375
liked,34,-30.42984390258789,-40.54157257080078,10.11172866821289
approximated,16,-45.23973083496094,-41.71607208251953,-3.5236587524414062
approximated,20,-35.61045455932617,-42.294010162353516,6.683555603027344
took,21,-20.280086517333984,-30.062175750732422,9.782089233398438
benefited,3,-26.279783248901367,-32.08213424682617,5.802350997924805
hit,26,-31.31004524230957,-34.052032470703125,2.7419872283935547
matched,19,-30.24270248413086,-32.05956268310547,1.8168601989746094
dropped,29,-31.79726791381836,-30.12325668334961,-1.67401123046875
radiated,12,-34.93034362792969,-35.870323181152344,0.9399795532226562
strengthened,3,-28.073486328125,-30.468399047851562,2.3949127197265625
profited,1,-39.66539764404297,-43.55656433105469,3.8911666870117188
hit,26,-27.032381057739258,-30.200897216796875,3.168516159057617
lasted,23,-24.464351654052734,-42.599056243896484,18.13470458984375
remembered,35,-35.040565490722656,-45.205318450927734,10.164752960205078
remembered,35,-30.047996520996094,-34.89092254638672,4.842926025390625
emanated,11,-37.58218765258789,-39.60108947753906,2.018901824951172
discharged,15,-38.41150665283203,-40.61955261230469,2.2080459594726562
washed,28,-35.48184585571289,-39.62749481201172,4.145648956298828
fetched,8,-33.41716766357422,-42.15058135986328,8.733413696289062
remembered,35,-32.05695343017578,-32.896759033203125,0.8398056030273438
earned,9,-30.78388786315918,-37.879844665527344,7.095956802368164
required,24,-31.168067932128906,-45.543113708496094,14.375045776367188
dropped,29,-36.067989349365234,-34.15031433105469,-1.9176750183105469
emanated,14,-37.36937713623047,-47.212669372558594,9.843292236328125
took,25,-27.14034652709961,-41.1779899597168,14.037643432617188
washed,28,-32.32254409790039,-31.01886558532715,-1.3036785125732422
benefited,1,-28.23526954650879,-39.720699310302734,11.485429763793945
heard,32,-30.026264190673828,-43.399330139160156,13.373065948486328
hit,26,-23.689191818237305,-39.57154846191406,15.882356643676758
earned,10,-27.348237991333008,-34.361366271972656,7.013128280639648
radiated,13,-35.207115173339844,-40.46953582763672,5.262420654296875
carried,30,-27.895030975341797,-34.768280029296875,6.873249053955078
strengthened,5,-35.151405334472656,-27.99880599975586,-7.152599334716797
remembered,35,-36.60169982910156,-44.28699493408203,7.685295104980469
matched,18,-34.44746398925781,-39.53266906738281,5.085205078125
saw,31,-27.549379348754883,-31.26523780822754,3.7158584594726562
profited,3,-34.953468322753906,-35.61564636230469,0.6621780395507812
helped,4,-32.78041076660156,-30.505279541015625,-2.2751312255859375
resembled,16,-33.67209243774414,-42.146114349365234,8.474021911621094
took,22,-25.035327911376953,-38.65960693359375,13.624279022216797
earned,8,-30.740602493286133,-35.09512710571289,4.354524612426758
lasted,22,-21.878520965576172,-47.38914108276367,25.5106201171875
heard,32,-30.565818786621094,-43.32200241088867,12.756183624267578
emitted,12,-30.196435928344727,-33.081764221191406,2.8853282928466797
took,23,-23.74025535583496,-32.92078399658203,9.18052864074707
liked,34,-31.268444061279297,-41.52553939819336,10.257095336914062
washed,28,-32.058570861816406,-36.17821502685547,4.1196441650390625
saw,31,-28.34615135192871,-40.39097213745117,12.044820785522461
liked,34,-32.23949432373047,-38.58478927612305,6.345294952392578
benefited,2,-37.17561721801758,-36.41827392578125,-0.7573432922363281
dropped,29,-29.71457290649414,-33.74803924560547,4.033466339111328
pushed,27,-29.45651626586914,-35.10841369628906,5.651897430419922
approximated,19,-37.32939529418945,-36.860687255859375,-0.4687080383300781
washed,28,-34.97801208496094,-32.32231521606445,-2.6556968688964844
cost,7,-27.35642433166504,-40.43206787109375,13.075643539428711
liked,34,-30.722240447998047,-31.15696907043457,0.43472862243652344
mirrored,18,-33.969688415527344,-40.049827575683594,6.08013916015625
carried,30,-34.678382873535156,-32.97871398925781,-1.6996688842773438
carried,30,-31.271881103515625,-37.09233856201172,5.820457458496094
profited,2,-43.796607971191406,-43.50098419189453,-0.295623779296875
