verb,frame_no,active_score,passive_score,pass_drop
benefited,4,-33.184085845947266,-30.216567993164062,-2.967517852783203
helped,4,-33.107093811035156,-27.884754180908203,-5.222339630126953
radiated,11,-32.174312591552734,-42.19590759277344,10.021595001220703
lasted,22,-23.299894332885742,-45.91570281982422,22.615808486938477
matched,18,-30.716808319091797,-39.548133850097656,8.83132553100586
required,25,-35.737937927246094,-44.54255676269531,8.804618835449219
required,22,-28.165224075317383,-40.97559356689453,12.810369491577148
approximated,16,-42.27571105957031,-39.08055114746094,-3.195159912109375
washed,28,-35.8163948059082,-38.42447280883789,2.6080780029296875
profited,2,-41.43903350830078,-40.718631744384766,-0.7204017639160156
matched,16,-35.776756286621094,-39.35370635986328,3.5769500732421875
saw,31,-28.41445541381836,-32.13064956665039,3.7161941528320312
knew,33,-27.352569580078125,-35.55897903442383,8.206409454345703
earned,10,-31.443309783935547,-35.69791030883789,4.254600524902344
saw,31,-33.0169563293457,-34.26749038696289,1.2505340576171875
remembered,35,-27.932964324951172,-35.34087371826172,7.407909393310547
remembered,35,-30.71882438659668,-33.728328704833984,3.0095043182373047
cost,8,-23.037437438964844,-42.02490234375,18.987464904785156
helped,1,-29.78921127319336,-37.05344009399414,7.264228820800781
heard,32,-32.293277740478516,-33.66478729248047,1.3715095520019531
required,21,-28.522077560424805,-37.303993225097656,8.781915664672852
mirrored,16,-42.36680603027344,-39.972869873046875,-2.3939361572265625
took,22,-25.614885330200195,-41.014442443847656,15.399557113647461
emitted,11,-38.93563461303711,-40.734169006347656,1.7985343933105469
benefited,3,-30.206844329833984,-32.02525329589844,1.8184089660644531
resembled,19,-28.728248596191406,-35.352134704589844,6.6238861083984375
carried,30,-34.739444732666016,-31.780662536621094,-2.958782196044922
approximated,17,-37.59880447387695,-44.4664306640625,6.867626190185547
resembled,17,-32.187400817871094,-43.4105339050293,11.223133087158203
strengthened,2,-32.89801788330078,-33.985023498535156,1.087005615234375
lasted,21,-21.19894790649414,-37.3822021484375,16.18325424194336
saw,31,-28.033132553100586,-42.23986053466797,14.206727981567383
hit,26,-30.665206909179688,-35.41879653930664,4.753589630126953
approximated,18,-35.00241470336914,-41.6358757019043,6.633460998535156
liked,34,-32.40150451660156,-35.772438049316406,3.3709335327148438
mirrored,17,-33.281707763671875,-39.99647521972656,6.7147674560546875
liked,34,-27.256420135498047,-36.2130126953125,8.956592559814453
radiated,14,-37.17144775390625,-45.51610565185547,8.344657897949219
emitted,15,-35.59905242919922,-34.984962463378906,-0.6140899658203125
carried,30,-27.5673770904541,-33.193607330322266,5.626230239868164
resembled,20,-28.7043514251709,-47.54170227050781,18.837350845336914
mirrored,18,-33.053794860839844,-39.23188018798828,6.1780853271484375
profited,5,-39.82611846923828,-31.540531158447266,-8.285587310791016
approximated,19,-34.80553436279297,-34.46492385864258,-0.3406105041503906
washed,28,-33.87285232543945,-33.94415283203125,0.07130050659179688
heard,32,-33.723785400390625,-37.059104919433594,3.3353195190429688
liked,34,-32.56731033325195,-32.39417266845703,-0.17313766479492188
washed,28,-34.638916015625,-35.55354690551758,0.9146308898925781
dropped,29,-31.47040557861328,-36.526607513427734,5.056201934814453
profited,3,-35.60413360595703,-36.94413375854492,1.3400001525878906
emitted,14,-38.99302291870117,-45.564849853515625,6.571826934814453
took,24,-29.51660919189453,-45.800689697265625,16.284080505371094
discharged,14,-36.995872497558594,-45.85545349121094,8.859580993652344
benefited,2,-36.393775939941406,-35.05351257324219,-1.3402633666992188
discharged,11,-36.074058532714844,-42.960906982421875,6.886848449707031
fetched,8,-31.306163787841797,-41.129947662353516,9.823783874511719
emanated,12,-40.39906692504883,-45.62217712402344,5.223110198974609
carried,30,-34.2049560546875,-33.3812370300293,-0.8237190246582031
mirrored,19,-29.096948623657227,-31.34756851196289,2.250619888305664
profited,1,-37.24079513549805,-41.68618392944336,4.4453887939453125
resembled,18,-32.06724166870117,-39.541324615478516,7.474082946777344
emanated,11,-38.967926025390625,-43.3454704284668,4.377544403076172
fetched,7,-35.66839599609375,-39.96996307373047,4.301567077636719
benefited,5,-30.390453338623047,-30.86458969116211,0.4741363525390625
dropped,29,-38.52195739746094,-34.03031921386719,-4.49163818359375
cost,10,-33.78633499145508,-46.4246711730957,12.638336181640625
matched,17,-34.9658203125,-38.95183181762695,3.986011505126953
fetched,10,-35.896705627441406,-45.67388153076172,9.777175903320312
earned,8,-32.345008850097656,-36.60328674316406,4.258277893066406
liked,34,-28.491914749145508,-38.212425231933594,9.720510482788086
washed,28,-34.74339294433594,-38.78632736206055,4.042934417724609
matched,20,-27.5141544342041,-41.76246643066406,14.248311996459961
carried,30,-28.211597442626953,-36.05241775512695,7.8408203125
fetched,9,-36.635921478271484,-45.85400390625,9.218082427978516
emanated,15,-40.15495300292969,-41.027191162109375,0.8722381591796875
earned,9,-31.576175689697266,-39.681617736816406,8.10544204711914
resembled,16,-37.83977127075195,-45.25542449951172,7.415653228759766
strengthened,3,-27.733579635620117,-30.86288833618164,3.1293087005615234
dropped,29,-33.7719612121582,-31.981718063354492,-1.790243148803711
radiated,15,-42.64379119873047,-39.631492614746094,-3.012298583984375
hit,26,-31.13399887084961,-32.47815704345703,1.3441581726074219
mirrored,20,-29.49327278137207,-38.990257263183594,9.496984481811523
emanated,14,-38.98200607299805,-48.11611557006836,9.134109497070312
earned,6,-41.220848083496094,-50.41203689575195,9.19118881225586
matched,19,-30.045583724975586,-29.893247604370117,-0.15233612060546875
cost,6,-36.968788146972656,-55.56077575683594,18.59198760986328
lasted,23,-22.329320907592773,-39.400150299072266,17.070829391479492
profited,4,-39.80773162841797,-28.859153747558594,-10.948577880859375
carried,30,-22.98474884033203,-34.465030670166016,11.480281829833984
knew,33,-30.616559982299805,-34.14490509033203,3.5283451080322266
lasted,24,-24.828224182128906,-50.03746795654297,25.209243774414062
helped,3,-28.599727630615234,-29.503948211669922,0.9042205810546875
discharged,15,-37.31245422363281,-40.45548629760742,3.1430320739746094
remembered,35,-37.36296081542969,-41.29636001586914,3.933399200439453
strengthened,4,-37.147621154785156,-32.05967330932617,-5.087947845458984
took,21,-21.06606674194336,-31.959819793701172,10.893753051757812
pushed,27,-29.704435348510742,-35.46656036376953,5.762125015258789
radiated,12,-34.61842346191406,-38.207942962646484,3.589519500732422
remembered,35,-36.81309509277344,-37.59763717651367,0.7845420837402344
helped,2,-33.60523223876953,-34.293128967285156,0.687896728515625
took,25,-30.904855728149414,-40.294639587402344,9.38978385925293
