frame_no,group,set,active,passive,verb,verb_class,subject,object,is_passivizable,active_score,passive_score,pass_drop
1,A,1,Your investment benefited the community.,The community was benefited by your investment.,benefited,Advantage,donation,communities,0,-31.399768829345703,-39.578128814697266,8.178359985351562
1,A,2,Your investment profited the community.,The community was profited by your investment.,profited,Advantage,donation,communities,0,-36.409942626953125,-41.01008987426758,4.600147247314453
2,A,1,The exercise helped his fitness.,His fitness was helped by the exercise.,helped,Advantage,exercise,fitness,1,-35.01029968261719,-32.88153076171875,-2.1287689208984375
2,A,2,The exercise strengthened his fitness.,His fitness was strengthened by the exercise.,strengthened,Advantage,exercise,fitness,1,-34.440364837646484,-34.87770080566406,0.4373359680175781
3,A,1,Our friendship benefited my life.,My life was benefited by our friendship.,benefited,Advantage,friendship,life,0,-29.1396484375,-29.69057846069336,0.5509300231933594
3,A,2,Our friendship profited my life.,My life was profited by our friendship.,profited,Advantage,friendship,life,0,-32.39160919189453,-37.391204833984375,4.999595642089844
4,A,1,The law helped these workers.,These workers were helped by the law.,helped,Advantage,law,workers,1,-32.833740234375,-30.028074264526367,-2.805665969848633
4,A,2,The law strengthened these workers.,These workers were strengthened by the law.,strengthened,Advantage,law,workers,1,-35.03028106689453,-34.86932373046875,-0.16095733642578125
5,A,1,The treaty benefited both countries.,Both countries were benefited by the treaty.,benefited,Advantage,treaty,countries,0,-31.03976821899414,-31.653369903564453,0.6136016845703125
5,A,2,The treaty strengthened both countries.,Both countries were strengthened by the treaty.,strengthened,Advantage,treaty,countries,1,-36.83802795410156,-29.618640899658203,-7.219387054443359
6,A,1,Your dish cost ninety dollars.,Ninety dollars was cost by your dish.,cost,Price,dish,dollars,0,-42.37694549560547,-53.205772399902344,10.828826904296875
6,A,2,Your dish fetched ninety dollars.,Ninety dollars was fetched by your dish.,fetched,Price,dish,dollars,1,-43.24250793457031,-55.52091598510742,12.27840805053711
7,A,1,The painting earned a fortune.,A fortune was earned by the painting.,earned,Price,painting,fortune,1,-34.3681526184082,-35.597007751464844,1.2288551330566406
8,A,2,The tickets cost a lot of money.,A lot of money was cost by the tickets.,cost,Price,initiative,money,0,-22.331565856933594,-41.4256706237793,19.094104766845703
8,A,1,The tickets fetched a lot of money.,A lot of money was fetched by the tickets.,fetched,Price,initiative,money,1,-31.878164291381836,-43.5123176574707,11.634153366088867
9,A,2,Your book earned thirty dollars.,Thirty dollars was earned by your book.,earned,Price,book,dollars,1,-33.13086700439453,-39.705894470214844,6.5750274658203125
10,A,1,His actions cost the medal.,The medal was cost by his actions.,cost,Price,actions,medal,0,-32.398155212402344,-46.21727752685547,13.819122314453125
10,A,2,His actions fetched the medal.,The medal was fetched by his actions.,fetched,Price,actions,medal,1,-39.425010681152344,-43.046546936035156,3.6215362548828125
11,A,1,My friend emanated confidence.,Confidence was emanated by my friend.,emanated,Ooze,friend,confidence,0,-36.368247985839844,-40.14434051513672,3.776092529296875
11,A,2,My friend radiated confidence.,Confidence was radiated by my friend.,radiated,Ooze,friend,confidence,0,-31.30178451538086,-40.20604705810547,8.90426254272461
12,A,1,The lightbulb discharged some light.,Some light was discharged by the lightbulb.,discharged,Ooze,lightbulb,light,1,-39.26039123535156,-45.66547775268555,6.405086517333984
12,A,2,The lightbulb emitted some light.,Some light was emitted by the lightbulb.,emitted,Ooze,lightbulb,light,1,-33.81488037109375,-38.806312561035156,4.991432189941406
13,A,1,That machine emanated a sound.,A sound was emanated by that machine.,emanated,Ooze,machine,sound,0,-41.130672454833984,-44.16064453125,3.0299720764160156
13,A,2,That machine radiated a sound.,A sound was radiated by that machine.,radiated,Ooze,machine,sound,0,-35.749656677246094,-46.864776611328125,11.115119934082031
14,A,1,The teacher discharged wisdom.,Wisdom was discharged by the teacher.,discharged,Ooze,teacher,wisdom,1,-38.00392150878906,-44.71871566772461,6.714794158935547
14,A,2,The teacher emitted wisdom.,Wisdom was emitted by the teacher.,emitted,Ooze,teacher,wisdom,1,-39.05006408691406,-46.590003967285156,7.539939880371094
15,A,1,The trash emanated an odor.,An odor was emanated by the trash.,emanated,Ooze,trash,odor,0,-42.3857421875,-42.767982482910156,0.38224029541015625
15,A,2,The trash emitted an odor.,An odor was emitted by the trash.,emitted,Ooze,trash,odor,1,-38.840721130371094,-35.29631805419922,-3.544403076171875
16,A,1,Your drawing approximated her likeness.,Her likeness was approximated by the drawing.,approximated,Estimation,drawing,likeness,1,-40.94374084472656,-47.43705368041992,6.493312835693359
16,A,2,Your drawing mirrored her likeness.,Her likeness was mirrored by the drawing.,mirrored,Estimation,drawing,likeness,1,-39.46398162841797,-40.09523010253906,0.6312484741210938
17,A,1,Your friend matched my brother.,My brother was matched by your friend.,matched,Estimation,friend,brother,1,-30.18236541748047,-34.42756271362305,4.245197296142578
17,A,2,Your friend resembled my brother.,My brother was resembled by your friend.,resembled,Estimation,friend,brother,0,-28.74068260192871,-44.19642639160156,15.455743789672852
18,A,1,The character approximated the author.,The author was approximated by the character.,approximated,Estimation,author,character,1,-43.21672821044922,-48.046016693115234,4.829288482666016
18,A,2,The character mirrored the author.,The author was mirrored by the character.,mirrored,Estimation,author,character,1,-36.457611083984375,-45.63031005859375,9.172698974609375
19,A,1,Her son matched her father.,Her father was matched by her son.,matched,Estimation,son,father,1,-26.459463119506836,-29.571327209472656,3.1118640899658203
19,A,2,Her son resembled her father.,Her father was resembled by her son.,resembled,Estimation,son,father,0,-25.55791473388672,-40.58118438720703,15.023269653320312
20,A,1,The copy approximated the original.,The original was approximated by the copy.,approximated,Estimation,copy,original,1,-33.277923583984375,-46.59904098510742,13.321117401123047
20,A,2,The copy resembled the original.,The original was resembled by the copy.,resembled,Estimation,copy,original,0,-28.207378387451172,-46.349491119384766,18.142112731933594
21,A,1,The journey required three days.,Three days were required by the journey.,required,Duration,journey,days,1,-27.164140701293945,-35.884952545166016,8.72081184387207
22,A,2,My meeting lasted two hours.,Two hours was lasted by my meeting.,lasted,Duration,meeting,hours,0,-23.912086486816406,-49.998722076416016,26.08663558959961
22,A,1,My meeting took two hours.,Two hours was taken by my meeting.,took,Duration,meeting,hours,0,-26.637603759765625,-39.6314811706543,12.993877410888672
23,A,2,The interview required some time.,Some time was required by the interview.,required,Duration,interview,time,1,-29.93130874633789,-42.44663619995117,12.515327453613281
24,A,1,Her speech lasted seventeen minutes.,Seventeen minutes was lasted by her speech.,lasted,Duration,speech,minutes,0,-28.484729766845703,-52.21217346191406,23.72744369506836
24,A,2,Her speech took seventeen minutes.,Seventeen minutes was taken by her speech.,took,Duration,speech,minutes,0,-32.557884216308594,-39.786746978759766,7.228862762451172
25,A,1,His trek required a month.,A month was required by his trek.,required,Duration,trek,month,1,-35.11949920654297,-49.91871643066406,14.799217224121094
26,A,2,My brother hit your friend.,your friend was hit by my brother.,hit,Agent-patient,my brother,your friend,1,-30.984909057617188,-32.63295364379883,1.6480445861816406
