frame_no,group,set,active,passive,verb,verb_class,subject,object,is_passivizable,active_score,passive_score,pass_drop
1,A,1,Your investment benefited the community.,The community was benefited by your investment.,benefited,Advantage,donation,communities,0,-28.795848846435547,-39.78717803955078,10.991329193115234
1,A,2,Your investment profited the community.,The community was profited by your investment.,profited,Advantage,donation,communities,0,-40.990577697753906,-44.14838790893555,3.1578102111816406
2,A,1,The exercise helped his fitness.,His fitness was helped by the exercise.,helped,Advantage,exercise,fitness,1,-35.09654998779297,-35.399757385253906,0.3032073974609375
2,A,2,The exercise strengthened his fitness.,His fitness was strengthened by the exercise.,strengthened,Advantage,exercise,fitness,1,-34.51509094238281,-35.36043930053711,0.8453483581542969
3,A,1,Our friendship benefited my life.,My life was benefited by our friendship.,benefited,Advantage,friendship,life,0,-25.198524475097656,-31.867189407348633,6.668664932250977
3,A,2,Our friendship profited my life.,My life was profited by our friendship.,profited,Advantage,friendship,life,0,-35.56092071533203,-39.53065490722656,3.9697341918945312
4,A,1,The law helped these workers.,These workers were helped by the law.,helped,Advantage,law,workers,1,-33.135257720947266,-28.975364685058594,-4.159893035888672
4,A,2,The law strengthened these workers.,These workers were strengthened by the law.,strengthened,Advantage,law,workers,1,-37.277244567871094,-31.429460525512695,-5.847784042358398
5,A,1,The treaty benefited both countries.,Both countries were benefited by the treaty.,benefited,Advantage,treaty,countries,0,-28.43061065673828,-30.743846893310547,2.3132362365722656
5,A,2,The treaty strengthened both countries.,Both countries were strengthened by the treaty.,strengthened,Advantage,treaty,countries,1,-34.41291427612305,-27.84750747680664,-6.565406799316406
6,A,1,Your dish cost ninety dollars.,Ninety dollars was cost by your dish.,cost,Price,dish,dollars,0,-40.233036041259766,-55.68635177612305,15.453315734863281
6,A,2,Your dish fetched ninety dollars.,Ninety dollars was fetched by your dish.,fetched,Price,dish,dollars,1,-46.111717224121094,-53.79319381713867,7.681476593017578
7,A,1,The painting earned a fortune.,A fortune was earned by the painting.,earned,Price,painting,fortune,1,-32.127281188964844,-34.4573860168457,2.3301048278808594
8,A,2,The tickets cost a lot of money.,A lot of money was cost by the tickets.,cost,Price,initiative,money,0,-23.70641326904297,-40.42776107788086,16.72134780883789
8,A,1,The tickets fetched a lot of money.,A lot of money was fetched by the tickets.,fetched,Price,initiative,money,1,-33.88032150268555,-42.5881462097168,8.70782470703125
9,A,2,Your book earned thirty dollars.,Thirty dollars was earned by your book.,earned,Price,book,dollars,1,-30.514938354492188,-38.63054656982422,8.115608215332031
10,A,1,His actions cost the medal.,The medal was cost by his actions.,cost,Price,actions,medal,0,-31.743816375732422,-47.143863677978516,15.400047302246094
10,A,2,His actions fetched the medal.,The medal was fetched by his actions.,fetched,Price,actions,medal,1,-39.397239685058594,-47.87852478027344,8.481285095214844
11,A,1,My friend emanated confidence.,Confidence was emanated by my friend.,emanated,Ooze,friend,confidence,0,-34.836727142333984,-37.51943588256836,2.682708740234375
11,A,2,My friend radiated confidence.,Confidence was radiated by my friend.,radiated,Ooze,friend,confidence,0,-30.6976318359375,-36.526268005371094,5.828636169433594
12,A,1,The lightbulb discharged some light.,Some light was discharged by the lightbulb.,discharged,Ooze,lightbulb,light,1,-40.936065673828125,-45.388580322265625,4.4525146484375
12,A,2,The lightbulb emitted some light.,Some light was emitted by the lightbulb.,emitted,Ooze,lightbulb,light,1,-37.68595504760742,-40.335105895996094,2.649150848388672
13,A,1,That machine emanated a sound.,A sound was emanated by that machine.,emanated,Ooze,machine,sound,0,-39.77216720581055,-40.201454162597656,0.4292869567871094
13,A,2,That machine radiated a sound.,A sound was radiated by that machine.,radiated,Ooze,machine,sound,0,-37.14601135253906,-42.08623123168945,4.940219879150391
14,A,1,The teacher discharged wisdom.,Wisdom was discharged by the teacher.,discharged,Ooze,teacher,wisdom,1,-41.25438690185547,-44.25050735473633,2.9961204528808594
14,A,2,The teacher emitted wisdom.,Wisdom was emitted by the teacher.,emitted,Ooze,teacher,wisdom,1,-39.689186096191406,-47.24699401855469,7.557807922363281
15,A,1,The trash emanated an odor.,An odor was emanated by the trash.,emanated,Ooze,trash,odor,0,-44.37763595581055,-42.2425537109375,-2.135082244873047
15,A,2,The trash emitted an odor.,An odor was emitted by the trash.,emitted,Ooze,trash,odor,1,-40.026649475097656,-38.389774322509766,-1.6368751525878906
16,A,1,Your drawing approximated her likeness.,Her likeness was approximated by the drawing.,approximated,Estimation,drawing,likeness,1,-40.410011291503906,-40.58726501464844,0.17725372314453125
16,A,2,Your drawing mirrored her likeness.,Her likeness was mirrored by the drawing.,mirrored,Estimation,drawing,likeness,1,-39.437034606933594,-38.346492767333984,-1.0905418395996094
17,A,1,Your friend matched my brother.,My brother was matched by your friend.,matched,Estimation,friend,brother,1,-30.944162368774414,-38.369808197021484,7.42564582824707
17,A,2,Your friend resembled my brother.,My brother was resembled by your friend.,resembled,Estimation,friend,brother,0,-28.96379852294922,-43.005279541015625,14.041481018066406
18,A,1,The character approximated the author.,The author was approximated by the character.,approximated,Estimation,author,character,1,-41.020565032958984,-44.126556396484375,3.1059913635253906
18,A,2,The character mirrored the author.,The author was mirrored by the character.,mirrored,Estimation,author,character,1,-34.102073669433594,-38.36384963989258,4.261775970458984
19,A,1,Her son matched her father.,Her father was matched by her son.,matched,Estimation,son,father,1,-28.312564849853516,-27.73551368713379,-0.5770511627197266
19,A,2,Her son resembled her father.,Her father was resembled by her son.,resembled,Estimation,son,father,0,-28.000167846679688,-32.061309814453125,4.0611419677734375
20,A,1,The copy approximated the original.,The original was approximated by the copy.,approximated,Estimation,copy,original,1,-42.291873931884766,-43.215667724609375,0.9237937927246094
20,A,2,The copy resembled the original.,The original was resembled by the copy.,resembled,Estimation,copy,original,0,-31.214962005615234,-43.93623352050781,12.721271514892578
21,A,1,The journey required three days.,Three days were required by the journey.,required,Duration,journey,days,1,-29.790489196777344,-37.85472106933594,8.064231872558594
22,A,2,My meeting lasted two hours.,Two hours was lasted by my meeting.,lasted,Duration,meeting,hours,0,-23.068920135498047,-44.78097915649414,21.712059020996094
22,A,1,My meeting took two hours.,Two hours was taken by my meeting.,took,Duration,meeting,hours,0,-24.685733795166016,-41.05365753173828,16.367923736572266
23,A,2,The interview required some time.,Some time was required by the interview.,required,Duration,interview,time,1,-30.636335372924805,-38.843536376953125,8.20720100402832
24,A,1,Her speech lasted seventeen minutes.,Seventeen minutes was lasted by her speech.,lasted,Duration,speech,minutes,0,-24.2100830078125,-48.939125061035156,24.729042053222656
24,A,2,Her speech took seventeen minutes.,Seventeen minutes was taken by her speech.,took,Duration,speech,minutes,0,-30.177770614624023,-42.75341033935547,12.575639724731445
25,A,1,His trek required a month.,A month was required by his trek.,required,Duration,trek,month,1,-33.27935791015625,-44.982154846191406,11.702796936035156
26,A,2,My brother hit your friend.,your friend was hit by my brother.,hit,Agent-patient,my brother,your friend,1,-35.20176315307617,-33.44111251831055,-1.760650634765625
26,A,1,Your sister hit the target.,The target was hit by your sister.,hit,Agent-patient,your sister,the target,1,-25.690011978149414,-39.81824493408203,14.128232955932617
26,A,2,The child hit the ball.,The ball was hit by the child.,hit,Agent-patient,the child,the ball,1,-27.095970153808594,-31.854097366333008,4.758127212524414
27,A,1,My brother pushed a child.,A child was pushed by my brother.,pushed,Agent-patient,my brother,a child,1,-32.467552185058594,-34.959320068359375,2.4917678833007812
27,A,2,The mother pushed my toy.,My toy was pushed by the mother.,pushed,Agent-patient,the mother,my toy,1,-37.18293762207031,-35.14021301269531,-2.042724609375
28,A,1,A boy washed the cup.,The cup was washed by a boy.,washed,Agent-patient,a boy,the cup,1,-32.022953033447266,-36.40970230102539,4.386749267578125
28,A,2,A child washed the bag.,The bag was washed by a child.,washed,Agent-patient,a child,the bag,1,-29.199234008789062,-33.41794204711914,4.218708038330078
28,A,1,My sister washed a towel.,A towel was washed by my sister.,washed,Agent-patient,my sister,a towel,1,-32.96245193481445,-41.00199890136719,8.039546966552734
29,A,2,My brother dropped my plate.,My plate was dropped by my brother.,dropped,Agent-patient,my brother,my plate,1,-29.787399291992188,-32.696083068847656,2.9086837768554688
29,A,1,The mother dropped my toy.,My toy was dropped by the mother.,dropped,Agent-patient,the mother,my toy,1,-33.47359085083008,-34.881996154785156,1.4084053039550781
30,A,2,A boy carried my bag.,My bag was carried by a boy.,carried,Agent-patient,a boy,my bag,1,-30.858339309692383,-29.80087661743164,-1.0574626922607422
30,A,1,Your mother carried the child.,The child was carried by your mother.,carried,Agent-patient,your mother,the child,1,-25.03007698059082,-34.19138717651367,9.161310195922852
31,A,2,My brother saw your friend.,Your friend was seen by my brother.,saw,Experiencer-theme,my brother,your friend,1,-28.867210388183594,-32.965457916259766,4.098247528076172
31,A,1,Your dog saw the toy.,The toy was seen by your dog.,saw,Experiencer-theme,your dog,the toy,1,-25.608627319335938,-40.138031005859375,14.529403686523438
31,A,2,Your sister saw a book.,A book was seen by your sister.,saw,Experiencer-theme,your sister,a book,1,-24.704345703125,-39.64699935913086,14.94265365600586
32,A,1,A boy heard the sound.,The sound was heard by a boy.,heard,Experiencer-theme,a boy,the sound,1,-24.56612777709961,-31.028099060058594,6.461971282958984
32,A,2,The child heard the rules.,The rules were heard by the child.,heard,Experiencer-theme,the rules,a monkey,1,-35.23800277709961,-37.14857482910156,1.9105720520019531
33,A,1,My brother knew your friend.,Your friend was known by my brother.,knew,Experiencer-theme,my brother,your friend,1,-32.50830078125,-31.81035804748535,-0.6979427337646484
33,A,2,Your dog knew my cat.,My cat was known by your dog.,knew,Experiencer-theme,your dog,my cat,1,-25.917308807373047,-36.21741485595703,10.300106048583984
33,A,1,Your sister knew my brother.,My brother was known by your sister.,knew,Experiencer-theme,your sister,my brother,1,-24.690916061401367,-37.06342315673828,12.372507095336914
34,A,2,A boy liked the game.,The game was liked by a boy.,liked,Experiencer-theme,a boy,the game,1,-26.715147018432617,-33.1405029296875,6.425355911254883
34,A,1,The child liked a monkey.,A monkey was liked by the child.,liked,Experiencer-theme,the child,a monkey,1,-33.12376403808594,-36.085060119628906,2.9612960815429688
35,A,2,My brother remembered your friend.,Your friend was remembered by my brother.,remembered,Experiencer-theme,my brother,your friend,1,-33.05010986328125,-31.609220504760742,-1.4408893585205078
35,A,1,Your dog remembered my toy.,My toy was remembered by your dog.,remembered,Experiencer-theme,your dog,my toy,1,-33.592403411865234,-43.095359802246094,9.50295639038086
35,A,2,Your sister remembered a book.,A book was remembered by your sister.,remembered,Experiencer-theme,your sister,a book,1,-29.72974395751953,-42.51656723022461,12.786823272705078
1,B,1,Your investment helped the community.,The community was helped by your investment.,helped,Advantage,donation,communities,1,-29.96805763244629,-39.83108139038086,9.86302375793457
1,B,2,Your investment strengthened the community.,The community was strengthened by your investment.,strengthened,Advantage,donation,communities,1,-32.001609802246094,-40.82796096801758,8.826351165771484
2,B,1,The exercise benefited his fitness.,His fitness was benefited by the exercise.,benefited,Advantage,exercise,fitness,0,-35.62633514404297,-37.32946014404297,1.703125
2,B,2,The exercise profited his fitness.,His fitness was profited by the exercise.,profited,Advantage,exercise,fitness,0,-44.26116180419922,-41.2300910949707,-3.0310707092285156
3,B,1,Our friendship helped my life.,My life was helped by our friendship.,helped,Advantage,friendship,life,1,-24.82175636291504,-29.846817016601562,5.025060653686523
3,B,2,Our friendship strengthened my life.,My life was strengthened by our friendship.,strengthened,Advantage,friendship,life,1,-25.14748764038086,-32.37708282470703,7.229595184326172
4,B,1,The law benefited these workers.,These workers were benefited by the law.,benefited,Advantage,law,workers,0,-32.310882568359375,-30.68874168395996,-1.622140884399414
4,B,2,The law profited these workers.,These workers were profited by the law.,profited,Advantage,law,workers,0,-40.763492584228516,-32.006874084472656,-8.75661849975586
5,B,1,The treaty helped both countries.,Both countries were helped by the treaty.,helped,Advantage,treaty,countries,1,-31.96120834350586,-27.675535202026367,-4.285673141479492
5,B,2,The treaty profited both countries.,Both countries were profited by the treaty.,profited,Advantage,treaty,countries,0,-36.313472747802734,-33.82888412475586,-2.484588623046875
6,B,1,Your dish earned ninety dollars.,Ninety dollars was earned by your dish.,earned,Price,dish,dollars,1,-42.639041900634766,-48.435699462890625,5.796657562255859
7,B,2,The painting cost a fortune.,A fortune was cost by the painting.,cost,Price,painting,fortune,0,-28.36712646484375,-42.725833892822266,14.358707427978516
7,B,1,The painting fetched a fortune.,A fortune was fetched by the painting.,fetched,Price,painting,fortune,1,-38.68830490112305,-39.48212814331055,0.7938232421875
8,B,2,The tickets earned a lot of money.,A lot of money was earned by the tickets.,earned,Price,initiative,money,1,-29.325061798095703,-33.86738204956055,4.542320251464844
9,B,1,Your book cost thirty dollars.,Thirty dollars was cost by your book.,cost,Price,book,dollars,0,-30.651351928710938,-45.08030319213867,14.428951263427734
9,B,2,Your book fetched thirty dollars.,Thirty dollars was fetched by your book.,fetched,Price,book,dollars,1,-40.18587112426758,-45.27141571044922,5.085544586181641
10,B,1,His actions earned the medal.,The medal was earned by his actions.,earned,Price,actions,medal,1,-32.07924270629883,-35.46343994140625,3.384197235107422
11,B,2,My friend discharged confidence.,Confidence was discharged by my friend.,discharged,Ooze,friend,confidence,1,-34.895416259765625,-35.26698684692383,0.3715705871582031
11,B,1,My friend emitted confidence.,Confidence was emitted by my friend.,emitted,Ooze,friend,confidence,1,-34.515716552734375,-35.612876892089844,1.0971603393554688
12,B,2,The lightbulb emanated some light.,Some light was emanated by the lightbulb.,emanated,Ooze,lightbulb,light,0,-44.11119079589844,-48.208003997802734,4.096813201904297
12,B,1,The lightbulb radiated some light.,Some light was radiated by the lightbulb.,radiated,Ooze,lightbulb,light,0,-37.426151275634766,-46.18156051635742,8.755409240722656
13,B,2,That machine discharged a sound.,A sound was discharged by that machine.,discharged,Ooze,machine,sound,1,-38.70183181762695,-39.92048263549805,1.2186508178710938
13,B,1,That machine emitted a sound.,A sound was emitted by that machine.,emitted,Ooze,machine,sound,1,-32.934844970703125,-35.5919075012207,2.657062530517578
14,B,2,The teacher emanated wisdom.,Wisdom was emanated by the teacher.,emanated,Ooze,teacher,wisdom,0,-38.560890197753906,-46.54458999633789,7.983699798583984
14,B,1,The teacher radiated wisdom.,Wisdom was radiated by the teacher.,radiated,Ooze,teacher,wisdom,0,-35.506404876708984,-46.81537628173828,11.308971405029297
15,B,2,The trash discharged an odor.,An odor was discharged by the trash.,discharged,Ooze,trash,odor,1,-43.970645904541016,-43.4868049621582,-0.4838409423828125
15,B,1,The trash radiated an odor.,An odor was radiated by the trash.,radiated,Ooze,trash,odor,0,-44.399620056152344,-43.45530319213867,-0.9443168640136719
16,B,2,Your drawing matched her likeness.,Her likeness was matched by the drawing.,matched,Estimation,drawing,likeness,1,-36.78111267089844,-38.129417419433594,1.3483047485351562
16,B,1,Your drawing resembled her likeness.,Her likeness was resembled by the drawing.,resembled,Estimation,drawing,likeness,0,-39.2662467956543,-44.94017791748047,5.673931121826172
17,B,2,Your friend approximated my brother.,My brother was approximated by your friend.,approximated,Estimation,friend,brother,1,-33.72367858886719,-43.310157775878906,9.586479187011719
17,B,1,Your friend mirrored my brother.,My brother was mirrored by your friend.,mirrored,Estimation,friend,brother,1,-31.730356216430664,-38.17057800292969,6.440221786499023
18,B,2,The character matched the author.,The author was matched by the character.,matched,Estimation,author,character,1,-35.55921173095703,-37.726993560791016,2.1677818298339844
18,B,1,The character resembled the author.,The author was resembled by the character.,resembled,Estimation,author,character,0,-35.03944778442383,-42.28716278076172,7.247714996337891
19,B,2,Her son approximated her father.,Her father was approximated by her son.,approximated,Estimation,son,father,1,-31.791330337524414,-31.57874870300293,-0.21258163452148438
19,B,1,Her son mirrored her father.,Her father was mirrored by her son.,mirrored,Estimation,son,father,1,-25.42957305908203,-27.835845947265625,2.4062728881835938
20,B,2,The copy matched the original.,The original was matched by the copy.,matched,Estimation,copy,original,1,-28.930984497070312,-37.160919189453125,8.229934692382812
