frame_no,group,set,active,passive,verb,verb_class,subject,object,is_passivizable,active_score,passive_score,pass_drop
1,A,1,Your investment benefited the community.,The community was benefited by your investment.,benefited,Advantage,donation,communities,0,-29.343204498291016,-40.59891891479492,11.255714416503906
1,A,2,Your investment profited the community.,The community was profited by your investment.,profited,Advantage,donation,communities,0,-36.68182373046875,-41.8884162902832,5.206592559814453
2,A,1,The exercise helped his fitness.,His fitness was helped by the exercise.,helped,Advantage,exercise,fitness,1,-32.38650894165039,-36.61199188232422,4.225482940673828
2,A,2,The exercise strengthened his fitness.,His fitness was strengthened by the exercise.,strengthened,Advantage,exercise,fitness,1,-32.90263366699219,-39.0416259765625,6.1389923095703125
3,A,1,Our friendship benefited my life.,My life was benefited by our friendship.,benefited,Advantage,friendship,life,0,-31.199995040893555,-33.94612503051758,2.7461299896240234
3,A,2,Our friendship profited my life.,My life was profited by our friendship.,profited,Advantage,friendship,life,0,-35.9569091796875,-35.18436050415039,-0.7725486755371094
4,A,1,The law helped these workers.,These workers were helped by the law.,helped,Advantage,law,workers,1,-32.843841552734375,-31.007762908935547,-1.8360786437988281
4,A,2,The law strengthened these workers.,These workers were strengthened by the law.,strengthened,Advantage,law,workers,1,-37.472740173339844,-33.70365524291992,-3.769084930419922
5,A,1,The treaty benefited both countries.,Both countries were benefited by the treaty.,benefited,Advantage,treaty,countries,0,-30.737266540527344,-33.770687103271484,3.0334205627441406
5,A,2,The treaty strengthened both countries.,Both countries were strengthened by the treaty.,strengthened,Advantage,treaty,countries,1,-36.43042755126953,-29.670862197875977,-6.759565353393555
6,A,1,Your dish cost ninety dollars.,Ninety dollars was cost by your dish.,cost,Price,dish,dollars,0,-40.07010269165039,-54.60088348388672,14.530780792236328
6,A,2,Your dish fetched ninety dollars.,Ninety dollars was fetched by your dish.,fetched,Price,dish,dollars,1,-45.05590057373047,-56.14151382446289,11.085613250732422
7,A,1,The painting earned a fortune.,A fortune was earned by the painting.,earned,Price,painting,fortune,1,-36.979957580566406,-35.253543853759766,-1.7264137268066406
8,A,2,The tickets cost a lot of money.,A lot of money was cost by the tickets.,cost,Price,initiative,money,0,-24.354469299316406,-42.07490539550781,17.720436096191406
8,A,1,The tickets fetched a lot of money.,A lot of money was fetched by the tickets.,fetched,Price,initiative,money,1,-33.099979400634766,-44.07166290283203,10.971683502197266
9,A,2,Your book earned thirty dollars.,Thirty dollars was earned by your book.,earned,Price,book,dollars,1,-32.575199127197266,-38.22578430175781,5.650585174560547
10,A,1,His actions cost the medal.,The medal was cost by his actions.,cost,Price,actions,medal,0,-32.880577087402344,-43.362701416015625,10.482124328613281
10,A,2,His actions fetched the medal.,The medal was fetched by his actions.,fetched,Price,actions,medal,1,-35.25387954711914,-43.628910064697266,8.375030517578125
11,A,1,My friend emanated confidence.,Confidence was emanated by my friend.,emanated,Ooze,friend,confidence,0,-36.09231948852539,-41.62683868408203,5.534519195556641
11,A,2,My friend radiated confidence.,Confidence was radiated by my friend.,radiated,Ooze,friend,confidence,0,-30.981876373291016,-36.09581756591797,5.113941192626953
12,A,1,The lightbulb discharged some light.,Some light was discharged by the lightbulb.,discharged,Ooze,lightbulb,light,1,-40.304420471191406,-40.96410369873047,0.6596832275390625
12,A,2,The lightbulb emitted some light.,Some light was emitted by the lightbulb.,emitted,Ooze,lightbulb,light,1,-35.81420135498047,-32.8231315612793,-2.991069793701172
13,A,1,That machine emanated a sound.,A sound was emanated by that machine.,emanated,Ooze,machine,sound,0,-40.141666412353516,-42.63633728027344,2.494670867919922
13,A,2,That machine radiated a sound.,A sound was radiated by that machine.,radiated,Ooze,machine,sound,0,-33.86895751953125,-38.98046875,5.11151123046875
14,A,1,The teacher discharged wisdom.,Wisdom was discharged by the teacher.,discharged,Ooze,teacher,wisdom,1,-40.22023391723633,-45.14433288574219,4.924098968505859
14,A,2,The teacher emitted wisdom.,Wisdom was emitted by the teacher.,emitted,Ooze,teacher,wisdom,1,-37.969329833984375,-43.341243743896484,5.371913909912109
15,A,1,The trash emanated an odor.,An odor was emanated by the trash.,emanated,Ooze,trash,odor,0,-44.92873001098633,-43.110450744628906,-1.8182792663574219
15,A,2,The trash emitted an odor.,An odor was emitted by the trash.,emitted,Ooze,trash,odor,1,-35.90629577636719,-35.04576110839844,-0.86053466796875
16,A,1,Your drawing approximated her likeness.,Her likeness was approximated by the drawing.,approximated,Estimation,drawing,likeness,1,-45.15988540649414,-42.474456787109375,-2.6854286193847656
16,A,2,Your drawing mirrored her likeness.,Her likeness was mirrored by the drawing.,mirrored,Estimation,drawing,likeness,1,-38.91132354736328,-38.35639572143555,-0.5549278259277344
17,A,1,Your friend matched my brother.,My brother was matched by your friend.,matched,Estimation,friend,brother,1,-31.893524169921875,-34.80746078491211,2.9139366149902344
17,A,2,Your friend resembled my brother.,My brother was resembled by your friend.,resembled,Estimation,friend,brother,0,-31.653268814086914,-43.324462890625,11.671194076538086
18,A,1,The character approximated the author.,The author was approximated by the character.,approximated,Estimation,author,character,1,-41.51849365234375,-44.625755310058594,3.1072616577148438
18,A,2,The character mirrored the author.,The author was mirrored by the character.,mirrored,Estimation,author,character,1,-32.05220031738281,-38.31914520263672,6.266944885253906
19,A,1,Her son matched her father.,Her father was matched by her son.,matched,Estimation,son,father,1,-29.032312393188477,-29.070587158203125,0.03827476501464844
19,A,2,Her son resembled her father.,Her father was resembled by her son.,resembled,Estimation,son,father,0,-29.101871490478516,-37.49632263183594,8.394451141357422
20,A,1,The copy approximated the original.,The original was approximated by the copy.,approximated,Estimation,copy,original,1,-40.53596496582031,-43.886871337890625,3.3509063720703125
20,A,2,The copy resembled the original.,The original was resembled by the copy.,resembled,Estimation,copy,original,0,-29.6394100189209,-45.5788459777832,15.939435958862305
21,A,1,The journey required three days.,Three days were required by the journey.,required,Duration,journey,days,1,-28.224571228027344,-36.46957015991211,8.244998931884766
22,A,2,My meeting lasted two hours.,Two hours was lasted by my meeting.,lasted,Duration,meeting,hours,0,-21.480052947998047,-41.24470520019531,19.764652252197266
22,A,1,My meeting took two hours.,Two hours was taken by my meeting.,took,Duration,meeting,hours,0,-25.523693084716797,-35.15559387207031,9.631900787353516
23,A,2,The interview required some time.,Some time was required by the interview.,required,Duration,interview,time,1,-27.890918731689453,-37.99058151245117,10.099662780761719
24,A,1,Her speech lasted seventeen minutes.,Seventeen minutes was lasted by her speech.,lasted,Duration,speech,minutes,0,-27.54737091064453,-50.919593811035156,23.372222900390625
24,A,2,Her speech took seventeen minutes.,Seventeen minutes was taken by her speech.,took,Duration,speech,minutes,0,-30.728103637695312,-45.042869567871094,14.314765930175781
25,A,1,His trek required a month.,A month was required by his trek.,required,Duration,trek,month,1,-33.47730255126953,-44.028839111328125,10.551536560058594
26,A,2,My brother hit your friend.,your friend was hit by my brother.,hit,Agent-patient,my brother,your friend,1,-33.519474029541016,-32.89890670776367,-0.6205673217773438
26,A,1,Your sister hit the target.,The target was hit by your sister.,hit,Agent-patient,your sister,the target,1,-24.86820411682129,-40.084991455078125,15.216787338256836
26,A,2,The child hit the ball.,The ball was hit by the child.,hit,Agent-patient,the child,the ball,1,-27.31380844116211,-30.527862548828125,3.2140541076660156
27,A,1,My brother pushed a child.,A child was pushed by my brother.,pushed,Agent-patient,my brother,a child,1,-30.46123695373535,-39.61101531982422,9.149778366088867
27,A,2,The mother pushed my toy.,My toy was pushed by the mother.,pushed,Agent-patient,the mother,my toy,1,-40.820228576660156,-40.2004508972168,-0.6197776794433594
28,A,1,A boy washed the cup.,The cup was washed by a boy.,washed,Agent-patient,a boy,the cup,1,-33.800880432128906,-36.735530853271484,2.934650421142578
28,A,2,A child washed the bag.,The bag was washed by a child.,washed,Agent-patient,a child,the bag,1,-32.396053314208984,-34.22161865234375,1.8255653381347656
28,A,1,My sister washed a towel.,A towel was washed by my sister.,washed,Agent-patient,my sister,a towel,1,-32.91978454589844,-38.24910354614258,5.329319000244141
29,A,2,My brother dropped my plate.,My plate was dropped by my brother.,dropped,Agent-patient,my brother,my plate,1,-31.516372680664062,-33.06028366088867,1.5439109802246094
29,A,1,The mother dropped my toy.,My toy was dropped by the mother.,dropped,Agent-patient,the mother,my toy,1,-38.927032470703125,-35.252044677734375,-3.67498779296875
30,A,2,A boy carried my bag.,My bag was carried by a boy.,carried,Agent-patient,a boy,my bag,1,-32.243003845214844,-29.1844482421875,-3.0585556030273438
30,A,1,Your mother carried the child.,The child was carried by your mother.,carried,Agent-patient,your mother,the child,1,-26.446407318115234,-37.20322036743164,10.756813049316406
31,A,2,My brother saw your friend.,Your friend was seen by my brother.,saw,Experiencer-theme,my brother,your friend,1,-28.50124168395996,-34.4503059387207,5.949064254760742
31,A,1,Your dog saw the toy.,The toy was seen by your dog.,saw,Experiencer-theme,your dog,the toy,1,-29.729942321777344,-39.863773345947266,10.133831024169922
31,A,2,Your sister saw a book.,A book was seen by your sister.,saw,Experiencer-theme,your sister,a book,1,-26.826263427734375,-40.498321533203125,13.67205810546875
32,A,1,A boy heard the sound.,The sound was heard by a boy.,heard,Experiencer-theme,a boy,the sound,1,-26.821142196655273,-30.55930519104004,3.7381629943847656
32,A,2,The child heard the rules.,The rules were heard by the child.,heard,Experiencer-theme,the rules,a monkey,1,-33.6335334777832,-36.45477294921875,2.821239471435547
33,A,1,My brother knew your friend.,Your friend was known by my brother.,knew,Experiencer-theme,my brother,your friend,1,-30.249731063842773,-33.402076721191406,3.152345657348633
33,A,2,Your dog knew my cat.,My cat was known by your dog.,knew,Experiencer-theme,your dog,my cat,1,-30.04043197631836,-40.01493835449219,9.974506378173828
33,A,1,Your sister knew my brother.,My brother was known by your sister.,knew,Experiencer-theme,your sister,my brother,1,-23.45104217529297,-37.6097412109375,14.158699035644531
34,A,2,A boy liked the game.,The game was liked by a boy.,liked,Experiencer-theme,a boy,the game,1,-27.83143424987793,-36.719276428222656,8.887842178344727
34,A,1,The child liked a monkey.,A monkey was liked by the child.,liked,Experiencer-theme,the child,a monkey,1,-33.51294708251953,-38.169403076171875,4.656455993652344
35,A,2,My brother remembered your friend.,Your friend was remembered by my brother.,remembered,Experiencer-theme,my brother,your friend,1,-32.570579528808594,-34.29309844970703,1.7225189208984375
35,A,1,Your dog remembered my toy.,My toy was remembered by your dog.,remembered,Experiencer-theme,your dog,my toy,1,-36.126861572265625,-41.619049072265625,5.4921875
35,A,2,Your sister remembered a book.,A book was remembered by your sister.,remembered,Experiencer-theme,your sister,a book,1,-31.38129425048828,-42.53472900390625,11.153434753417969
1,B,1,Your investment helped the community.,The community was helped by your investment.,helped,Advantage,donation,communities,1,-30.94306182861328,-38.64479064941406,7.701728820800781
1,B,2,Your investment strengthened the community.,The community was strengthened by your investment.,strengthened,Advantage,donation,communities,1,-31.099214553833008,-41.82763671875,10.728422164916992
2,B,1,The exercise benefited his fitness.,His fitness was benefited by the exercise.,benefited,Advantage,exercise,fitness,0,-35.80426025390625,-38.86761474609375,3.0633544921875
2,B,2,The exercise profited his fitness.,His fitness was profited by the exercise.,profited,Advantage,exercise,fitness,0,-39.45500564575195,-44.46514129638672,5.010135650634766
3,B,1,Our friendship helped my life.,My life was helped by our friendship.,helped,Advantage,friendship,life,1,-30.134021759033203,-29.999069213867188,-0.13495254516601562
3,B,2,Our friendship strengthened my life.,My life was strengthened by our friendship.,strengthened,Advantage,friendship,life,1,-27.80844497680664,-33.341922760009766,5.533477783203125
4,B,1,The law benefited these workers.,These workers were benefited by the law.,benefited,Advantage,law,workers,0,-32.86091995239258,-33.91339874267578,1.0524787902832031
4,B,2,The law profited these workers.,These workers were profited by the law.,profited,Advantage,law,workers,0,-34.443809509277344,-31.427669525146484,-3.0161399841308594
5,B,1,The treaty helped both countries.,Both countries were helped by the treaty.,helped,Advantage,treaty,countries,1,-36.04469299316406,-30.262624740600586,-5.782068252563477
5,B,2,The treaty profited both countries.,Both countries were profited by the treaty.,profited,Advantage,treaty,countries,0,-36.914127349853516,-32.702392578125,-4.211734771728516
6,B,1,Your dish earned ninety dollars.,Ninety dollars was earned by your dish.,earned,Price,dish,dollars,1,-41.01503372192383,-49.42638397216797,8.41135025024414
7,B,2,The painting cost a fortune.,A fortune was cost by the painting.,cost,Price,painting,fortune,0,-29.844573974609375,-47.44002914428711,17.595455169677734
7,B,1,The painting fetched a fortune.,A fortune was fetched by the painting.,fetched,Price,painting,fortune,1,-37.48419952392578,-43.56312942504883,6.078929901123047
8,B,2,The tickets earned a lot of money.,A lot of money was earned by the tickets.,earned,Price,initiative,money,1,-33.964534759521484,-34.961265563964844,0.9967308044433594
9,B,1,Your book cost thirty dollars.,Thirty dollars was cost by your book.,cost,Price,book,dollars,0,-29.08161735534668,-43.80101013183594,14.719392776489258
9,B,2,Your book fetched thirty dollars.,Thirty dollars was fetched by your book.,fetched,Price,book,dollars,1,-36.56238555908203,-45.91102600097656,9.348640441894531
10,B,1,His actions earned the medal.,The medal was earned by his actions.,earned,Price,actions,medal,1,-30.860980987548828,-36.61196517944336,5.750984191894531
11,B,2,My friend discharged confidence.,Confidence was discharged by my friend.,discharged,Ooze,friend,confidence,1,-38.254661560058594,-38.26902770996094,0.01436614990234375
11,B,1,My friend emitted confidence.,Confidence was emitted by my friend.,emitted,Ooze,friend,confidence,1,-39.392127990722656,-37.849822998046875,-1.5423049926757812
12,B,2,The lightbulb emanated some light.,Some light was emanated by the lightbulb.,emanated,Ooze,lightbulb,light,0,-47.05561828613281,-44.043067932128906,-3.0125503540039062
12,B,1,The lightbulb radiated some light.,Some light was radiated by the lightbulb.,radiated,Ooze,lightbulb,light,0,-38.61849594116211,-37.4683837890625,-1.1501121520996094
13,B,2,That machine discharged a sound.,A sound was discharged by that machine.,discharged,Ooze,machine,sound,1,-38.31079864501953,-42.77366256713867,4.462863922119141
13,B,1,That machine emitted a sound.,A sound was emitted by that machine.,emitted,Ooze,machine,sound,1,-32.70130920410156,-33.387916564941406,0.6866073608398438
14,B,2,The teacher emanated wisdom.,Wisdom was emanated by the teacher.,emanated,Ooze,teacher,wisdom,0,-36.54844284057617,-47.509765625,10.961322784423828
14,B,1,The teacher radiated wisdom.,Wisdom was radiated by the teacher.,radiated,Ooze,teacher,wisdom,0,-33.92760467529297,-43.337928771972656,9.410324096679688
15,B,2,The trash discharged an odor.,An odor was discharged by the trash.,discharged,Ooze,trash,odor,1,-41.24774169921875,-48.53993225097656,7.2921905517578125
15,B,1,The trash radiated an odor.,An odor was radiated by the trash.,radiated,Ooze,trash,odor,0,-43.89521026611328,-40.52143096923828,-3.373779296875
16,B,2,Your drawing matched her likeness.,Her likeness was matched by the drawing.,matched,Estimation,drawing,likeness,1,-33.737892150878906,-35.970069885253906,2.232177734375
16,B,1,Your drawing resembled her likeness.,Her likeness was resembled by the drawing.,resembled,Estimation,drawing,likeness,0,-37.81308364868164,-43.39640808105469,5.583324432373047
17,B,2,Your friend approximated my brother.,My brother was approximated by your friend.,approximated,Estimation,friend,brother,1,-40.062255859375,-41.63533020019531,1.5730743408203125
17,B,1,Your friend mirrored my brother.,My brother was mirrored by your friend.,mirrored,Estimation,friend,brother,1,-33.80298614501953,-37.73440170288086,3.931415557861328
18,B,2,The character matched the author.,The author was matched by the character.,matched,Estimation,author,character,1,-30.37174415588379,-36.217559814453125,5.845815658569336
18,B,1,The character resembled the author.,The author was resembled by the character.,resembled,Estimation,author,character,0,-31.991008758544922,-42.645599365234375,10.654590606689453
19,B,2,Her son approximated her father.,Her father was approximated by her son.,approximated,Estimation,son,father,1,-35.99207305908203,-35.08489990234375,-0.9071731567382812
19,B,1,Her son mirrored her father.,Her father was mirrored by her son.,mirrored,Estimation,son,father,1,-30.541040420532227,-30.602962493896484,0.06192207336425781
20,B,2,The copy matched the original.,The original was matched by the copy.,matched,Estimation,copy,original,1,-28.945606231689453,-39.31940460205078,10.373798370361328
20,B,1,The copy mirrored the original.,The original was mirrored by the copy.,mirrored,Estimation,copy,original,1,-32.72612762451172,-40.52915954589844,7.803031921386719
21,B,2,The journey lasted three days.,Three days were lasted by the journey.,lasted,Duration,journey,days,0,-23.17672348022461,-38.324005126953125,15.147281646728516
21,B,1,The journey took three days.,Three days were taken by the journey.,took,Duration,journey,days,0,-21.538650512695312,-32.21788787841797,10.679237365722656
22,B,2,My meeting required two hours.,Two hours was required by my meeting.,required,Duration,meeting,hours,1,-28.076147079467773,-36.98277282714844,8.906625747680664
23,B,1,The interview lasted some time.,Some time was lasted by the interview.,lasted,Duration,interview,time,0,-22.24419403076172,-43.92275619506836,21.67856216430664
23,B,2,The interview took some time.,Some time was taken by the interview.,took,Duration,interview,time,0,-24.73373031616211,-34.134521484375,9.40079116821289
24,B,1,Her speech required seventeen minutes.,Seventeen minutes was required by her speech.,required,Duration,speech,minutes,1,-32.71133804321289,-47.22632598876953,14.51498794555664
25,B,2,His trek lasted a month.,A month was lasted by his trek.,lasted,Duration,trek,month,0,-24.370563507080078,-47.430519104003906,23.059955596923828
25,B,1,His trek took a month.,A month was taken by his trek.,took,Duration,trek,month,0,-24.881759643554688,-41.58396911621094,16.70220947265625
26,B,2,A boy hit my bag.,My bag was hit by a boy.,hit,Agent-patient,a boy,my bag,1,-30.96697235107422,-30.728008270263672,-0.23896408081054688
26,B,1,A monkey hit the toy.,The toy was hit by a monkey.,hit,Agent-patient,a monkey,the toy,1,-33.070457458496094,-34.03224182128906,0.9617843627929688
27,B,2,A boy pushed the cup.,The cup was pushed by a boy.,pushed,Agent-patient,a boy,the cup,1,-32.05170440673828,-39.094608306884766,7.042903900146484
27,B,1,A child pushed the bag.,The bag was pushed by a child.,pushed,Agent-patient,a child,the bag,1,-32.33257293701172,-36.309051513671875,3.9764785766601562
27,B,2,Your sister pushed your friend.,Your friend was pushed by your sister.,pushed,Agent-patient,your sister,your friend,1,-30.733177185058594,-35.795677185058594,5.0625
28,B,1,My brother washed my plate.,My plate was washed by my brother.,washed,Agent-patient,my brother,my plate,1,-32.06710433959961,-36.44364929199219,4.376544952392578
28,B,2,Your mother washed my toy.,My toy was washed by your mother.,washed,Agent-patient,your mother,my toy,1,-33.329864501953125,-41.003173828125,7.673309326171875
29,B,1,A boy dropped the cup.,The cup was dropped by a boy.,dropped,Agent-patient,a boy,the cup,1,-31.161895751953125,-36.507450103759766,5.345554351806641
29,B,2,A child dropped the bag.,The bag was dropped by a child.,dropped,Agent-patient,a child,the bag,1,-31.373916625976562,-31.564453125,0.1905364990234375
29,B,1,Your sister dropped a book.,A book was dropped by your sister.,dropped,Agent-patient,your sister,a book,1,-28.24307632446289,-38.49796676635742,10.254890441894531
30,B,2,My brother carried your friend.,Your friend was carried by my brother.,carried,Agent-patient,my brother,your friend,1,-35.76145935058594,-33.58964157104492,-2.1718177795410156
30,B,1,The dog carried the toy.,The toy was carried by the dog.,carried,Agent-patient,the dog,the toy,1,-29.91958999633789,-32.05686950683594,2.137279510498047
