verb,frame_no,active_score,passive_score,pass_drop
earned,6,-40.866573333740234,-47.93803405761719,7.071460723876953
profited,1,-39.11699676513672,-41.70747375488281,2.5904769897460938
emanated,13,-40.20279312133789,-42.20307159423828,2.0002784729003906
mirrored,16,-37.94439697265625,-36.84275817871094,-1.1016387939453125
remembered,35,-29.449934005737305,-34.06593322753906,4.615999221801758
emitted,14,-35.72178268432617,-46.89766311645508,11.175880432128906
dropped,29,-29.158201217651367,-32.84849548339844,3.6902942657470703
cost,6,-38.01227569580078,-56.459136962890625,18.446861267089844
hit,26,-27.281814575195312,-31.071386337280273,3.789571762084961
required,23,-28.681278228759766,-36.8317756652832,8.150497436523438
mirrored,18,-32.83121871948242,-38.30708312988281,5.475864410400391
cost,9,-28.96752166748047,-43.655601501464844,14.688079833984375
discharged,15,-40.28099060058594,-43.154335021972656,2.8733444213867188
saw,31,-29.72368812561035,-36.54151153564453,6.81782341003418
lasted,23,-21.70184898376465,-43.273197174072266,21.571348190307617
fetched,7,-33.09382247924805,-40.46199035644531,7.368167877197266
helped,4,-33.54467010498047,-27.83069610595703,-5.7139739990234375
remembered,35,-30.946866989135742,-40.52286911010742,9.57600212097168
fetched,10,-34.10285568237305,-43.53955078125,9.436695098876953
cost,10,-30.39661407470703,-45.67023468017578,15.27362060546875
carried,30,-24.551406860351562,-33.8858528137207,9.33444595336914
profited,3,-35.56512451171875,-35.58030700683594,0.0151824951171875
took,21,-22.35421371459961,-32.490264892578125,10.136051177978516
liked,34,-28.329872131347656,-39.64992141723633,11.320049285888672
discharged,11,-34.703250885009766,-39.79403305053711,5.090782165527344
emitted,15,-42.030303955078125,-37.8215446472168,-4.208759307861328
carried,30,-29.241762161254883,-33.103843688964844,3.862081527709961
earned,8,-29.84370231628418,-31.588054656982422,1.7443523406982422
remembered,35,-36.35992431640625,-41.72063446044922,5.360710144042969
saw,31,-25.945791244506836,-39.77308654785156,13.827295303344727
took,25,-28.52075958251953,-44.885520935058594,16.364761352539062
dropped,29,-32.52857208251953,-34.25241470336914,1.7238426208496094
pushed,27,-27.763427734375,-33.07452392578125,5.31109619140625
heard,32,-30.776683807373047,-42.345401763916016,11.568717956542969
benefited,5,-30.28133773803711,-30.37088966369629,0.08955192565917969
matched,19,-29.4047794342041,-27.046791076660156,-2.3579883575439453
knew,33,-23.121824264526367,-35.04098129272461,11.919157028198242
hit,26,-29.627941131591797,-33.53777313232422,3.909832000732422
