verb,frame_no,active_score,passive_score,pass_drop
strengthened,5,-37.38726806640625,-28.744338989257812,-8.642929077148438
took,24,-27.609874725341797,-48.320133209228516,20.71025848388672
lasted,25,-25.617847442626953,-53.203704833984375,27.585857391357422
resembled,16,-41.789154052734375,-46.54439926147461,4.755245208740234
hit,26,-31.404403686523438,-36.00048828125,4.5960845947265625
emitted,14,-36.59749221801758,-44.53017044067383,7.93267822265625
cost,6,-39.138648986816406,-49.53498840332031,10.396339416503906
strengthened,3,-32.30042266845703,-32.39889907836914,0.09847640991210938
dropped,29,-30.718231201171875,-32.175533294677734,1.4573020935058594
resembled,19,-26.86129379272461,-31.989810943603516,5.128517150878906
washed,28,-33.50481414794922,-36.65705490112305,3.152240753173828
matched,18,-35.77581787109375,-34.89519500732422,-0.8806228637695312
pushed,27,-30.420475006103516,-32.1417236328125,1.7212486267089844
radiated,13,-37.68754196166992,-39.883331298828125,2.195789337158203
liked,34,-28.815149307250977,-39.74433135986328,10.929182052612305
fetched,6,-43.00302505493164,-50.23104476928711,7.228019714355469
emanated,13,-41.87495422363281,-41.29845428466797,-0.5764999389648438
heard,32,-30.47832679748535,-45.459014892578125,14.980688095092773
heard,32,-24.22944450378418,-29.35233497619629,5.122890472412109
fetched,7,-34.91456604003906,-42.85199737548828,7.937431335449219
resembled,20,-28.801511764526367,-47.900238037109375,19.098726272583008
emitted,11,-33.53143310546875,-38.02333068847656,4.4918975830078125
saw,31,-27.073505401611328,-40.09160232543945,13.018096923828125
fetched,9,-38.716819763183594,-42.23625946044922,3.519439697265625
earned,7,-30.143463134765625,-35.134708404541016,4.991245269775391
pushed,27,-31.102989196777344,-31.91396713256836,0.8109779357910156
saw,31,-30.160856246948242,-32.99481964111328,2.833963394165039
approximated,18,-39.13460159301758,-43.39930725097656,4.264705657958984
knew,33,-23.89656639099121,-34.61691665649414,10.72035026550293
helped,3,-29.910369873046875,-29.355167388916016,-0.5552024841308594
saw,31,-26.64291763305664,-38.82536315917969,12.182445526123047
profited,2,-43.6627197265625,-47.019771575927734,3.3570518493652344
dropped,29,-30.55515480041504,-34.9760856628418,4.420930862426758
matched,19,-25.730636596679688,-26.829288482666016,1.0986518859863281
approximated,20,-34.81245422363281,-41.436344146728516,6.623889923095703
helped,1,-29.370033264160156,-36.538063049316406,7.16802978515625
washed,28,-33.92826461791992,-38.89152908325195,4.963264465332031
radiated,14,-30.88620376586914,-44.11608123779297,13.229877471923828
benefited,1,-28.745655059814453,-38.76055908203125,10.014904022216797
cost,8,-24.3469181060791,-44.08299255371094,19.736074447631836
strengthened,1,-33.079261779785156,-39.990169525146484,6.910907745361328
lasted,23,-21.675607681274414,-47.73727035522461,26.061662673950195
washed,28,-32.57488250732422,-39.59717559814453,7.0222930908203125
carried,30,-31.788135528564453,-29.795120239257812,-1.9930152893066406
matched,20,-28.327457427978516,-35.19562530517578,6.868167877197266
remembered,35,-32.07289123535156,-42.74320983886719,10.670318603515625
radiated,15,-44.298858642578125,-40.541046142578125,-3.7578125
cost,7,-25.844097137451172,-43.252235412597656,17.408138275146484
carried,30,-24.38065528869629,-34.60070037841797,10.22004508972168
hit,26,-28.490995407104492,-32.090328216552734,3.599332809448242
knew,33,-27.030447006225586,-33.76359176635742,6.733144760131836
required,21,-30.077682495117188,-35.281002044677734,5.203319549560547
discharged,13,-39.38080596923828,-40.706504821777344,1.3256988525390625
fetched,8,-34.02534866333008,-42.495277404785156,8.469928741455078
profited,3,-34.937469482421875,-43.73215866088867,8.794689178466797
liked,34,-24.429391860961914,-34.68450927734375,10.255117416381836
approximated,19,-33.61058807373047,-33.8095817565918,0.19899368286132812
heard,32,-29.616413116455078,-35.74849319458008,6.132080078125
required,22,-30.5081729888916,-39.294307708740234,8.786134719848633
approximated,16,-44.1523551940918,-38.20743179321289,-5.944923400878906
remembered,35,-33.407867431640625,-39.84632110595703,6.438453674316406
washed,28,-30.044343948364258,-34.63404846191406,4.589704513549805
mirrored,17,-28.587600708007812,-35.45670700073242,6.869106292724609
carried,30,-30.367876052856445,-32.06805419921875,1.7001781463623047
pushed,27,-34.889892578125,-34.264896392822266,-0.6249961853027344
profited,1,-34.49318313598633,-44.32481384277344,9.83163070678711
dropped,29,-26.367137908935547,-40.50114822387695,14.134010314941406
required,25,-35.48029708862305,-46.67979431152344,11.19949722290039
hit,26,-27.774574279785156,-32.49871826171875,4.724143981933594
cost,10,-29.63551902770996,-41.01515579223633,11.379636764526367
pushed,27,-31.525131225585938,-34.62519836425781,3.100067138671875
earned,9,-31.716081619262695,-36.988914489746094,5.272832870483398
resembled,17,-27.92397689819336,-38.27154541015625,10.34756851196289
took,23,-21.278600692749023,-37.186614990234375,15.908014297485352
emanated,12,-41.29731750488281,-48.11895751953125,6.8216400146484375
remembered,35,-30.869495391845703,-35.71323013305664,4.8437347412109375
heard,32,-28.078691482543945,-30.28302574157715,2.204334259033203
earned,6,-40.34978485107422,-44.584800720214844,4.235015869140625
resembled,18,-34.13274002075195,-43.82465362548828,9.691913604736328
benefited,4,-33.240394592285156,-32.46737289428711,-0.7730216979980469
fetched,10,-36.34988784790039,-43.793601989746094,7.443714141845703
hit,26,-32.27135467529297,-29.651012420654297,-2.620342254638672
benefited,2,-34.48815155029297,-38.794517517089844,4.306365966796875
benefited,5,-28.771732330322266,-31.625370025634766,2.8536376953125
helped,5,-33.90334701538086,-29.053485870361328,-4.849861145019531
cost,9,-28.463146209716797,-41.20337677001953,12.740230560302734
matched,16,-36.829322814941406,-34.57555389404297,-2.2537689208984375
