verb,frame_no,active_score,passive_score,pass_drop
helped,4,-32.02324676513672,-31.09252166748047,-0.93072509765625
carried,30,-32.855995178222656,-28.660633087158203,-4.195362091064453
benefited,4,-31.45946502685547,-30.316452026367188,-1.1430130004882812
heard,32,-33.76860427856445,-29.372821807861328,-4.395782470703125
pushed,27,-31.70542335510254,-35.76078796386719,4.055364608764648
benefited,5,-28.356243133544922,-31.777965545654297,3.421722412109375
pushed,27,-30.585430145263672,-34.65167236328125,4.066242218017578
lasted,25,-25.57463836669922,-48.61529541015625,23.04065704345703
took,21,-19.26588249206543,-33.794227600097656,14.528345108032227
hit,26,-33.47608947753906,-32.05146789550781,-1.42462158203125
fetched,10,-40.66908645629883,-43.463863372802734,2.7947769165039062
radiated,13,-32.73149490356445,-43.642181396484375,10.910686492919922
cost,6,-36.820980072021484,-49.91200256347656,13.091022491455078
heard,32,-32.74150466918945,-38.97162628173828,6.230121612548828
matched,17,-31.419519424438477,-37.98411178588867,6.564592361450195
remembered,35,-30.59551239013672,-34.465274810791016,3.869762420654297
mirrored,17,-28.889312744140625,-39.09947204589844,10.210159301757812
pushed,27,-34.58068084716797,-33.89561462402344,-0.6850662231445312
fetched,7,-38.4000129699707,-41.19022750854492,2.7902145385742188
saw,31,-31.308664321899414,-33.22079086303711,1.9121265411376953
strengthened,3,-25.849246978759766,-28.059249877929688,2.210002899169922
liked,34,-33.10552215576172,-29.933147430419922,-3.172374725341797
radiated,12,-33.78325653076172,-42.774620056152344,8.991363525390625
emanated,11,-29.294361114501953,-38.84073257446289,9.546371459960938
carried,30,-33.31620407104492,-30.249134063720703,-3.0670700073242188
radiated,14,-36.46391296386719,-45.59585952758789,9.131946563720703
knew,33,-27.23478889465332,-35.67682647705078,8.442037582397461
resembled,20,-30.022544860839844,-46.20861053466797,16.186065673828125
profited,5,-41.14698791503906,-31.171249389648438,-9.975738525390625
saw,31,-27.513946533203125,-29.098045349121094,1.5840988159179688
dropped,29,-28.29672622680664,-33.211708068847656,4.914981842041016
remembered,35,-37.40270233154297,-42.62451171875,5.221809387207031
fetched,9,-39.462806701660156,-43.12877655029297,3.6659698486328125
strengthened,4,-35.230106353759766,-32.95054626464844,-2.279560089111328
discharged,15,-34.849449157714844,-37.48536682128906,2.6359176635742188
took,24,-29.67253875732422,-43.12746810913086,13.45492935180664
helped,1,-28.367666244506836,-38.591773986816406,10.22410774230957
approximated,17,-34.87560272216797,-46.07695770263672,11.20135498046875
fetched,8,-32.59518814086914,-40.035491943359375,7.440303802490234
profited,4,-42.64585876464844,-32.52426528930664,-10.121593475341797
helped,2,-31.451831817626953,-33.15397644042969,1.7021446228027344
lasted,24,-26.458669662475586,-52.803287506103516,26.34461784362793
saw,31,-31.756702423095703,-33.65831756591797,1.9016151428222656
remembered,35,-34.708656311035156,-40.81801986694336,6.109363555908203
washed,28,-34.399497985839844,-41.87429428100586,7.474796295166016
knew,33,-30.895845413208008,-30.737991333007812,-0.1578540802001953
dropped,29,-29.946834564208984,-30.250452041625977,0.3036174774169922
matched,19,-29.840635299682617,-28.836700439453125,-1.0039348602294922
pushed,27,-31.409076690673828,-33.23977279663086,1.8306961059570312
dropped,29,-25.881162643432617,-40.02766036987305,14.14649772644043
washed,28,-31.917713165283203,-38.15528869628906,6.237575531005859
emanated,12,-42.92213439941406,-47.01499938964844,4.092864990234375
emitted,14,-38.41086959838867,-43.67448806762695,5.263618469238281
mirrored,16,-38.784088134765625,-36.64287185668945,-2.141216278076172
required,22,-27.466886520385742,-36.9120979309082,9.445211410522461
mirrored,19,-29.619131088256836,-30.923513412475586,1.30438232421875
dropped,29,-30.586444854736328,-34.59342956542969,4.006984710693359
liked,34,-27.049110412597656,-43.152687072753906,16.10357666015625
cost,9,-27.581554412841797,-43.28908157348633,15.707527160644531
required,21,-26.2877197265625,-36.66642761230469,10.378707885742188
profited,3,-32.90632247924805,-37.75456237792969,4.848239898681641
mirrored,20,-32.95594024658203,-40.237430572509766,7.281490325927734
required,24,-31.950870513916016,-45.712677001953125,13.76180648803711
remembered,35,-33.11528396606445,-33.173885345458984,0.05860137939453125
liked,34,-28.499412536621094,-41.78129577636719,13.281883239746094
emitted,15,-37.64173889160156,-33.42598342895508,-4.215755462646484
washed,28,-27.627517700195312,-33.59300994873047,5.965492248535156
took,23,-23.05075454711914,-33.31513214111328,10.26437759399414
strengthened,1,-30.914791107177734,-39.6347541809082,8.719963073730469
approximated,20,-39.48853302001953,-42.24402618408203,2.7554931640625
resembled,19,-26.067310333251953,-31.557239532470703,5.48992919921875
radiated,11,-27.181310653686523,-38.727378845214844,11.54606819152832
discharged,11,-34.632102966308594,-31.822952270507812,-2.8091506958007812
washed,28,-28.539512634277344,-38.045440673828125,9.505928039550781
liked,34,-28.23897933959961,-33.98193359375,5.742954254150391
cost,8,-23.841032028198242,-41.41102600097656,17.56999397277832
approximated,18,-43.837554931640625,-47.973899841308594,4.136344909667969
knew,33,-27.73138427734375,-38.5602912902832,10.828907012939453
heard,32,-30.0493221282959,-41.78368377685547,11.73436164855957
heard,32,-30.9229736328125,-43.873390197753906,12.950416564941406
approximated,16,-40.576202392578125,-38.57375717163086,-2.0024452209472656
remembered,35,-30.69731903076172,-43.26589584350586,12.56857681274414
radiated,15,-34.86509323120117,-38.39393997192383,3.5288467407226562
resembled,18,-32.103885650634766,-40.062965393066406,7.959079742431641
profited,1,-35.90135955810547,-43.95341110229492,8.052051544189453
required,25,-31.836410522460938,-43.30975341796875,11.473342895507812
approximated,19,-37.680362701416016,-35.975467681884766,-1.70489501953125
resembled,16,-38.48750305175781,-38.99884033203125,0.5113372802734375
matched,18,-31.17012596130371,-38.72500991821289,7.55488395690918
discharged,13,-36.37484359741211,-39.466590881347656,3.091747283935547
earned,6,-39.69912338256836,-44.94281005859375,5.243686676025391
helped,3,-26.593055725097656,-26.644489288330078,0.051433563232421875
emanated,13,-37.83757019042969,-44.05366134643555,6.216091156005859
hit,26,-27.073102951049805,-29.58599853515625,2.5128955841064453
cost,10,-33.13596725463867,-44.90337371826172,11.767406463623047
liked,34,-34.991432189941406,-37.423866271972656,2.43243408203125
knew,33,-24.20772933959961,-36.65650939941406,12.448780059814453
cost,7,-27.65060043334961,-42.322715759277344,14.672115325927734
emitted,13,-31.322587966918945,-36.60784149169922,5.285253524780273
matched,20,-28.460399627685547,-39.21281051635742,10.752410888671875
carried,30,-24.346195220947266,-35.128570556640625,10.78237533569336
fetched,6,-48.249752044677734,-48.89667892456055,0.6469268798828125
saw,31,-26.871383666992188,-39.12895965576172,12.257575988769531
hit,26,-29.959606170654297,-30.933855056762695,0.9742488861083984
earned,9,-34.1989860534668,-40.846221923828125,6.647235870361328
took,25,-25.227344512939453,-42.633174896240234,17.40583038330078
matched,16,-34.23967361450195,-36.96720886230469,2.7275352478027344
emitted,12,-31.276264190673828,-37.174476623535156,5.898212432861328
benefited,3,-28.65574836730957,-31.08249282836914,2.4267444610595703
benefited,2,-33.780860900878906,-34.12852478027344,0.34766387939453125
hit,26,-25.869274139404297,-42.47478485107422,16.605510711669922
emitted,11,-34.449790954589844,-36.14017868041992,1.6903877258300781
profited,2,-45.00006866455078,-40.708824157714844,-4.2912445068359375
heard,32,-25.29737091064453,-31.014869689941406,5.717498779296875
hit,26,-31.27045440673828,-35.1879768371582,3.917522430419922
mirrored,18,-32.97117614746094,-40.56124496459961,7.590068817138672
benefited,1,-27.524580001831055,-39.63106155395508,12.106481552124023
emanated,15,-41.09686279296875,-40.67792892456055,-0.4189338684082031
carried,30,-35.121700286865234,-37.4791259765625,2.3574256896972656
earned,7,-34.93206787109375,-35.09480667114258,0.16273880004882812
resembled,17,-28.29175567626953,-39.50743865966797,11.215682983398438
