active_score,passive_score,pass_drop,verb,frame
-28.417678833007812,-42.964298248291016,14.546619415283203,benefited,1
-43.09745788574219,-46.17753219604492,3.0800743103027344,profited,1
-33.07899856567383,-34.408451080322266,1.3294525146484375,helped,2
-30.363224029541016,-35.945838928222656,5.582614898681641,strengthened,2
-27.060070037841797,-34.34280014038086,7.2827301025390625,benefited,3
-37.36664962768555,-40.19745635986328,2.8308067321777344,profited,3
-32.74644088745117,-29.83966064453125,-2.906780242919922,helped,4
-37.71929931640625,-33.407737731933594,-4.311561584472656,strengthened,4
-29.88288688659668,-29.140995025634766,-0.7418918609619141,benefited,5
-35.99658966064453,-27.321399688720703,-8.675189971923828,strengthened,5
-29.998172760009766,-38.589683532714844,8.591510772705078,helped,1
-29.475322723388672,-41.969234466552734,12.493911743164062,strengthened,1
-37.155006408691406,-37.604461669921875,0.44945526123046875,benefited,2
-49.2188720703125,-43.68888854980469,-5.5299835205078125,profited,2
-29.720664978027344,-32.18499755859375,2.4643325805664062,helped,3
-27.632915496826172,-32.220558166503906,4.587642669677734,strengthened,3
-30.913299560546875,-33.62668228149414,2.7133827209472656,benefited,4
-46.1213264465332,-35.17398452758789,-10.947341918945312,profited,4
-32.473670959472656,-26.708538055419922,-5.765132904052734,helped,5
-42.29789733886719,-29.507349014282227,-12.790548324584961,profited,5
-37.684051513671875,-54.739295959472656,17.05524444580078,cost,6
-48.82609176635742,-56.02586364746094,7.199771881103516,fetched,6
-35.21092987060547,-37.07512664794922,1.86419677734375,earned,7
-24.526439666748047,-40.87514114379883,16.34870147705078,cost,8
-34.69804382324219,-42.482093811035156,7.784049987792969,fetched,8
-32.224143981933594,-41.104366302490234,8.88022232055664,earned,9
-33.52447509765625,-48.811763763427734,15.287288665771484,cost,10
-39.404571533203125,-46.27556610107422,6.870994567871094,fetched,10
-40.59019088745117,-48.96778869628906,8.37759780883789,earned,6
-28.77346420288086,-40.92564392089844,12.152179718017578,cost,7
-37.45354461669922,-44.12885665893555,6.675312042236328,fetched,7
-31.527873992919922,-33.65066909790039,2.1227951049804688,earned,8
-27.011463165283203,-44.94231033325195,17.93084716796875,cost,9
-39.349700927734375,-45.4197998046875,6.070098876953125,fetched,9
-31.735107421875,-34.66325378417969,2.9281463623046875,earned,10
-39.06816864013672,-39.006568908691406,-0.0615997314453125,emanated,11
-32.91024398803711,-35.73457717895508,2.8243331909179688,radiated,11
-39.439422607421875,-42.3019905090332,2.862567901611328,discharged,12
-32.89460372924805,-35.70558166503906,2.8109779357910156,emitted,12
-38.81542205810547,-44.781253814697266,5.965831756591797,emanated,13
-37.14098358154297,-43.72655487060547,6.5855712890625,radiated,13
-40.81593704223633,-42.955467224121094,2.1395301818847656,discharged,14
-43.012306213378906,-43.02997970581055,0.017673492431640625,emitted,14
-46.14140319824219,-40.65748977661133,-5.483913421630859,emanated,15
-41.91832733154297,-33.178138732910156,-8.740188598632812,emitted,15
-35.85310363769531,-34.624114990234375,-1.2289886474609375,discharged,11
-38.526611328125,-35.138427734375,-3.38818359375,emitted,11
-43.05656433105469,-44.30752944946289,1.2509651184082031,emanated,12
-38.469093322753906,-38.123504638671875,-0.34558868408203125,radiated,12
-37.44798278808594,-42.75538635253906,5.307403564453125,discharged,13
-30.342164993286133,-33.90852355957031,3.5663585662841797,emitted,13
-39.93977355957031,-42.74816131591797,2.8083877563476562,emanated,14
-36.03281021118164,-42.76608657836914,6.7332763671875,radiated,14
-42.03241729736328,-42.957359313964844,0.9249420166015625,discharged,15
-41.053924560546875,-38.47413635253906,-2.5797882080078125,radiated,15
-46.780494689941406,-42.776817321777344,-4.0036773681640625,approximated,16
-43.3141975402832,-39.16473388671875,-4.149463653564453,mirrored,16
-34.73008346557617,-38.14649963378906,3.4164161682128906,matched,17
-33.19392776489258,-40.362327575683594,7.168399810791016,resembled,17
-41.49163818359375,-47.19451141357422,5.702873229980469,approximated,18
-41.38418197631836,-41.4002685546875,0.016086578369140625,mirrored,18
-28.736244201660156,-29.525056838989258,0.7888126373291016,matched,19
-23.3583984375,-33.032798767089844,9.674400329589844,resembled,19
-41.90252685546875,-45.60074234008789,3.6982154846191406,approximated,20
-30.136518478393555,-44.00199890136719,13.865480422973633,resembled,20
-39.43736267089844,-38.451873779296875,-0.9854888916015625,matched,16
-41.01032257080078,-40.85292053222656,-0.15740203857421875,resembled,16
-39.613460540771484,-47.717506408691406,8.104045867919922,approximated,17
-32.371177673339844,-36.50266647338867,4.131488800048828,mirrored,17
-37.20381164550781,-38.723880767822266,1.5200691223144531,matched,18
-34.34605407714844,-43.77552032470703,9.429466247558594,resembled,18
-31.596445083618164,-33.8270149230957,2.230569839477539,approximated,19
-27.141326904296875,-30.679462432861328,3.538135528564453,mirrored,19
-28.684202194213867,-38.75892639160156,10.074724197387695,matched,20
-34.22557067871094,-39.58941650390625,5.3638458251953125,mirrored,20
-28.586406707763672,-35.043006896972656,6.456600189208984,required,21
-21.991207122802734,-45.72047424316406,23.729267120361328,lasted,22
-23.13459587097168,-37.6787223815918,14.544126510620117,took,22
-30.048139572143555,-36.18567657470703,6.137537002563477,required,23
-24.918397903442383,-57.184234619140625,32.265838623046875,lasted,24
-31.2041015625,-49.91045379638672,18.70635223388672,took,24
-32.9755859375,-43.339378356933594,10.363792419433594,required,25
-24.319652557373047,-44.998924255371094,20.679271697998047,lasted,21
-19.465679168701172,-36.71242904663086,17.246749877929688,took,21
-29.838510513305664,-40.018306732177734,10.17979621887207,required,22
-26.245166778564453,-47.58576583862305,21.340599060058594,lasted,23
-21.75247573852539,-36.33418273925781,14.581707000732422,took,23
-32.50756072998047,-52.06779479980469,19.56023406982422,required,24
-28.990158081054688,-49.80046463012695,20.810306549072266,lasted,25
-25.299320220947266,-40.998558044433594,15.699237823486328,took,25
-38.1024284362793,-33.98323440551758,-4.119194030761719,hit,26A
-28.491138458251953,-39.73100280761719,11.239864349365234,hit,26B
-32.66960906982422,-31.56203842163086,-1.1075706481933594,hit,26C
-29.864055633544922,-35.96640396118164,6.102348327636719,pushed,27A
-35.61928176879883,-37.441139221191406,1.8218574523925781,pushed,27B
-41.106510162353516,-38.06086730957031,-3.045642852783203,washed,28A
-32.634376525878906,-35.63035202026367,2.9959754943847656,washed,28B
-36.528236389160156,-38.659576416015625,2.1313400268554688,washed,28C
-31.73581886291504,-33.77309799194336,2.0372791290283203,dropped,29A
-36.07938003540039,-33.95060729980469,-2.128772735595703,dropped,29B
-36.69058609008789,-30.852195739746094,-5.838390350341797,carried,30A
-23.516389846801758,-34.43585205078125,10.919462203979492,carried,30B
-44.87434387207031,-31.47505760192871,-13.399286270141602,hit,26D
-36.10218048095703,-36.80039596557617,0.6982154846191406,hit,26E
-38.79412841796875,-37.535499572753906,-1.2586288452148438,pushed,27C
-31.440383911132812,-34.83518600463867,3.3948020935058594,pushed,27D
-29.103322982788086,-34.58061981201172,5.477296829223633,pushed,27E
-36.181739807128906,-36.82435989379883,0.6426200866699219,washed,28D
-37.02361297607422,-41.97202682495117,4.948413848876953,washed,28E
