frame_no,group,set,active,passive,verb,verb_class,subject,object,is_passivizable,active_score,passive_score,pass_drop
1,A,1,Your investment benefited the community.,The community was benefited by your investment.,benefited,Advantage,donation,communities,0,-29.120725631713867,-39.632694244384766,10.511968612670898
1,A,2,Your investment profited the community.,The community was profited by your investment.,profited,Advantage,donation,communities,0,-45.394283294677734,-45.65293884277344,0.2586555480957031
2,A,1,The exercise helped his fitness.,His fitness was helped by the exercise.,helped,Advantage,exercise,fitness,1,-35.921199798583984,-32.45995330810547,-3.4612464904785156
2,A,2,The exercise strengthened his fitness.,His fitness was strengthened by the exercise.,strengthened,Advantage,exercise,fitness,1,-34.63920593261719,-31.99645233154297,-2.6427536010742188
3,A,1,Our friendship benefited my life.,My life was benefited by our friendship.,benefited,Advantage,friendship,life,0,-28.528213500976562,-34.8878288269043,6.359615325927734
3,A,2,Our friendship profited my life.,My life was profited by our friendship.,profited,Advantage,friendship,life,0,-41.30164337158203,-39.6635856628418,-1.6380577087402344
4,A,1,The law helped these workers.,These workers were helped by the law.,helped,Advantage,law,workers,1,-32.22011947631836,-27.597126007080078,-4.622993469238281
4,A,2,The law strengthened these workers.,These workers were strengthened by the law.,strengthened,Advantage,law,workers,1,-40.66859436035156,-32.65510559082031,-8.01348876953125
5,A,1,The treaty benefited both countries.,Both countries were benefited by the treaty.,benefited,Advantage,treaty,countries,0,-27.40928840637207,-32.60798263549805,5.198694229125977
5,A,2,The treaty strengthened both countries.,Both countries were strengthened by the treaty.,strengthened,Advantage,treaty,countries,1,-40.798240661621094,-30.46710968017578,-10.331130981445312
6,A,1,Your dish cost ninety dollars.,Ninety dollars was cost by your dish.,cost,Price,dish,dollars,0,-36.95317840576172,-53.55845642089844,16.60527801513672
6,A,2,Your dish fetched ninety dollars.,Ninety dollars was fetched by your dish.,fetched,Price,dish,dollars,1,-49.956886291503906,-56.65751266479492,6.700626373291016
7,A,1,The painting earned a fortune.,A fortune was earned by the painting.,earned,Price,painting,fortune,1,-40.58473205566406,-36.08675765991211,-4.497974395751953
8,A,2,The tickets cost a lot of money.,A lot of money was cost by the tickets.,cost,Price,initiative,money,0,-24.461950302124023,-43.090423583984375,18.62847328186035
8,A,1,The tickets fetched a lot of money.,A lot of money was fetched by the tickets.,fetched,Price,initiative,money,1,-34.0693359375,-42.32543182373047,8.256095886230469
9,A,2,Your book earned thirty dollars.,Thirty dollars was earned by your book.,earned,Price,book,dollars,1,-35.79793167114258,-39.504356384277344,3.7064247131347656
10,A,1,His actions cost the medal.,The medal was cost by his actions.,cost,Price,actions,medal,0,-29.737133026123047,-48.93147277832031,19.194339752197266
10,A,2,His actions fetched the medal.,The medal was fetched by his actions.,fetched,Price,actions,medal,1,-35.27766418457031,-46.752349853515625,11.474685668945312
11,A,1,My friend emanated confidence.,Confidence was emanated by my friend.,emanated,Ooze,friend,confidence,0,-35.21331787109375,-41.72222900390625,6.5089111328125
11,A,2,My friend radiated confidence.,Confidence was radiated by my friend.,radiated,Ooze,friend,confidence,0,-30.715538024902344,-41.95726776123047,11.241729736328125
12,A,1,The lightbulb discharged some light.,Some light was discharged by the lightbulb.,discharged,Ooze,lightbulb,light,1,-37.420677185058594,-47.96530532836914,10.544628143310547
12,A,2,The lightbulb emitted some light.,Some light was emitted by the lightbulb.,emitted,Ooze,lightbulb,light,1,-39.99793243408203,-42.336097717285156,2.338165283203125
13,A,1,That machine emanated a sound.,A sound was emanated by that machine.,emanated,Ooze,machine,sound,0,-38.73995590209961,-41.43278884887695,2.6928329467773438
13,A,2,That machine radiated a sound.,A sound was radiated by that machine.,radiated,Ooze,machine,sound,0,-34.094425201416016,-41.86442565917969,7.770000457763672
14,A,1,The teacher discharged wisdom.,Wisdom was discharged by the teacher.,discharged,Ooze,teacher,wisdom,1,-36.872833251953125,-45.66114807128906,8.788314819335938
14,A,2,The teacher emitted wisdom.,Wisdom was emitted by the teacher.,emitted,Ooze,teacher,wisdom,1,-39.78461837768555,-47.85075378417969,8.06613540649414
15,A,1,The trash emanated an odor.,An odor was emanated by the trash.,emanated,Ooze,trash,odor,0,-44.94554138183594,-39.94316864013672,-5.002372741699219
15,A,2,The trash emitted an odor.,An odor was emitted by the trash.,emitted,Ooze,trash,odor,1,-41.892189025878906,-34.3082160949707,-7.583972930908203
16,A,1,Your drawing approximated her likeness.,Her likeness was approximated by the drawing.,approximated,Estimation,drawing,likeness,1,-47.784645080566406,-41.18619918823242,-6.598445892333984
16,A,2,Your drawing mirrored her likeness.,Her likeness was mirrored by the drawing.,mirrored,Estimation,drawing,likeness,1,-40.9998893737793,-35.978118896484375,-5.021770477294922
17,A,1,Your friend matched my brother.,My brother was matched by your friend.,matched,Estimation,friend,brother,1,-34.14897537231445,-36.31251525878906,2.1635398864746094
17,A,2,Your friend resembled my brother.,My brother was resembled by your friend.,resembled,Estimation,friend,brother,0,-30.349321365356445,-39.87471389770508,9.525392532348633
18,A,1,The character approximated the author.,The author was approximated by the character.,approximated,Estimation,author,character,1,-49.359519958496094,-45.59538650512695,-3.7641334533691406
18,A,2,The character mirrored the author.,The author was mirrored by the character.,mirrored,Estimation,author,character,1,-35.6947021484375,-40.79874801635742,5.104045867919922
19,A,1,Her son matched her father.,Her father was matched by her son.,matched,Estimation,son,father,1,-33.878780364990234,-30.64244842529297,-3.2363319396972656
19,A,2,Her son resembled her father.,Her father was resembled by her son.,resembled,Estimation,son,father,0,-28.003822326660156,-31.967960357666016,3.9641380310058594
20,A,1,The copy approximated the original.,The original was approximated by the copy.,approximated,Estimation,copy,original,1,-42.53135299682617,-47.281673431396484,4.7503204345703125
20,A,2,The copy resembled the original.,The original was resembled by the copy.,resembled,Estimation,copy,original,0,-34.34553527832031,-47.66953659057617,13.32400131225586
21,A,1,The journey required three days.,Three days were required by the journey.,required,Duration,journey,days,1,-27.044954299926758,-39.36583709716797,12.320882797241211
22,A,2,My meeting lasted two hours.,Two hours was lasted by my meeting.,lasted,Duration,meeting,hours,0,-22.818470001220703,-55.14786148071289,32.32939147949219
22,A,1,My meeting took two hours.,Two hours was taken by my meeting.,took,Duration,meeting,hours,0,-29.515897750854492,-46.36805725097656,16.85215950012207
23,A,2,The interview required some time.,Some time was required by the interview.,required,Duration,interview,time,1,-27.20205307006836,-41.60856246948242,14.406509399414062
24,A,1,Her speech lasted seventeen minutes.,Seventeen minutes was lasted by her speech.,lasted,Duration,speech,minutes,0,-26.839529037475586,-46.74189376831055,19.90236473083496
24,A,2,Her speech took seventeen minutes.,Seventeen minutes was taken by her speech.,took,Duration,speech,minutes,0,-30.12142562866211,-38.69023895263672,8.56881332397461
25,A,1,His trek required a month.,A month was required by his trek.,required,Duration,trek,month,1,-34.81856918334961,-49.140281677246094,14.321712493896484
26,A,2,My brother hit your friend.,your friend was hit by my brother.,hit,Agent-patient,my brother,your friend,1,-28.974323272705078,-32.651554107666016,3.6772308349609375
26,A,1,Your sister hit the target.,The target was hit by your sister.,hit,Agent-patient,your sister,the target,1,-26.06024169921875,-42.066612243652344,16.006370544433594
26,A,2,The child hit the ball.,The ball was hit by the child.,hit,Agent-patient,the child,the ball,1,-28.466848373413086,-29.375553131103516,0.9087047576904297
27,A,1,My brother pushed a child.,A child was pushed by my brother.,pushed,Agent-patient,my brother,a child,1,-26.979877471923828,-36.667236328125,9.687358856201172
27,A,2,The mother pushed my toy.,My toy was pushed by the mother.,pushed,Agent-patient,the mother,my toy,1,-36.257022857666016,-35.17546081542969,-1.0815620422363281
28,A,1,A boy washed the cup.,The cup was washed by a boy.,washed,Agent-patient,a boy,the cup,1,-37.971397399902344,-35.66215896606445,-2.3092384338378906
28,A,2,A child washed the bag.,The bag was washed by a child.,washed,Agent-patient,a child,the bag,1,-35.95038604736328,-35.2305908203125,-0.7197952270507812
28,A,1,My sister washed a towel.,A towel was washed by my sister.,washed,Agent-patient,my sister,a towel,1,-36.98863983154297,-34.20878601074219,-2.7798538208007812
29,A,2,My brother dropped my plate.,My plate was dropped by my brother.,dropped,Agent-patient,my brother,my plate,1,-25.86041259765625,-33.256858825683594,7.396446228027344
29,A,1,The mother dropped my toy.,My toy was dropped by the mother.,dropped,Agent-patient,the mother,my toy,1,-35.50967788696289,-33.116973876953125,-2.3927040100097656
30,A,2,A boy carried my bag.,My bag was carried by a boy.,carried,Agent-patient,a boy,my bag,1,-33.3176383972168,-29.650070190429688,-3.6675682067871094
30,A,1,Your mother carried the child.,The child was carried by your mother.,carried,Agent-patient,your mother,the child,1,-23.791906356811523,-36.81822204589844,13.026315689086914
