frame_no,group,set,active,passive,verb,verb_class,subject,object,is_passivizable,active_score,passive_score,pass_drop
1,A,1,Your investment benefited the community.,The community was benefited by your investment.,benefited,Advantage,donation,communities,0,-30.29690170288086,-40.55803680419922,10.26113510131836
1,A,2,Your investment profited the community.,The community was profited by your investment.,profited,Advantage,donation,communities,0,-39.24407196044922,-48.291378021240234,9.047306060791016
2,A,1,The exercise helped his fitness.,His fitness was helped by the exercise.,helped,Advantage,exercise,fitness,1,-35.19248580932617,-35.5179328918457,0.32544708251953125
2,A,2,The exercise strengthened his fitness.,His fitness was strengthened by the exercise.,strengthened,Advantage,exercise,fitness,1,-37.784912109375,-35.237552642822266,-2.5473594665527344
3,A,1,Our friendship benefited my life.,My life was benefited by our friendship.,benefited,Advantage,friendship,life,0,-30.90367889404297,-35.86701202392578,4.9633331298828125
3,A,2,Our friendship profited my life.,My life was profited by our friendship.,profited,Advantage,friendship,life,0,-38.859676361083984,-42.64967346191406,3.789997100830078
4,A,1,The law helped these workers.,These workers were helped by the law.,helped,Advantage,law,workers,1,-33.946773529052734,-29.204883575439453,-4.741889953613281
4,A,2,The law strengthened these workers.,These workers were strengthened by the law.,strengthened,Advantage,law,workers,1,-37.94474411010742,-32.79558181762695,-5.149162292480469
5,A,1,The treaty benefited both countries.,Both countries were benefited by the treaty.,benefited,Advantage,treaty,countries,0,-28.81137466430664,-31.3165283203125,2.5051536560058594
5,A,2,The treaty strengthened both countries.,Both countries were strengthened by the treaty.,strengthened,Advantage,treaty,countries,1,-35.48326873779297,-27.700923919677734,-7.782344818115234
6,A,1,Your dish cost ninety dollars.,Ninety dollars was cost by your dish.,cost,Price,dish,dollars,0,-38.894378662109375,-48.949954986572266,10.05557632446289
6,A,2,Your dish fetched ninety dollars.,Ninety dollars was fetched by your dish.,fetched,Price,dish,dollars,1,-49.72368240356445,-54.02284240722656,4.299160003662109
7,A,1,The painting earned a fortune.,A fortune was earned by the painting.,earned,Price,painting,fortune,1,-34.834590911865234,-38.508216857910156,3.673625946044922
8,A,2,The tickets cost a lot of money.,A lot of money was cost by the tickets.,cost,Price,initiative,money,0,-28.544647216796875,-39.19458770751953,10.649940490722656
8,A,1,The tickets fetched a lot of money.,A lot of money was fetched by the tickets.,fetched,Price,initiative,money,1,-32.98025131225586,-42.90544128417969,9.925189971923828
9,A,2,Your book earned thirty dollars.,Thirty dollars was earned by your book.,earned,Price,book,dollars,1,-31.915287017822266,-40.033203125,8.117916107177734
10,A,1,His actions cost the medal.,The medal was cost by his actions.,cost,Price,actions,medal,0,-30.701215744018555,-40.5892333984375,9.888017654418945
10,A,2,His actions fetched the medal.,The medal was fetched by his actions.,fetched,Price,actions,medal,1,-35.43494415283203,-43.19528579711914,7.760341644287109
11,A,1,My friend emanated confidence.,Confidence was emanated by my friend.,emanated,Ooze,friend,confidence,0,-34.64186096191406,-33.18528366088867,-1.4565773010253906
11,A,2,My friend radiated confidence.,Confidence was radiated by my friend.,radiated,Ooze,friend,confidence,0,-27.481689453125,-32.87725067138672,5.395561218261719
12,A,1,The lightbulb discharged some light.,Some light was discharged by the lightbulb.,discharged,Ooze,lightbulb,light,1,-39.88973617553711,-48.37782669067383,8.488090515136719
12,A,2,The lightbulb emitted some light.,Some light was emitted by the lightbulb.,emitted,Ooze,lightbulb,light,1,-36.16425704956055,-39.850929260253906,3.6866722106933594
13,A,1,That machine emanated a sound.,A sound was emanated by that machine.,emanated,Ooze,machine,sound,0,-45.59574508666992,-43.15978240966797,-2.435962677001953
13,A,2,That machine radiated a sound.,A sound was radiated by that machine.,radiated,Ooze,machine,sound,0,-43.42070388793945,-42.94905090332031,-0.4716529846191406
14,A,1,The teacher discharged wisdom.,Wisdom was discharged by the teacher.,discharged,Ooze,teacher,wisdom,1,-37.65694808959961,-42.6297607421875,4.972812652587891
14,A,2,The teacher emitted wisdom.,Wisdom was emitted by the teacher.,emitted,Ooze,teacher,wisdom,1,-33.66114807128906,-43.18536376953125,9.524215698242188
15,A,1,The trash emanated an odor.,An odor was emanated by the trash.,emanated,Ooze,trash,odor,0,-46.811702728271484,-44.446197509765625,-2.3655052185058594
15,A,2,The trash emitted an odor.,An odor was emitted by the trash.,emitted,Ooze,trash,odor,1,-39.97891616821289,-39.81645202636719,-0.16246414184570312
16,A,1,Your drawing approximated her likeness.,Her likeness was approximated by the drawing.,approximated,Estimation,drawing,likeness,1,-40.67328643798828,-42.332801818847656,1.659515380859375
16,A,2,Your drawing mirrored her likeness.,Her likeness was mirrored by the drawing.,mirrored,Estimation,drawing,likeness,1,-40.514408111572266,-41.296302795410156,0.7818946838378906
17,A,1,Your friend matched my brother.,My brother was matched by your friend.,matched,Estimation,friend,brother,1,-30.836088180541992,-33.3303337097168,2.4942455291748047
17,A,2,Your friend resembled my brother.,My brother was resembled by your friend.,resembled,Estimation,friend,brother,0,-31.473119735717773,-37.975704193115234,6.502584457397461
18,A,1,The character approximated the author.,The author was approximated by the character.,approximated,Estimation,author,character,1,-38.13655471801758,-43.757171630859375,5.620616912841797
18,A,2,The character mirrored the author.,The author was mirrored by the character.,mirrored,Estimation,author,character,1,-35.9915885925293,-40.69640350341797,4.704814910888672
19,A,1,Her son matched her father.,Her father was matched by her son.,matched,Estimation,son,father,1,-29.824176788330078,-26.913406372070312,-2.9107704162597656
