frame_no,group,set,active,passive,verb,verb_class,subject,object,is_passivizable,active_score,passive_score,pass_drop
1,A,1,Your investment benefited the community..,The community was benefited by your investment..,benefited,Advantage,donation,communities,0,-35.107398986816406,-45.968196868896484,10.860797882080078
1,A,2,Your investment profited the community..,The community was profited by your investment..,profited,Advantage,donation,communities,0,-49.275123596191406,-51.114166259765625,1.8390426635742188
2,A,1,The exercise helped his fitness..,His fitness was helped by the exercise..,helped,Advantage,exercise,fitness,1,-42.23674011230469,-40.95307540893555,-1.2836647033691406
2,A,2,The exercise strengthened his fitness..,His fitness was strengthened by the exercise..,strengthened,Advantage,exercise,fitness,1,-44.97787094116211,-42.612464904785156,-2.365406036376953
3,A,1,Our friendship benefited my life..,My life was benefited by our friendship..,benefited,Advantage,friendship,life,0,-39.435054779052734,-37.732303619384766,-1.7027511596679688
3,A,2,Our friendship profited my life..,My life was profited by our friendship..,profited,Advantage,friendship,life,0,-47.437828063964844,-47.92730712890625,0.48947906494140625
4,A,1,The law helped these workers..,These workers were helped by the law..,helped,Advantage,law,workers,1,-41.014060974121094,-37.37445831298828,-3.6396026611328125
4,A,2,The law strengthened these workers..,These workers were strengthened by the law..,strengthened,Advantage,law,workers,1,-48.37980270385742,-39.80229568481445,-8.577507019042969
5,A,1,The treaty benefited both countries..,Both countries were benefited by the treaty..,benefited,Advantage,treaty,countries,0,-36.9518928527832,-45.890464782714844,8.93857192993164
5,A,2,The treaty strengthened both countries..,Both countries were strengthened by the treaty..,strengthened,Advantage,treaty,countries,1,-46.964542388916016,-42.342681884765625,-4.621860504150391
6,A,1,Your dish cost ninety dollars..,Ninety dollars was cost by your dish..,cost,Price,dish,dollars,0,-43.74848175048828,-61.69938659667969,17.950904846191406
6,A,2,Your dish fetched ninety dollars..,Ninety dollars was fetched by your dish..,fetched,Price,dish,dollars,1,-42.485084533691406,-64.53562927246094,22.05054473876953
7,A,1,The painting earned a fortune..,A fortune was earned by the painting..,earned,Price,painting,fortune,1,-42.81814193725586,-39.043304443359375,-3.7748374938964844
8,A,2,The tickets cost a lot of money..,A lot of money was cost by the tickets..,cost,Price,initiative,money,0,-35.453887939453125,-47.58753967285156,12.133651733398438
8,A,1,The tickets fetched a lot of money..,A lot of money was fetched by the tickets..,fetched,Price,initiative,money,1,-41.41980743408203,-49.80939483642578,8.38958740234375
9,A,2,Your book earned thirty dollars..,Thirty dollars was earned by your book..,earned,Price,book,dollars,1,-39.259246826171875,-45.827972412109375,6.5687255859375
10,A,1,His actions cost the medal..,The medal was cost by his actions..,cost,Price,actions,medal,0,-43.28466033935547,-55.26042175292969,11.975761413574219
10,A,2,His actions fetched the medal..,The medal was fetched by his actions..,fetched,Price,actions,medal,1,-48.330726623535156,-53.06262969970703,4.731903076171875
11,A,1,My friend emanated confidence..,Confidence was emanated by my friend..,emanated,Ooze,friend,confidence,0,-38.835487365722656,-46.533653259277344,7.6981658935546875
11,A,2,My friend radiated confidence..,Confidence was radiated by my friend..,radiated,Ooze,friend,confidence,0,-40.46626281738281,-43.43101119995117,2.9647483825683594
12,A,1,The lightbulb discharged some light..,Some light was discharged by the lightbulb..,discharged,Ooze,lightbulb,light,1,-46.844444274902344,-56.31066131591797,9.466217041015625
12,A,2,The lightbulb emitted some light..,Some light was emitted by the lightbulb..,emitted,Ooze,lightbulb,light,1,-40.64790344238281,-46.71543884277344,6.067535400390625
13,A,1,That machine emanated a sound..,A sound was emanated by that machine..,emanated,Ooze,machine,sound,0,-47.255287170410156,-54.71370315551758,7.458415985107422
13,A,2,That machine radiated a sound..,A sound was radiated by that machine..,radiated,Ooze,machine,sound,0,-46.950416564941406,-52.60340881347656,5.652992248535156
14,A,1,The teacher discharged wisdom..,Wisdom was discharged by the teacher..,discharged,Ooze,teacher,wisdom,1,-44.85770034790039,-54.818946838378906,9.961246490478516
14,A,2,The teacher emitted wisdom..,Wisdom was emitted by the teacher..,emitted,Ooze,teacher,wisdom,1,-43.71516036987305,-53.77061080932617,10.055450439453125
15,A,1,The trash emanated an odor..,An odor was emanated by the trash..,emanated,Ooze,trash,odor,0,-51.425174713134766,-51.77973937988281,0.3545646667480469
15,A,2,The trash emitted an odor..,An odor was emitted by the trash..,emitted,Ooze,trash,odor,1,-47.80430603027344,-46.54399108886719,-1.26031494140625
16,A,1,Your drawing approximated her likeness..,Her likeness was approximated by the drawing..,approximated,Estimation,drawing,likeness,1,-53.1292724609375,-52.83799743652344,-0.2912750244140625
16,A,2,Your drawing mirrored her likeness..,Her likeness was mirrored by the drawing..,mirrored,Estimation,drawing,likeness,1,-48.1374626159668,-47.80470657348633,-0.33275604248046875
17,A,1,Your friend matched my brother..,My brother was matched by your friend..,matched,Estimation,friend,brother,1,-34.34636306762695,-40.77025604248047,6.423892974853516
17,A,2,Your friend resembled my brother..,My brother was resembled by your friend..,resembled,Estimation,friend,brother,0,-34.95360565185547,-49.327110290527344,14.373504638671875
18,A,1,The character approximated the author..,The author was approximated by the character..,approximated,Estimation,author,character,1,-47.119956970214844,-49.835655212402344,2.7156982421875
18,A,2,The character mirrored the author..,The author was mirrored by the character..,mirrored,Estimation,author,character,1,-42.48469543457031,-45.154781341552734,2.670085906982422
19,A,1,Her son matched her father..,Her father was matched by her son..,matched,Estimation,son,father,1,-35.02792739868164,-37.55479049682617,2.5268630981445312
19,A,2,Her son resembled her father..,Her father was resembled by her son..,resembled,Estimation,son,father,0,-33.16179275512695,-43.93592834472656,10.77413558959961
20,A,1,The copy approximated the original..,The original was approximated by the copy..,approximated,Estimation,copy,original,1,-47.854671478271484,-56.60097122192383,8.746299743652344
20,A,2,The copy resembled the original..,The original was resembled by the copy..,resembled,Estimation,copy,original,0,-38.792991638183594,-56.250247955322266,17.457256317138672
21,A,1,The journey required three days..,Three days were required by the journey..,required,Duration,journey,days,1,-35.7879638671875,-48.51524353027344,12.727279663085938
22,A,2,My meeting lasted two hours..,Two hours was lasted by my meeting..,lasted,Duration,meeting,hours,0,-32.50078201293945,-59.09197998046875,26.591197967529297
22,A,1,My meeting took two hours..,Two hours was taken by my meeting..,took,Duration,meeting,hours,0,-35.35597610473633,-48.97777557373047,13.62179946899414
23,A,2,The interview required some time..,Some time was required by the interview..,required,Duration,interview,time,1,-36.18270492553711,-44.598106384277344,8.415401458740234
24,A,1,Her speech lasted seventeen minutes..,Seventeen minutes was lasted by her speech..,lasted,Duration,speech,minutes,0,-38.50493621826172,-65.54216003417969,27.03722381591797
24,A,2,Her speech took seventeen minutes..,Seventeen minutes was taken by her speech..,took,Duration,speech,minutes,0,-40.48816680908203,-53.50229263305664,13.01412582397461
25,A,1,His trek required a month..,A month was required by his trek..,required,Duration,trek,month,1,-43.617462158203125,-58.840003967285156,15.222541809082031
26,A,2,My brother hit your friend..,your friend was hit by my brother..,hit,Agent-patient,my brother,your friend,1,-37.2645149230957,-38.69187545776367,1.4273605346679688
26,A,1,Your sister hit the target..,The target was hit by your sister..,hit,Agent-patient,your sister,the target,1,-31.437515258789062,-44.61931610107422,13.181800842285156
26,A,2,The child hit the ball..,The ball was hit by the child..,hit,Agent-patient,the child,the ball,1,-37.38298034667969,-35.357330322265625,-2.0256500244140625
27,A,1,My brother pushed a child..,A child was pushed by my brother..,pushed,Agent-patient,my brother,a child,1,-33.59983825683594,-39.740421295166016,6.140583038330078
27,A,2,The mother pushed my toy..,My toy was pushed by the mother..,pushed,Agent-patient,the mother,my toy,1,-42.962310791015625,-43.57166290283203,0.6093521118164062
28,A,1,A boy washed the cup..,The cup was washed by a boy..,washed,Agent-patient,a boy,the cup,1,-42.50362777709961,-40.99160385131836,-1.51202392578125
28,A,2,A child washed the bag..,The bag was washed by a child..,washed,Agent-patient,a child,the bag,1,-41.896446228027344,-38.89353942871094,-3.0029067993164062
28,A,1,My sister washed a towel..,A towel was washed by my sister..,washed,Agent-patient,my sister,a towel,1,-39.10743713378906,-47.657737731933594,8.550300598144531
29,A,2,My brother dropped my plate..,My plate was dropped by my brother..,dropped,Agent-patient,my brother,my plate,1,-35.57455825805664,-36.67109298706055,1.0965347290039062
29,A,1,The mother dropped my toy..,My toy was dropped by the mother..,dropped,Agent-patient,the mother,my toy,1,-41.6180419921875,-43.61947250366211,2.0014305114746094
30,A,2,A boy carried my bag..,My bag was carried by a boy..,carried,Agent-patient,a boy,my bag,1,-41.9292106628418,-37.368186950683594,-4.561023712158203
30,A,1,Your mother carried the child..,The child was carried by your mother..,carried,Agent-patient,your mother,the child,1,-31.404666900634766,-44.36604309082031,12.961376190185547
31,A,2,My brother saw your friend..,Your friend was seen by my brother..,saw,Experiencer-theme,my brother,your friend,1,-30.731510162353516,-38.49921798706055,7.767707824707031
31,A,1,Your dog saw the toy..,The toy was seen by your dog..,saw,Experiencer-theme,your dog,the toy,1,-32.93669891357422,-50.22855758666992,17.291858673095703
31,A,2,Your sister saw a book..,A book was seen by your sister..,saw,Experiencer-theme,your sister,a book,1,-31.664215087890625,-49.26761245727539,17.603397369384766
32,A,1,A boy heard the sound..,The sound was heard by a boy..,heard,Experiencer-theme,a boy,the sound,1,-31.390361785888672,-38.44881820678711,7.0584564208984375
32,A,2,The child heard the rules..,The rules were heard by the child..,heard,Experiencer-theme,the rules,a monkey,1,-40.629112243652344,-43.91525650024414,3.286144256591797
33,A,1,My brother knew your friend..,Your friend was known by my brother..,knew,Experiencer-theme,my brother,your friend,1,-33.53910446166992,-38.911903381347656,5.372798919677734
33,A,2,Your dog knew my cat..,My cat was known by your dog..,knew,Experiencer-theme,your dog,my cat,1,-36.147300720214844,-46.65888977050781,10.511589050292969
33,A,1,Your sister knew my brother..,My brother was known by your sister..,knew,Experiencer-theme,your sister,my brother,1,-29.99921417236328,-42.0507698059082,12.051555633544922
34,A,2,A boy liked the game..,The game was liked by a boy..,liked,Experiencer-theme,a boy,the game,1,-31.86192512512207,-39.8687744140625,8.00684928894043
