frame_no,group,set,active,passive,verb,verb_class,subject,object,is_passivizable,active_score,passive_score,pass_drop
1,A,1,Your investment benefited the community..,The community was benefited by your investment..,benefited,Advantage,donation,communities,0,-38.00198745727539,-50.57073974609375,12.56875228881836
1,A,2,Your investment profited the community..,The community was profited by your investment..,profited,Advantage,donation,communities,0,-43.544612884521484,-55.430973052978516,11.886360168457031
2,A,1,The exercise helped his fitness..,His fitness was helped by the exercise..,helped,Advantage,exercise,fitness,1,-41.89990234375,-41.034786224365234,-0.8651161193847656
2,A,2,The exercise strengthened his fitness..,His fitness was strengthened by the exercise..,strengthened,Advantage,exercise,fitness,1,-41.66978454589844,-43.73598098754883,2.0661964416503906
3,A,1,Our friendship benefited my life..,My life was benefited by our friendship..,benefited,Advantage,friendship,life,0,-41.109779357910156,-42.20512390136719,1.0953445434570312
3,A,2,Our friendship profited my life..,My life was profited by our friendship..,profited,Advantage,friendship,life,0,-42.00454330444336,-51.433006286621094,9.428462982177734
4,A,1,The law helped these workers..,These workers were helped by the law..,helped,Advantage,law,workers,1,-42.56254577636719,-37.49419403076172,-5.068351745605469
4,A,2,The law strengthened these workers..,These workers were strengthened by the law..,strengthened,Advantage,law,workers,1,-46.56282043457031,-42.910545349121094,-3.6522750854492188
5,A,1,The treaty benefited both countries..,Both countries were benefited by the treaty..,benefited,Advantage,treaty,countries,0,-35.643455505371094,-42.90559005737305,7.262134552001953
5,A,2,The treaty strengthened both countries..,Both countries were strengthened by the treaty..,strengthened,Advantage,treaty,countries,1,-45.490386962890625,-39.00811767578125,-6.482269287109375
6,A,1,Your dish cost ninety dollars..,Ninety dollars was cost by your dish..,cost,Price,dish,dollars,0,-40.364166259765625,-55.714786529541016,15.35062026977539
6,A,2,Your dish fetched ninety dollars..,Ninety dollars was fetched by your dish..,fetched,Price,dish,dollars,1,-46.64027404785156,-57.72180938720703,11.081535339355469
7,A,1,The painting earned a fortune..,A fortune was earned by the painting..,earned,Price,painting,fortune,1,-42.89970779418945,-44.450130462646484,1.5504226684570312
8,A,2,The tickets cost a lot of money..,A lot of money was cost by the tickets..,cost,Price,initiative,money,0,-30.03240966796875,-51.34791946411133,21.315509796142578
8,A,1,The tickets fetched a lot of money..,A lot of money was fetched by the tickets..,fetched,Price,initiative,money,1,-42.166015625,-53.1982307434082,11.032215118408203
9,A,2,Your book earned thirty dollars..,Thirty dollars was earned by your book..,earned,Price,book,dollars,1,-41.512786865234375,-48.40289306640625,6.890106201171875
10,A,1,His actions cost the medal..,The medal was cost by his actions..,cost,Price,actions,medal,0,-40.12422561645508,-49.39791488647461,9.273689270019531
10,A,2,His actions fetched the medal..,The medal was fetched by his actions..,fetched,Price,actions,medal,1,-43.900447845458984,-52.11885070800781,8.218402862548828
11,A,1,My friend emanated confidence..,Confidence was emanated by my friend..,emanated,Ooze,friend,confidence,0,-43.70343017578125,-48.11928939819336,4.415859222412109
