frame_no,group,set,active,passive,verb,verb_class,subject,object,is_passivizable,active_score,passive_score,pass_drop
1,A,1,Your investment benefited the community..,The community was benefited by your investment..,benefited,Advantage,donation,communities,0,-37.463951110839844,-49.203163146972656,11.739212036132812
1,A,2,Your investment profited the community..,The community was profited by your investment..,profited,Advantage,donation,communities,0,-40.9641227722168,-51.815040588378906,10.85091781616211
2,A,1,The exercise helped his fitness..,His fitness was helped by the exercise..,helped,Advantage,exercise,fitness,1,-39.975650787353516,-41.985477447509766,2.00982666015625
2,A,2,The exercise strengthened his fitness..,His fitness was strengthened by the exercise..,strengthened,Advantage,exercise,fitness,1,-41.02505874633789,-43.11240768432617,2.0873489379882812
3,A,1,Our friendship benefited my life..,My life was benefited by our friendship..,benefited,Advantage,friendship,life,0,-41.8990364074707,-42.5548095703125,0.6557731628417969
3,A,2,Our friendship profited my life..,My life was profited by our friendship..,profited,Advantage,friendship,life,0,-46.76078796386719,-49.13833236694336,2.377544403076172
4,A,1,The law helped these workers..,These workers were helped by the law..,helped,Advantage,law,workers,1,-45.63056182861328,-40.37982940673828,-5.250732421875
4,A,2,The law strengthened these workers..,These workers were strengthened by the law..,strengthened,Advantage,law,workers,1,-46.16547393798828,-42.026123046875,-4.139350891113281
5,A,1,The treaty benefited both countries..,Both countries were benefited by the treaty..,benefited,Advantage,treaty,countries,0,-34.85066604614258,-43.04978942871094,8.19912338256836
5,A,2,The treaty strengthened both countries..,Both countries were strengthened by the treaty..,strengthened,Advantage,treaty,countries,1,-43.66334915161133,-37.207210540771484,-6.456138610839844
6,A,1,Your dish cost ninety dollars..,Ninety dollars was cost by your dish..,cost,Price,dish,dollars,0,-44.0628662109375,-59.54075622558594,15.477890014648438
6,A,2,Your dish fetched ninety dollars..,Ninety dollars was fetched by your dish..,fetched,Price,dish,dollars,1,-52.557498931884766,-60.03254318237305,7.475044250488281
7,A,1,The painting earned a fortune..,A fortune was earned by the painting..,earned,Price,painting,fortune,1,-42.90240478515625,-44.391117095947266,1.4887123107910156
8,A,2,The tickets cost a lot of money..,A lot of money was cost by the tickets..,cost,Price,initiative,money,0,-33.67595291137695,-51.49896240234375,17.823009490966797
