frame_no,group,set,active,passive,verb,verb_class,subject,object,is_passivizable,active_score,passive_score,pass_drop
1,A,1,Your investment benefited the community..,The community was benefited by your investment..,benefited,Advantage,donation,communities,0,-35.08748245239258,-51.9249382019043,16.83745574951172
1,A,2,Your investment profited the community..,The community was profited by your investment..,profited,Advantage,donation,communities,0,-53.048866271972656,-54.39079284667969,1.3419265747070312
2,A,1,The exercise helped his fitness..,His fitness was helped by the exercise..,helped,Advantage,exercise,fitness,1,-43.7422981262207,-43.80344772338867,0.06114959716796875
2,A,2,The exercise strengthened his fitness..,His fitness was strengthened by the exercise..,strengthened,Advantage,exercise,fitness,1,-44.90618896484375,-46.78425979614258,1.8780708312988281
3,A,1,Our friendship benefited my life..,My life was benefited by our friendship..,benefited,Advantage,friendship,life,0,-37.81509780883789,-44.44853973388672,6.633441925048828
3,A,2,Our friendship profited my life..,My life was profited by our friendship..,profited,Advantage,friendship,life,0,-50.80204772949219,-51.31291961669922,0.5108718872070312
4,A,1,The law helped these workers..,These workers were helped by the law..,helped,Advantage,law,workers,1,-39.95338439941406,-37.72283935546875,-2.2305450439453125
4,A,2,The law strengthened these workers..,These workers were strengthened by the law..,strengthened,Advantage,law,workers,1,-48.501747131347656,-42.84446334838867,-5.657283782958984
5,A,1,The treaty benefited both countries..,Both countries were benefited by the treaty..,benefited,Advantage,treaty,countries,0,-38.17422866821289,-44.01935958862305,5.845130920410156
5,A,2,The treaty strengthened both countries..,Both countries were strengthened by the treaty..,strengthened,Advantage,treaty,countries,1,-48.82373809814453,-40.52490234375,-8.298835754394531
6,A,1,Your dish cost ninety dollars..,Ninety dollars was cost by your dish..,cost,Price,dish,dollars,0,-47.901695251464844,-63.85423278808594,15.952537536621094
6,A,2,Your dish fetched ninety dollars..,Ninety dollars was fetched by your dish..,fetched,Price,dish,dollars,1,-55.64836502075195,-65.58363342285156,9.93526840209961
7,A,1,The painting earned a fortune..,A fortune was earned by the painting..,earned,Price,painting,fortune,1,-51.627845764160156,-42.322715759277344,-9.305130004882812
8,A,2,The tickets cost a lot of money..,A lot of money was cost by the tickets..,cost,Price,initiative,money,0,-32.1462287902832,-50.93617248535156,18.78994369506836
8,A,1,The tickets fetched a lot of money..,A lot of money was fetched by the tickets..,fetched,Price,initiative,money,1,-41.94963455200195,-52.39775466918945,10.4481201171875
9,A,2,Your book earned thirty dollars..,Thirty dollars was earned by your book..,earned,Price,book,dollars,1,-40.60221481323242,-47.97296142578125,7.370746612548828
10,A,1,His actions cost the medal..,The medal was cost by his actions..,cost,Price,actions,medal,0,-41.472389221191406,-56.669410705566406,15.197021484375
10,A,2,His actions fetched the medal..,The medal was fetched by his actions..,fetched,Price,actions,medal,1,-46.5863151550293,-53.63935089111328,7.053035736083984
11,A,1,My friend emanated confidence..,Confidence was emanated by my friend..,emanated,Ooze,friend,confidence,0,-44.81647491455078,-50.54130172729492,5.724826812744141
11,A,2,My friend radiated confidence..,Confidence was radiated by my friend..,radiated,Ooze,friend,confidence,0,-39.947998046875,-45.87424850463867,5.926250457763672
12,A,1,The lightbulb discharged some light..,Some light was discharged by the lightbulb..,discharged,Ooze,lightbulb,light,1,-53.063819885253906,-56.19465255737305,3.1308326721191406
12,A,2,The lightbulb emitted some light..,Some light was emitted by the lightbulb..,emitted,Ooze,lightbulb,light,1,-45.2157096862793,-50.25762939453125,5.041919708251953
13,A,1,That machine emanated a sound..,A sound was emanated by that machine..,emanated,Ooze,machine,sound,0,-54.438175201416016,-52.25691223144531,-2.181262969970703
13,A,2,That machine radiated a sound..,A sound was radiated by that machine..,radiated,Ooze,machine,sound,0,-45.87590026855469,-51.31485366821289,5.438953399658203
14,A,1,The teacher discharged wisdom..,Wisdom was discharged by the teacher..,discharged,Ooze,teacher,wisdom,1,-46.52816390991211,-52.603939056396484,6.075775146484375
14,A,2,The teacher emitted wisdom..,Wisdom was emitted by the teacher..,emitted,Ooze,teacher,wisdom,1,-42.26228713989258,-52.00465393066406,9.742366790771484
15,A,1,The trash emanated an odor..,An odor was emanated by the trash..,emanated,Ooze,trash,odor,0,-52.325077056884766,-55.512908935546875,3.1878318786621094
15,A,2,The trash emitted an odor..,An odor was emitted by the trash..,emitted,Ooze,trash,odor,1,-51.86106491088867,-46.225914001464844,-5.635150909423828
16,A,1,Your drawing approximated her likeness..,Her likeness was approximated by the drawing..,approximated,Estimation,drawing,likeness,1,-54.91686248779297,-50.1856689453125,-4.731193542480469
16,A,2,Your drawing mirrored her likeness..,Her likeness was mirrored by the drawing..,mirrored,Estimation,drawing,likeness,1,-48.93246078491211,-50.00430679321289,1.0718460083007812
17,A,1,Your friend matched my brother..,My brother was matched by your friend..,matched,Estimation,friend,brother,1,-38.279239654541016,-45.17757797241211,6.898338317871094
17,A,2,Your friend resembled my brother..,My brother was resembled by your friend..,resembled,Estimation,friend,brother,0,-37.853633880615234,-48.64778518676758,10.794151306152344
