frame_no,group,set,active,passive,verb,verb_class,subject,object,is_passivizable,active_score,passive_score,pass_drop
1,A,1,Your investment benefited the community..,The community was benefited by your investment..,benefited,Advantage,donation,communities,0,-37.036293029785156,-47.61746597290039,10.581172943115234
1,A,2,Your investment profited the community..,The community was profited by your investment..,profited,Advantage,donation,communities,0,-39.89347457885742,-50.851463317871094,10.957988739013672
2,A,1,The exercise helped his fitness..,His fitness was helped by the exercise..,helped,Advantage,exercise,fitness,1,-43.32818603515625,-44.338233947753906,1.0100479125976562
2,A,2,The exercise strengthened his fitness..,His fitness was strengthened by the exercise..,strengthened,Advantage,exercise,fitness,1,-41.087646484375,-46.577598571777344,5.489952087402344
3,A,1,Our friendship benefited my life..,My life was benefited by our friendship..,benefited,Advantage,friendship,life,0,-41.063167572021484,-47.00623321533203,5.943065643310547
3,A,2,Our friendship profited my life..,My life was profited by our friendship..,profited,Advantage,friendship,life,0,-45.20301055908203,-51.00714111328125,5.804130554199219
4,A,1,The law helped these workers..,These workers were helped by the law..,helped,Advantage,law,workers,1,-39.56171798706055,-37.523468017578125,-2.038249969482422
4,A,2,The law strengthened these workers..,These workers were strengthened by the law..,strengthened,Advantage,law,workers,1,-46.421871185302734,-42.615970611572266,-3.8059005737304688
5,A,1,The treaty benefited both countries..,Both countries were benefited by the treaty..,benefited,Advantage,treaty,countries,0,-37.385276794433594,-41.79862594604492,4.413349151611328
5,A,2,The treaty strengthened both countries..,Both countries were strengthened by the treaty..,strengthened,Advantage,treaty,countries,1,-45.423240661621094,-36.174049377441406,-9.249191284179688
6,A,1,Your dish cost ninety dollars..,Ninety dollars was cost by your dish..,cost,Price,dish,dollars,0,-45.18295669555664,-63.10395431518555,17.920997619628906
6,A,2,Your dish fetched ninety dollars..,Ninety dollars was fetched by your dish..,fetched,Price,dish,dollars,1,-56.80731201171875,-66.3155288696289,9.508216857910156
7,A,1,The painting earned a fortune..,A fortune was earned by the painting..,earned,Price,painting,fortune,1,-46.24687957763672,-45.78122329711914,-0.4656562805175781
8,A,2,The tickets cost a lot of money..,A lot of money was cost by the tickets..,cost,Price,initiative,money,0,-32.67050552368164,-50.048316955566406,17.377811431884766
8,A,1,The tickets fetched a lot of money..,A lot of money was fetched by the tickets..,fetched,Price,initiative,money,1,-41.7432861328125,-50.82468032836914,9.08139419555664
9,A,2,Your book earned thirty dollars..,Thirty dollars was earned by your book..,earned,Price,book,dollars,1,-46.32881164550781,-47.202396392822266,0.8735847473144531
10,A,1,His actions cost the medal..,The medal was cost by his actions..,cost,Price,actions,medal,0,-41.678035736083984,-59.437747955322266,17.75971221923828
10,A,2,His actions fetched the medal..,The medal was fetched by his actions..,fetched,Price,actions,medal,1,-50.36775207519531,-57.28815841674805,6.920406341552734
11,A,1,My friend emanated confidence..,Confidence was emanated by my friend..,emanated,Ooze,friend,confidence,0,-44.10813522338867,-49.603858947753906,5.495723724365234
11,A,2,My friend radiated confidence..,Confidence was radiated by my friend..,radiated,Ooze,friend,confidence,0,-36.75786209106445,-52.511260986328125,15.753398895263672
12,A,1,The lightbulb discharged some light..,Some light was discharged by the lightbulb..,discharged,Ooze,lightbulb,light,1,-54.010215759277344,-53.31604766845703,-0.6941680908203125
12,A,2,The lightbulb emitted some light..,Some light was emitted by the lightbulb..,emitted,Ooze,lightbulb,light,1,-43.803314208984375,-45.131134033203125,1.32781982421875
13,A,1,That machine emanated a sound..,A sound was emanated by that machine..,emanated,Ooze,machine,sound,0,-48.968994140625,-53.61066436767578,4.641670227050781
13,A,2,That machine radiated a sound..,A sound was radiated by that machine..,radiated,Ooze,machine,sound,0,-44.76545715332031,-51.7025146484375,6.9370574951171875
14,A,1,The teacher discharged wisdom..,Wisdom was discharged by the teacher..,discharged,Ooze,teacher,wisdom,1,-43.55575942993164,-54.29991149902344,10.744152069091797
14,A,2,The teacher emitted wisdom..,Wisdom was emitted by the teacher..,emitted,Ooze,teacher,wisdom,1,-47.13071060180664,-56.351409912109375,9.220699310302734
15,A,1,The trash emanated an odor..,An odor was emanated by the trash..,emanated,Ooze,trash,odor,0,-56.895172119140625,-55.209938049316406,-1.6852340698242188
15,A,2,The trash emitted an odor..,An odor was emitted by the trash..,emitted,Ooze,trash,odor,1,-54.321533203125,-48.12465286254883,-6.196880340576172
16,A,1,Your drawing approximated her likeness..,Her likeness was approximated by the drawing..,approximated,Estimation,drawing,likeness,1,-53.96467590332031,-49.363555908203125,-4.6011199951171875
16,A,2,Your drawing mirrored her likeness..,Her likeness was mirrored by the drawing..,mirrored,Estimation,drawing,likeness,1,-50.20130157470703,-48.46196365356445,-1.7393379211425781
17,A,1,Your friend matched my brother..,My brother was matched by your friend..,matched,Estimation,friend,brother,1,-37.32603073120117,-44.18470764160156,6.858676910400391
17,A,2,Your friend resembled my brother..,My brother was resembled by your friend..,resembled,Estimation,friend,brother,0,-36.967628479003906,-44.474178314208984,7.506549835205078
18,A,1,The character approximated the author..,The author was approximated by the character..,approximated,Estimation,author,character,1,-49.52778244018555,-53.75840759277344,4.230625152587891
18,A,2,The character mirrored the author..,The author was mirrored by the character..,mirrored,Estimation,author,character,1,-40.99032211303711,-45.58796691894531,4.597644805908203
19,A,1,Her son matched her father..,Her father was matched by her son..,matched,Estimation,son,father,1,-36.24284744262695,-37.36703109741211,1.1241836547851562
19,A,2,Her son resembled her father..,Her father was resembled by her son..,resembled,Estimation,son,father,0,-35.241249084472656,-41.265411376953125,6.024162292480469
20,A,1,The copy approximated the original..,The original was approximated by the copy..,approximated,Estimation,copy,original,1,-47.96562194824219,-55.41547775268555,7.449855804443359
20,A,2,The copy resembled the original..,The original was resembled by the copy..,resembled,Estimation,copy,original,0,-34.85936737060547,-51.18118667602539,16.321819305419922
21,A,1,The journey required three days..,Three days were required by the journey..,required,Duration,journey,days,1,-34.60984802246094,-44.95050048828125,10.340652465820312
22,A,2,My meeting lasted two hours..,Two hours was lasted by my meeting..,lasted,Duration,meeting,hours,0,-34.134422302246094,-56.31678009033203,22.182357788085938
22,A,1,My meeting took two hours..,Two hours was taken by my meeting..,took,Duration,meeting,hours,0,-33.15678024291992,-52.097251892089844,18.940471649169922
23,A,2,The interview required some time..,Some time was required by the interview..,required,Duration,interview,time,1,-40.950645446777344,-44.08324432373047,3.132598876953125
24,A,1,Her speech lasted seventeen minutes..,Seventeen minutes was lasted by her speech..,lasted,Duration,speech,minutes,0,-38.13709259033203,-67.78986358642578,29.65277099609375
24,A,2,Her speech took seventeen minutes..,Seventeen minutes was taken by her speech..,took,Duration,speech,minutes,0,-42.221065521240234,-59.889869689941406,17.668804168701172
25,A,1,His trek required a month..,A month was required by his trek..,required,Duration,trek,month,1,-40.81609344482422,-55.717185974121094,14.901092529296875
26,A,2,My brother hit your friend..,your friend was hit by my brother..,hit,Agent-patient,my brother,your friend,1,-35.55858612060547,-38.430809020996094,2.872222900390625
26,A,1,Your sister hit the target..,The target was hit by your sister..,hit,Agent-patient,your sister,the target,1,-31.744449615478516,-44.97230529785156,13.227855682373047
26,A,2,The child hit the ball..,The ball was hit by the child..,hit,Agent-patient,the child,the ball,1,-32.80428695678711,-40.81800842285156,8.013721466064453
27,A,1,My brother pushed a child..,A child was pushed by my brother..,pushed,Agent-patient,my brother,a child,1,-36.10065460205078,-41.85919952392578,5.758544921875
27,A,2,The mother pushed my toy..,My toy was pushed by the mother..,pushed,Agent-patient,the mother,my toy,1,-42.87743377685547,-42.40232849121094,-0.47510528564453125
28,A,1,A boy washed the cup..,The cup was washed by a boy..,washed,Agent-patient,a boy,the cup,1,-39.66033172607422,-47.27303695678711,7.612705230712891
28,A,2,A child washed the bag..,The bag was washed by a child..,washed,Agent-patient,a child,the bag,1,-39.834510803222656,-43.8411865234375,4.006675720214844
28,A,1,My sister washed a towel..,A towel was washed by my sister..,washed,Agent-patient,my sister,a towel,1,-43.65461730957031,-46.20550537109375,2.5508880615234375
29,A,2,My brother dropped my plate..,My plate was dropped by my brother..,dropped,Agent-patient,my brother,my plate,1,-36.968196868896484,-44.63077163696289,7.662574768066406
29,A,1,The mother dropped my toy..,My toy was dropped by the mother..,dropped,Agent-patient,the mother,my toy,1,-43.081077575683594,-42.376129150390625,-0.7049484252929688
30,A,2,A boy carried my bag..,My bag was carried by a boy..,carried,Agent-patient,a boy,my bag,1,-36.79464340209961,-39.11284255981445,2.3181991577148438
30,A,1,Your mother carried the child..,The child was carried by your mother..,carried,Agent-patient,your mother,the child,1,-32.641845703125,-42.452415466308594,9.810569763183594
31,A,2,My brother saw your friend..,Your friend was seen by my brother..,saw,Experiencer-theme,my brother,your friend,1,-32.3804817199707,-40.94657516479492,8.566093444824219
31,A,1,Your dog saw the toy..,The toy was seen by your dog..,saw,Experiencer-theme,your dog,the toy,1,-32.75577163696289,-48.9813346862793,16.225563049316406
31,A,2,Your sister saw a book..,A book was seen by your sister..,saw,Experiencer-theme,your sister,a book,1,-34.03080368041992,-48.93236541748047,14.901561737060547
32,A,1,A boy heard the sound..,The sound was heard by a boy..,heard,Experiencer-theme,a boy,the sound,1,-30.61522674560547,-39.934810638427734,9.319583892822266
32,A,2,The child heard the rules..,The rules were heard by the child..,heard,Experiencer-theme,the rules,a monkey,1,-41.6226692199707,-44.82994079589844,3.2072715759277344
33,A,1,My brother knew your friend..,Your friend was known by my brother..,knew,Experiencer-theme,my brother,your friend,1,-38.0928955078125,-42.319820404052734,4.226924896240234
33,A,2,Your dog knew my cat..,My cat was known by your dog..,knew,Experiencer-theme,your dog,my cat,1,-36.4806022644043,-50.198177337646484,13.717575073242188
33,A,1,Your sister knew my brother..,My brother was known by your sister..,knew,Experiencer-theme,your sister,my brother,1,-34.37881851196289,-46.29611587524414,11.91729736328125
