frame_no,group,set,active,passive,verb,verb_class,subject,object,is_passivizable,active_score,passive_score,pass_drop
1,A,1,Your investment benefited the community..,The community was benefited by your investment..,benefited,Advantage,donation,communities,0,-37.32500457763672,-47.55078125,10.225776672363281
1,A,2,Your investment profited the community..,The community was profited by your investment..,profited,Advantage,donation,communities,0,-46.909996032714844,-52.128257751464844,5.21826171875
2,A,1,The exercise helped his fitness..,His fitness was helped by the exercise..,helped,Advantage,exercise,fitness,1,-47.37932586669922,-42.470542907714844,-4.908782958984375
2,A,2,The exercise strengthened his fitness..,His fitness was strengthened by the exercise..,strengthened,Advantage,exercise,fitness,1,-44.64512252807617,-45.85993576049805,1.214813232421875
3,A,1,Our friendship benefited my life..,My life was benefited by our friendship..,benefited,Advantage,friendship,life,0,-38.12024688720703,-40.37466049194336,2.254413604736328
3,A,2,Our friendship profited my life..,My life was profited by our friendship..,profited,Advantage,friendship,life,0,-45.56233596801758,-47.854679107666016,2.2923431396484375
4,A,1,The law helped these workers..,These workers were helped by the law..,helped,Advantage,law,workers,1,-40.13596725463867,-40.76260757446289,0.6266403198242188
4,A,2,The law strengthened these workers..,These workers were strengthened by the law..,strengthened,Advantage,law,workers,1,-49.22232437133789,-43.231117248535156,-5.991207122802734
5,A,1,The treaty benefited both countries..,Both countries were benefited by the treaty..,benefited,Advantage,treaty,countries,0,-39.19508361816406,-42.152801513671875,2.9577178955078125
5,A,2,The treaty strengthened both countries..,Both countries were strengthened by the treaty..,strengthened,Advantage,treaty,countries,1,-48.035465240478516,-37.359519958496094,-10.675945281982422
6,A,1,Your dish cost ninety dollars..,Ninety dollars was cost by your dish..,cost,Price,dish,dollars,0,-46.48514175415039,-62.20294952392578,15.71780776977539
6,A,2,Your dish fetched ninety dollars..,Ninety dollars was fetched by your dish..,fetched,Price,dish,dollars,1,-53.649391174316406,-68.14281463623047,14.493423461914062
7,A,1,The painting earned a fortune..,A fortune was earned by the painting..,earned,Price,painting,fortune,1,-45.48643493652344,-43.548316955566406,-1.9381179809570312
8,A,2,The tickets cost a lot of money..,A lot of money was cost by the tickets..,cost,Price,initiative,money,0,-35.185089111328125,-50.56407928466797,15.378990173339844
8,A,1,The tickets fetched a lot of money..,A lot of money was fetched by the tickets..,fetched,Price,initiative,money,1,-45.74968719482422,-51.84982681274414,6.100139617919922
9,A,2,Your book earned thirty dollars..,Thirty dollars was earned by your book..,earned,Price,book,dollars,1,-36.573875427246094,-50.1293830871582,13.55550765991211
10,A,1,His actions cost the medal..,The medal was cost by his actions..,cost,Price,actions,medal,0,-40.01406478881836,-53.12675476074219,13.112689971923828
10,A,2,His actions fetched the medal..,The medal was fetched by his actions..,fetched,Price,actions,medal,1,-43.14563751220703,-58.08837890625,14.942741394042969
11,A,1,My friend emanated confidence..,Confidence was emanated by my friend..,emanated,Ooze,friend,confidence,0,-47.88032531738281,-49.00180435180664,1.1214790344238281
11,A,2,My friend radiated confidence..,Confidence was radiated by my friend..,radiated,Ooze,friend,confidence,0,-44.90010070800781,-49.364845275878906,4.464744567871094
12,A,1,The lightbulb discharged some light..,Some light was discharged by the lightbulb..,discharged,Ooze,lightbulb,light,1,-54.744239807128906,-54.6046028137207,-0.13963699340820312
12,A,2,The lightbulb emitted some light..,Some light was emitted by the lightbulb..,emitted,Ooze,lightbulb,light,1,-48.2181282043457,-50.76856994628906,2.5504417419433594
13,A,1,That machine emanated a sound..,A sound was emanated by that machine..,emanated,Ooze,machine,sound,0,-54.064212799072266,-55.085838317871094,1.0216255187988281
13,A,2,That machine radiated a sound..,A sound was radiated by that machine..,radiated,Ooze,machine,sound,0,-47.65633773803711,-57.26673126220703,9.610393524169922
14,A,1,The teacher discharged wisdom..,Wisdom was discharged by the teacher..,discharged,Ooze,teacher,wisdom,1,-46.138153076171875,-55.93537521362305,9.797222137451172
14,A,2,The teacher emitted wisdom..,Wisdom was emitted by the teacher..,emitted,Ooze,teacher,wisdom,1,-46.779945373535156,-57.50985336303711,10.729907989501953
15,A,1,The trash emanated an odor..,An odor was emanated by the trash..,emanated,Ooze,trash,odor,0,-53.31090545654297,-50.04471206665039,-3.266193389892578
15,A,2,The trash emitted an odor..,An odor was emitted by the trash..,emitted,Ooze,trash,odor,1,-52.18043518066406,-43.31657409667969,-8.863861083984375
16,A,1,Your drawing approximated her likeness..,Her likeness was approximated by the drawing..,approximated,Estimation,drawing,likeness,1,-61.24382781982422,-51.822227478027344,-9.421600341796875
16,A,2,Your drawing mirrored her likeness..,Her likeness was mirrored by the drawing..,mirrored,Estimation,drawing,likeness,1,-51.82402801513672,-49.58078384399414,-2.243244171142578
17,A,1,Your friend matched my brother..,My brother was matched by your friend..,matched,Estimation,friend,brother,1,-38.506649017333984,-44.92238998413086,6.415740966796875
