frame_no,group,set,active,passive,verb,verb_class,subject,object,is_passivizable,active_score,passive_score,pass_drop
1,A,1,Your investment benefited the community..,The community was benefited by your investment..,benefited,Advantage,donation,communities,0,-40.25571823120117,-48.268028259277344,8.012310028076172
1,A,2,Your investment profited the community..,The community was profited by your investment..,profited,Advantage,donation,communities,0,-52.400184631347656,-50.85265350341797,-1.5475311279296875
2,A,1,The exercise helped his fitness..,His fitness was helped by the exercise..,helped,Advantage,exercise,fitness,1,-41.567710876464844,-44.61646270751953,3.0487518310546875
2,A,2,The exercise strengthened his fitness..,His fitness was strengthened by the exercise..,strengthened,Advantage,exercise,fitness,1,-43.92891311645508,-46.9739990234375,3.045085906982422
3,A,1,Our friendship benefited my life..,My life was benefited by our friendship..,benefited,Advantage,friendship,life,0,-38.860801696777344,-42.15203857421875,3.2912368774414062
3,A,2,Our friendship profited my life..,My life was profited by our friendship..,profited,Advantage,friendship,life,0,-48.03226852416992,-47.202064514160156,-0.8302040100097656
4,A,1,The law helped these workers..,These workers were helped by the law..,helped,Advantage,law,workers,1,-38.820152282714844,-39.384822845458984,0.5646705627441406
4,A,2,The law strengthened these workers..,These workers were strengthened by the law..,strengthened,Advantage,law,workers,1,-45.468936920166016,-41.455230712890625,-4.013706207275391
5,A,1,The treaty benefited both countries..,Both countries were benefited by the treaty..,benefited,Advantage,treaty,countries,0,-37.345458984375,-45.121009826660156,7.775550842285156
5,A,2,The treaty strengthened both countries..,Both countries were strengthened by the treaty..,strengthened,Advantage,treaty,countries,1,-46.67041778564453,-39.95023727416992,-6.720180511474609
6,A,1,Your dish cost ninety dollars..,Ninety dollars was cost by your dish..,cost,Price,dish,dollars,0,-54.628570556640625,-66.69671630859375,12.068145751953125
6,A,2,Your dish fetched ninety dollars..,Ninety dollars was fetched by your dish..,fetched,Price,dish,dollars,1,-62.50287628173828,-65.17280578613281,2.6699295043945312
7,A,1,The painting earned a fortune..,A fortune was earned by the painting..,earned,Price,painting,fortune,1,-38.808868408203125,-43.492767333984375,4.68389892578125
8,A,2,The tickets cost a lot of money..,A lot of money was cost by the tickets..,cost,Price,initiative,money,0,-34.2250862121582,-51.77588653564453,17.550800323486328
8,A,1,The tickets fetched a lot of money..,A lot of money was fetched by the tickets..,fetched,Price,initiative,money,1,-43.230430603027344,-52.65326690673828,9.422836303710938
9,A,2,Your book earned thirty dollars..,Thirty dollars was earned by your book..,earned,Price,book,dollars,1,-42.2934684753418,-46.80929183959961,4.5158233642578125
10,A,1,His actions cost the medal..,The medal was cost by his actions..,cost,Price,actions,medal,0,-41.477012634277344,-55.70820999145508,14.231197357177734
10,A,2,His actions fetched the medal..,The medal was fetched by his actions..,fetched,Price,actions,medal,1,-49.29971694946289,-54.18896484375,4.889247894287109
11,A,1,My friend emanated confidence..,Confidence was emanated by my friend..,emanated,Ooze,friend,confidence,0,-42.13334655761719,-47.72315979003906,5.589813232421875
11,A,2,My friend radiated confidence..,Confidence was radiated by my friend..,radiated,Ooze,friend,confidence,0,-38.41854476928711,-47.021602630615234,8.603057861328125
12,A,1,The lightbulb discharged some light..,Some light was discharged by the lightbulb..,discharged,Ooze,lightbulb,light,1,-47.82624435424805,-51.58130645751953,3.7550621032714844
12,A,2,The lightbulb emitted some light..,Some light was emitted by the lightbulb..,emitted,Ooze,lightbulb,light,1,-40.6270866394043,-46.02306365966797,5.395977020263672
13,A,1,That machine emanated a sound..,A sound was emanated by that machine..,emanated,Ooze,machine,sound,0,-47.00646209716797,-54.840606689453125,7.834144592285156
13,A,2,That machine radiated a sound..,A sound was radiated by that machine..,radiated,Ooze,machine,sound,0,-42.82704544067383,-56.01216125488281,13.185115814208984
14,A,1,The teacher discharged wisdom..,Wisdom was discharged by the teacher..,discharged,Ooze,teacher,wisdom,1,-47.99842834472656,-53.953250885009766,5.954822540283203
14,A,2,The teacher emitted wisdom..,Wisdom was emitted by the teacher..,emitted,Ooze,teacher,wisdom,1,-45.73845672607422,-53.491790771484375,7.753334045410156
15,A,1,The trash emanated an odor..,An odor was emanated by the trash..,emanated,Ooze,trash,odor,0,-50.62013244628906,-54.01752471923828,3.3973922729492188
15,A,2,The trash emitted an odor..,An odor was emitted by the trash..,emitted,Ooze,trash,odor,1,-50.097496032714844,-45.11125564575195,-4.986240386962891
16,A,1,Your drawing approximated her likeness..,Her likeness was approximated by the drawing..,approximated,Estimation,drawing,likeness,1,-45.35736083984375,-51.402984619140625,6.045623779296875
16,A,2,Your drawing mirrored her likeness..,Her likeness was mirrored by the drawing..,mirrored,Estimation,drawing,likeness,1,-49.991416931152344,-48.35995101928711,-1.6314659118652344
17,A,1,Your friend matched my brother..,My brother was matched by your friend..,matched,Estimation,friend,brother,1,-38.31333923339844,-44.531375885009766,6.218036651611328
17,A,2,Your friend resembled my brother..,My brother was resembled by your friend..,resembled,Estimation,friend,brother,0,-37.80901336669922,-48.85065841674805,11.041645050048828
18,A,1,The character approximated the author..,The author was approximated by the character..,approximated,Estimation,author,character,1,-48.42686462402344,-55.092529296875,6.6656646728515625
18,A,2,The character mirrored the author..,The author was mirrored by the character..,mirrored,Estimation,author,character,1,-44.62718200683594,-51.99574279785156,7.368560791015625
19,A,1,Her son matched her father..,Her father was matched by her son..,matched,Estimation,son,father,1,-35.242210388183594,-36.73189926147461,1.4896888732910156
19,A,2,Her son resembled her father..,Her father was resembled by her son..,resembled,Estimation,son,father,0,-36.18295669555664,-42.63902282714844,6.456066131591797
20,A,1,The copy approximated the original..,The original was approximated by the copy..,approximated,Estimation,copy,original,1,-44.856788635253906,-53.527679443359375,8.670890808105469
20,A,2,The copy resembled the original..,The original was resembled by the copy..,resembled,Estimation,copy,original,0,-39.27834701538086,-56.243282318115234,16.964935302734375
21,A,1,The journey required three days..,Three days were required by the journey..,required,Duration,journey,days,1,-36.749820709228516,-43.42078399658203,6.670963287353516
22,A,2,My meeting lasted two hours..,Two hours was lasted by my meeting..,lasted,Duration,meeting,hours,0,-32.166465759277344,-59.497764587402344,27.331298828125
22,A,1,My meeting took two hours..,Two hours was taken by my meeting..,took,Duration,meeting,hours,0,-33.47451400756836,-51.379913330078125,17.905399322509766
23,A,2,The interview required some time..,Some time was required by the interview..,required,Duration,interview,time,1,-36.7590446472168,-46.192657470703125,9.433612823486328
24,A,1,Her speech lasted seventeen minutes..,Seventeen minutes was lasted by her speech..,lasted,Duration,speech,minutes,0,-31.359771728515625,-60.89670944213867,29.536937713623047
24,A,2,Her speech took seventeen minutes..,Seventeen minutes was taken by her speech..,took,Duration,speech,minutes,0,-39.584354400634766,-51.12178421020508,11.537429809570312
