frame_no,group,set,active,passive,verb,verb_class,subject,object,is_passivizable,active_score,passive_score,pass_drop
1,A,1,Your investment benefited the community..,The community was benefited by your investment..,benefited,Advantage,donation,communities,0,-35.86788558959961,-49.03905487060547,13.17116928100586
1,A,2,Your investment profited the community..,The community was profited by your investment..,profited,Advantage,donation,communities,0,-51.18708038330078,-54.30066680908203,3.11358642578125
2,A,1,The exercise helped his fitness..,His fitness was helped by the exercise..,helped,Advantage,exercise,fitness,1,-38.165626525878906,-47.15557098388672,8.989944458007812
2,A,2,The exercise strengthened his fitness..,His fitness was strengthened by the exercise..,strengthened,Advantage,exercise,fitness,1,-39.707923889160156,-49.394649505615234,9.686725616455078
3,A,1,Our friendship benefited my life..,My life was benefited by our friendship..,benefited,Advantage,friendship,life,0,-33.474327087402344,-40.92088317871094,7.446556091308594
3,A,2,Our friendship profited my life..,My life was profited by our friendship..,profited,Advantage,friendship,life,0,-45.13762283325195,-46.52765655517578,1.3900337219238281
4,A,1,The law helped these workers..,These workers were helped by the law..,helped,Advantage,law,workers,1,-42.059993743896484,-35.71717834472656,-6.342815399169922
4,A,2,The law strengthened these workers..,These workers were strengthened by the law..,strengthened,Advantage,law,workers,1,-47.67339324951172,-39.62345886230469,-8.049934387207031
5,A,1,The treaty benefited both countries..,Both countries were benefited by the treaty..,benefited,Advantage,treaty,countries,0,-36.25282287597656,-41.761566162109375,5.5087432861328125
5,A,2,The treaty strengthened both countries..,Both countries were strengthened by the treaty..,strengthened,Advantage,treaty,countries,1,-41.947242736816406,-40.78441619873047,-1.1628265380859375
6,A,1,Your dish cost ninety dollars..,Ninety dollars was cost by your dish..,cost,Price,dish,dollars,0,-44.85474395751953,-61.94906234741211,17.094318389892578
6,A,2,Your dish fetched ninety dollars..,Ninety dollars was fetched by your dish..,fetched,Price,dish,dollars,1,-46.34598922729492,-61.78887176513672,15.442882537841797
7,A,1,The painting earned a fortune..,A fortune was earned by the painting..,earned,Price,painting,fortune,1,-42.03909683227539,-40.73622131347656,-1.3028755187988281
8,A,2,The tickets cost a lot of money..,A lot of money was cost by the tickets..,cost,Price,initiative,money,0,-31.587600708007812,-53.805606842041016,22.218006134033203
8,A,1,The tickets fetched a lot of money..,A lot of money was fetched by the tickets..,fetched,Price,initiative,money,1,-43.13223648071289,-55.15958023071289,12.02734375
9,A,2,Your book earned thirty dollars..,Thirty dollars was earned by your book..,earned,Price,book,dollars,1,-38.769588470458984,-44.29786682128906,5.528278350830078
10,A,1,His actions cost the medal..,The medal was cost by his actions..,cost,Price,actions,medal,0,-42.034488677978516,-57.07904052734375,15.044551849365234
10,A,2,His actions fetched the medal..,The medal was fetched by his actions..,fetched,Price,actions,medal,1,-47.65266799926758,-54.11333084106445,6.460662841796875
11,A,1,My friend emanated confidence..,Confidence was emanated by my friend..,emanated,Ooze,friend,confidence,0,-44.906333923339844,-51.36046600341797,6.454132080078125
11,A,2,My friend radiated confidence..,Confidence was radiated by my friend..,radiated,Ooze,friend,confidence,0,-36.16695022583008,-47.283447265625,11.116497039794922
12,A,1,The lightbulb discharged some light..,Some light was discharged by the lightbulb..,discharged,Ooze,lightbulb,light,1,-49.01585388183594,-51.24803161621094,2.232177734375
12,A,2,The lightbulb emitted some light..,Some light was emitted by the lightbulb..,emitted,Ooze,lightbulb,light,1,-43.62805938720703,-46.0150260925293,2.3869667053222656
13,A,1,That machine emanated a sound..,A sound was emanated by that machine..,emanated,Ooze,machine,sound,0,-48.51641082763672,-52.102256774902344,3.585845947265625
13,A,2,That machine radiated a sound..,A sound was radiated by that machine..,radiated,Ooze,machine,sound,0,-41.829856872558594,-51.98793411254883,10.158077239990234
14,A,1,The teacher discharged wisdom..,Wisdom was discharged by the teacher..,discharged,Ooze,teacher,wisdom,1,-45.76031494140625,-50.702632904052734,4.942317962646484
14,A,2,The teacher emitted wisdom..,Wisdom was emitted by the teacher..,emitted,Ooze,teacher,wisdom,1,-42.99388122558594,-52.306007385253906,9.312126159667969
15,A,1,The trash emanated an odor..,An odor was emanated by the trash..,emanated,Ooze,trash,odor,0,-53.43672180175781,-51.81813049316406,-1.61859130859375
15,A,2,The trash emitted an odor..,An odor was emitted by the trash..,emitted,Ooze,trash,odor,1,-50.77782440185547,-44.23300552368164,-6.544818878173828
16,A,1,Your drawing approximated her likeness..,Her likeness was approximated by the drawing..,approximated,Estimation,drawing,likeness,1,-46.95996856689453,-50.34751892089844,3.3875503540039062
16,A,2,Your drawing mirrored her likeness..,Her likeness was mirrored by the drawing..,mirrored,Estimation,drawing,likeness,1,-42.142295837402344,-49.4307975769043,7.288501739501953
17,A,1,Your friend matched my brother..,My brother was matched by your friend..,matched,Estimation,friend,brother,1,-32.32035446166992,-45.4719352722168,13.151580810546875
17,A,2,Your friend resembled my brother..,My brother was resembled by your friend..,resembled,Estimation,friend,brother,0,-36.462074279785156,-50.69438552856445,14.232311248779297
18,A,1,The character approximated the author..,The author was approximated by the character..,approximated,Estimation,author,character,1,-51.65276336669922,-50.663108825683594,-0.989654541015625
18,A,2,The character mirrored the author..,The author was mirrored by the character..,mirrored,Estimation,author,character,1,-43.16960525512695,-49.35755920410156,6.187953948974609
19,A,1,Her son matched her father..,Her father was matched by her son..,matched,Estimation,son,father,1,-35.92209243774414,-37.23118591308594,1.3090934753417969
19,A,2,Her son resembled her father..,Her father was resembled by her son..,resembled,Estimation,son,father,0,-34.01679611206055,-41.85356521606445,7.836769104003906
20,A,1,The copy approximated the original..,The original was approximated by the copy..,approximated,Estimation,copy,original,1,-47.96257400512695,-51.7099609375,3.747386932373047
20,A,2,The copy resembled the original..,The original was resembled by the copy..,resembled,Estimation,copy,original,0,-37.77598571777344,-55.39463806152344,17.61865234375
21,A,1,The journey required three days..,Three days were required by the journey..,required,Duration,journey,days,1,-36.59123992919922,-47.63402557373047,11.04278564453125
22,A,2,My meeting lasted two hours..,Two hours was lasted by my meeting..,lasted,Duration,meeting,hours,0,-35.52690887451172,-63.488616943359375,27.961708068847656
22,A,1,My meeting took two hours..,Two hours was taken by my meeting..,took,Duration,meeting,hours,0,-36.06298065185547,-49.36778259277344,13.304801940917969
23,A,2,The interview required some time..,Some time was required by the interview..,required,Duration,interview,time,1,-37.924888610839844,-46.07475662231445,8.14986801147461
24,A,1,Her speech lasted seventeen minutes..,Seventeen minutes was lasted by her speech..,lasted,Duration,speech,minutes,0,-35.944698333740234,-67.05938720703125,31.114688873291016
24,A,2,Her speech took seventeen minutes..,Seventeen minutes was taken by her speech..,took,Duration,speech,minutes,0,-37.5134162902832,-56.26203155517578,18.748615264892578
25,A,1,His trek required a month..,A month was required by his trek..,required,Duration,trek,month,1,-43.493019104003906,-56.035888671875,12.542869567871094
26,A,2,My brother hit your friend..,your friend was hit by my brother..,hit,Agent-patient,my brother,your friend,1,-37.89683532714844,-38.6236572265625,0.7268218994140625
26,A,1,Your sister hit the target..,The target was hit by your sister..,hit,Agent-patient,your sister,the target,1,-31.34185028076172,-50.07486343383789,18.733013153076172
