frame_no,group,set,active,passive,verb,verb_class,subject,object,is_passivizable,active_score,passive_score,pass_drop
1,A,1,Your investment benefited the community..,The community was benefited by your investment..,benefited,Advantage,donation,communities,0,-35.239898681640625,-48.674495697021484,13.43459701538086
1,A,2,Your investment profited the community..,The community was profited by your investment..,profited,Advantage,donation,communities,0,-44.5460090637207,-50.470157623291016,5.9241485595703125
2,A,1,The exercise helped his fitness..,His fitness was helped by the exercise..,helped,Advantage,exercise,fitness,1,-41.214141845703125,-44.30147933959961,3.0873374938964844
2,A,2,The exercise strengthened his fitness..,His fitness was strengthened by the exercise..,strengthened,Advantage,exercise,fitness,1,-42.0904426574707,-43.68693542480469,1.5964927673339844
3,A,1,Our friendship benefited my life..,My life was benefited by our friendship..,benefited,Advantage,friendship,life,0,-39.460689544677734,-41.50646209716797,2.0457725524902344
3,A,2,Our friendship profited my life..,My life was profited by our friendship..,profited,Advantage,friendship,life,0,-47.91407775878906,-48.580726623535156,0.6666488647460938
4,A,1,The law helped these workers..,These workers were helped by the law..,helped,Advantage,law,workers,1,-41.88819122314453,-37.389896392822266,-4.498294830322266
4,A,2,The law strengthened these workers..,These workers were strengthened by the law..,strengthened,Advantage,law,workers,1,-43.07414627075195,-41.02947235107422,-2.0446739196777344
5,A,1,The treaty benefited both countries..,Both countries were benefited by the treaty..,benefited,Advantage,treaty,countries,0,-36.34116744995117,-41.03011703491211,4.6889495849609375
5,A,2,The treaty strengthened both countries..,Both countries were strengthened by the treaty..,strengthened,Advantage,treaty,countries,1,-40.47623062133789,-38.153587341308594,-2.322643280029297
6,A,1,Your dish cost ninety dollars..,Ninety dollars was cost by your dish..,cost,Price,dish,dollars,0,-45.69483947753906,-62.03071594238281,16.33587646484375
6,A,2,Your dish fetched ninety dollars..,Ninety dollars was fetched by your dish..,fetched,Price,dish,dollars,1,-53.66389083862305,-64.86065673828125,11.196765899658203
7,A,1,The painting earned a fortune..,A fortune was earned by the painting..,earned,Price,painting,fortune,1,-43.44143295288086,-43.47568893432617,0.0342559814453125
8,A,2,The tickets cost a lot of money..,A lot of money was cost by the tickets..,cost,Price,initiative,money,0,-32.24671936035156,-48.05037307739258,15.803653717041016
8,A,1,The tickets fetched a lot of money..,A lot of money was fetched by the tickets..,fetched,Price,initiative,money,1,-41.270606994628906,-51.66099166870117,10.390384674072266
9,A,2,Your book earned thirty dollars..,Thirty dollars was earned by your book..,earned,Price,book,dollars,1,-41.641998291015625,-46.32829666137695,4.686298370361328
10,A,1,His actions cost the medal..,The medal was cost by his actions..,cost,Price,actions,medal,0,-41.283912658691406,-49.68510818481445,8.401195526123047
10,A,2,His actions fetched the medal..,The medal was fetched by his actions..,fetched,Price,actions,medal,1,-50.438507080078125,-49.526145935058594,-0.9123611450195312
11,A,1,My friend emanated confidence..,Confidence was emanated by my friend..,emanated,Ooze,friend,confidence,0,-45.17369079589844,-46.72588348388672,1.5521926879882812
11,A,2,My friend radiated confidence..,Confidence was radiated by my friend..,radiated,Ooze,friend,confidence,0,-36.59907531738281,-42.656768798828125,6.0576934814453125
12,A,1,The lightbulb discharged some light..,Some light was discharged by the lightbulb..,discharged,Ooze,lightbulb,light,1,-48.4179801940918,-52.053497314453125,3.635517120361328
12,A,2,The lightbulb emitted some light..,Some light was emitted by the lightbulb..,emitted,Ooze,lightbulb,light,1,-42.933372497558594,-45.283409118652344,2.35003662109375
13,A,1,That machine emanated a sound..,A sound was emanated by that machine..,emanated,Ooze,machine,sound,0,-49.47184753417969,-49.2031364440918,-0.2687110900878906
13,A,2,That machine radiated a sound..,A sound was radiated by that machine..,radiated,Ooze,machine,sound,0,-43.42833709716797,-49.256935119628906,5.8285980224609375
14,A,1,The teacher discharged wisdom..,Wisdom was discharged by the teacher..,discharged,Ooze,teacher,wisdom,1,-47.22016906738281,-51.98225021362305,4.762081146240234
14,A,2,The teacher emitted wisdom..,Wisdom was emitted by the teacher..,emitted,Ooze,teacher,wisdom,1,-43.829349517822266,-55.42450714111328,11.595157623291016
15,A,1,The trash emanated an odor..,An odor was emanated by the trash..,emanated,Ooze,trash,odor,0,-54.914363861083984,-50.2952880859375,-4.619075775146484
15,A,2,The trash emitted an odor..,An odor was emitted by the trash..,emitted,Ooze,trash,odor,1,-47.125,-44.304237365722656,-2.8207626342773438
16,A,1,Your drawing approximated her likeness..,Her likeness was approximated by the drawing..,approximated,Estimation,drawing,likeness,1,-48.27330017089844,-48.94309616088867,0.6697959899902344
16,A,2,Your drawing mirrored her likeness..,Her likeness was mirrored by the drawing..,mirrored,Estimation,drawing,likeness,1,-46.4755973815918,-48.49375915527344,2.0181617736816406
17,A,1,Your friend matched my brother..,My brother was matched by your friend..,matched,Estimation,friend,brother,1,-37.49492263793945,-43.62796401977539,6.1330413818359375
17,A,2,Your friend resembled my brother..,My brother was resembled by your friend..,resembled,Estimation,friend,brother,0,-34.961273193359375,-48.434478759765625,13.47320556640625
18,A,1,The character approximated the author..,The author was approximated by the character..,approximated,Estimation,author,character,1,-43.323787689208984,-55.56687927246094,12.243091583251953
18,A,2,The character mirrored the author..,The author was mirrored by the character..,mirrored,Estimation,author,character,1,-40.47984313964844,-49.57181930541992,9.091976165771484
19,A,1,Her son matched her father..,Her father was matched by her son..,matched,Estimation,son,father,1,-36.70439529418945,-35.4072151184082,-1.29718017578125
