frame_no,group,set,active,passive,verb,verb_class,subject,object,is_passivizable,active_score,passive_score,pass_drop
1,A,1,Your investment benefited the community..,The community was benefited by your investment..,benefited,Advantage,donation,communities,0,-39.6875,-47.76887893676758,8.081378936767578
1,A,2,Your investment profited the community..,The community was profited by your investment..,profited,Advantage,donation,communities,0,-46.82699203491211,-57.730987548828125,10.903995513916016
2,A,1,The exercise helped his fitness..,His fitness was helped by the exercise..,helped,Advantage,exercise,fitness,1,-47.04595184326172,-42.80914306640625,-4.236808776855469
2,A,2,The exercise strengthened his fitness..,His fitness was strengthened by the exercise..,strengthened,Advantage,exercise,fitness,1,-45.549617767333984,-44.345672607421875,-1.2039451599121094
3,A,1,Our friendship benefited my life..,My life was benefited by our friendship..,benefited,Advantage,friendship,life,0,-36.58808135986328,-43.1530647277832,6.564983367919922
3,A,2,Our friendship profited my life..,My life was profited by our friendship..,profited,Advantage,friendship,life,0,-46.101741790771484,-51.75386047363281,5.652118682861328
4,A,1,The law helped these workers..,These workers were helped by the law..,helped,Advantage,law,workers,1,-39.962345123291016,-40.69158935546875,0.7292442321777344
4,A,2,The law strengthened these workers..,These workers were strengthened by the law..,strengthened,Advantage,law,workers,1,-48.74723434448242,-42.5511474609375,-6.196086883544922
5,A,1,The treaty benefited both countries..,Both countries were benefited by the treaty..,benefited,Advantage,treaty,countries,0,-35.56910705566406,-42.24097442626953,6.671867370605469
5,A,2,The treaty strengthened both countries..,Both countries were strengthened by the treaty..,strengthened,Advantage,treaty,countries,1,-42.262969970703125,-42.40965270996094,0.1466827392578125
6,A,1,Your dish cost ninety dollars..,Ninety dollars was cost by your dish..,cost,Price,dish,dollars,0,-52.82823181152344,-63.22538757324219,10.39715576171875
6,A,2,Your dish fetched ninety dollars..,Ninety dollars was fetched by your dish..,fetched,Price,dish,dollars,1,-55.42033386230469,-64.470703125,9.050369262695312
7,A,1,The painting earned a fortune..,A fortune was earned by the painting..,earned,Price,painting,fortune,1,-42.58892822265625,-47.12646484375,4.53753662109375
8,A,2,The tickets cost a lot of money..,A lot of money was cost by the tickets..,cost,Price,initiative,money,0,-31.698726654052734,-52.513389587402344,20.81466293334961
8,A,1,The tickets fetched a lot of money..,A lot of money was fetched by the tickets..,fetched,Price,initiative,money,1,-39.83723831176758,-53.3740348815918,13.536796569824219
9,A,2,Your book earned thirty dollars..,Thirty dollars was earned by your book..,earned,Price,book,dollars,1,-39.97269821166992,-49.61964416503906,9.64694595336914
10,A,1,His actions cost the medal..,The medal was cost by his actions..,cost,Price,actions,medal,0,-42.64836883544922,-52.79103088378906,10.142662048339844
10,A,2,His actions fetched the medal..,The medal was fetched by his actions..,fetched,Price,actions,medal,1,-49.09343338012695,-54.265350341796875,5.171916961669922
11,A,1,My friend emanated confidence..,Confidence was emanated by my friend..,emanated,Ooze,friend,confidence,0,-45.01776885986328,-50.04371643066406,5.025947570800781
11,A,2,My friend radiated confidence..,Confidence was radiated by my friend..,radiated,Ooze,friend,confidence,0,-39.35991668701172,-46.47724533081055,7.117328643798828
12,A,1,The lightbulb discharged some light..,Some light was discharged by the lightbulb..,discharged,Ooze,lightbulb,light,1,-49.950584411621094,-55.37175750732422,5.421173095703125
12,A,2,The lightbulb emitted some light..,Some light was emitted by the lightbulb..,emitted,Ooze,lightbulb,light,1,-45.02797317504883,-49.93632507324219,4.908351898193359
13,A,1,That machine emanated a sound..,A sound was emanated by that machine..,emanated,Ooze,machine,sound,0,-51.89427947998047,-54.04015350341797,2.1458740234375
13,A,2,That machine radiated a sound..,A sound was radiated by that machine..,radiated,Ooze,machine,sound,0,-47.173667907714844,-54.201663970947266,7.027996063232422
14,A,1,The teacher discharged wisdom..,Wisdom was discharged by the teacher..,discharged,Ooze,teacher,wisdom,1,-47.94559860229492,-53.463706970214844,5.518108367919922
14,A,2,The teacher emitted wisdom..,Wisdom was emitted by the teacher..,emitted,Ooze,teacher,wisdom,1,-48.046695709228516,-52.046600341796875,3.9999046325683594
15,A,1,The trash emanated an odor..,An odor was emanated by the trash..,emanated,Ooze,trash,odor,0,-58.160911560058594,-57.199119567871094,-0.9617919921875
15,A,2,The trash emitted an odor..,An odor was emitted by the trash..,emitted,Ooze,trash,odor,1,-50.01201248168945,-47.38665008544922,-2.6253623962402344
16,A,1,Your drawing approximated her likeness..,Her likeness was approximated by the drawing..,approximated,Estimation,drawing,likeness,1,-51.090171813964844,-47.2686882019043,-3.821483612060547
16,A,2,Your drawing mirrored her likeness..,Her likeness was mirrored by the drawing..,mirrored,Estimation,drawing,likeness,1,-50.244564056396484,-48.534523010253906,-1.7100410461425781
17,A,1,Your friend matched my brother..,My brother was matched by your friend..,matched,Estimation,friend,brother,1,-36.94458770751953,-46.847625732421875,9.903038024902344
17,A,2,Your friend resembled my brother..,My brother was resembled by your friend..,resembled,Estimation,friend,brother,0,-37.543697357177734,-49.18714904785156,11.643451690673828
18,A,1,The character approximated the author..,The author was approximated by the character..,approximated,Estimation,author,character,1,-46.81293487548828,-52.445228576660156,5.632293701171875
18,A,2,The character mirrored the author..,The author was mirrored by the character..,mirrored,Estimation,author,character,1,-41.783058166503906,-50.30665588378906,8.523597717285156
19,A,1,Her son matched her father..,Her father was matched by her son..,matched,Estimation,son,father,1,-39.29115676879883,-37.68464660644531,-1.6065101623535156
