frame_no,group,set,active,passive,verb,verb_class,subject,object,is_passivizable,active_score,passive_score,pass_drop
1,A,1,Your investment benefited the community..,The community was benefited by your investment..,benefited,Advantage,donation,communities,0,-36.18027877807617,-45.02598190307617,8.845703125
1,A,2,Your investment profited the community..,The community was profited by your investment..,profited,Advantage,donation,communities,0,-48.6106071472168,-49.907257080078125,1.2966499328613281
2,A,1,The exercise helped his fitness..,His fitness was helped by the exercise..,helped,Advantage,exercise,fitness,1,-43.93284606933594,-44.402015686035156,0.46916961669921875
2,A,2,The exercise strengthened his fitness..,His fitness was strengthened by the exercise..,strengthened,Advantage,exercise,fitness,1,-43.227294921875,-46.269203186035156,3.0419082641601562
3,A,1,Our friendship benefited my life..,My life was benefited by our friendship..,benefited,Advantage,friendship,life,0,-37.926292419433594,-38.963680267333984,1.0373878479003906
3,A,2,Our friendship profited my life..,My life was profited by our friendship..,profited,Advantage,friendship,life,0,-44.02145004272461,-47.40373992919922,3.3822898864746094
4,A,1,The law helped these workers..,These workers were helped by the law..,helped,Advantage,law,workers,1,-41.12952423095703,-38.199405670166016,-2.9301185607910156
4,A,2,The law strengthened these workers..,These workers were strengthened by the law..,strengthened,Advantage,law,workers,1,-49.01253890991211,-43.01601791381836,-5.99652099609375
5,A,1,The treaty benefited both countries..,Both countries were benefited by the treaty..,benefited,Advantage,treaty,countries,0,-36.120235443115234,-39.484275817871094,3.3640403747558594
5,A,2,The treaty strengthened both countries..,Both countries were strengthened by the treaty..,strengthened,Advantage,treaty,countries,1,-43.4582405090332,-37.55356979370117,-5.904670715332031
6,A,1,Your dish cost ninety dollars..,Ninety dollars was cost by your dish..,cost,Price,dish,dollars,0,-48.47889709472656,-61.778076171875,13.299179077148438
6,A,2,Your dish fetched ninety dollars..,Ninety dollars was fetched by your dish..,fetched,Price,dish,dollars,1,-51.5059928894043,-66.71952819824219,15.21353530883789
7,A,1,The painting earned a fortune..,A fortune was earned by the painting..,earned,Price,painting,fortune,1,-43.38873291015625,-42.7667236328125,-0.62200927734375
8,A,2,The tickets cost a lot of money..,A lot of money was cost by the tickets..,cost,Price,initiative,money,0,-30.659624099731445,-52.31190490722656,21.652280807495117
8,A,1,The tickets fetched a lot of money..,A lot of money was fetched by the tickets..,fetched,Price,initiative,money,1,-43.242156982421875,-52.316917419433594,9.074760437011719
9,A,2,Your book earned thirty dollars..,Thirty dollars was earned by your book..,earned,Price,book,dollars,1,-40.548954010009766,-48.611907958984375,8.06295394897461
10,A,1,His actions cost the medal..,The medal was cost by his actions..,cost,Price,actions,medal,0,-40.141597747802734,-58.25873947143555,18.117141723632812
10,A,2,His actions fetched the medal..,The medal was fetched by his actions..,fetched,Price,actions,medal,1,-49.44310760498047,-57.17424011230469,7.731132507324219
11,A,1,My friend emanated confidence..,Confidence was emanated by my friend..,emanated,Ooze,friend,confidence,0,-41.37025833129883,-46.190338134765625,4.820079803466797
11,A,2,My friend radiated confidence..,Confidence was radiated by my friend..,radiated,Ooze,friend,confidence,0,-41.18760681152344,-45.73982620239258,4.552219390869141
12,A,1,The lightbulb discharged some light..,Some light was discharged by the lightbulb..,discharged,Ooze,lightbulb,light,1,-46.870140075683594,-53.40882110595703,6.5386810302734375
12,A,2,The lightbulb emitted some light..,Some light was emitted by the lightbulb..,emitted,Ooze,lightbulb,light,1,-45.110939025878906,-47.79429626464844,2.6833572387695312
13,A,1,That machine emanated a sound..,A sound was emanated by that machine..,emanated,Ooze,machine,sound,0,-52.760955810546875,-49.84819793701172,-2.9127578735351562
13,A,2,That machine radiated a sound..,A sound was radiated by that machine..,radiated,Ooze,machine,sound,0,-51.25323486328125,-46.9440803527832,-4.309154510498047
14,A,1,The teacher discharged wisdom..,Wisdom was discharged by the teacher..,discharged,Ooze,teacher,wisdom,1,-43.776397705078125,-53.05543518066406,9.279037475585938
