active_score,passive_score,pass_drop,verb,frame
-27.833717346191406,-40.58125305175781,12.747535705566406,benefited,1
-43.109981536865234,-47.65278625488281,4.542804718017578,profited,1
-33.191890716552734,-34.3028564453125,1.1109657287597656,helped,2
-36.424034118652344,-37.563865661621094,1.13983154296875,strengthened,2
-33.41899108886719,-33.480743408203125,0.0617523193359375,benefited,3
-39.145103454589844,-42.81409454345703,3.6689910888671875,profited,3
-34.50115203857422,-29.230728149414062,-5.270423889160156,helped,4
-42.10955047607422,-31.36550521850586,-10.74404525756836,strengthened,4
-26.511043548583984,-32.5829963684082,6.071952819824219,benefited,5
-36.65230941772461,-29.128150939941406,-7.524158477783203,strengthened,5
-30.158607482910156,-37.56264114379883,7.404033660888672,helped,1
-30.33006477355957,-41.98748016357422,11.657415390014648,strengthened,1
-37.458778381347656,-37.73686218261719,0.27808380126953125,benefited,2
-44.242156982421875,-44.0264892578125,-0.215667724609375,profited,2
-32.9595947265625,-29.859027862548828,-3.100566864013672,helped,3
-31.69793701171875,-30.090946197509766,-1.6069908142089844,strengthened,3
-34.39358901977539,-33.033329010009766,-1.360260009765625,benefited,4
-40.14581298828125,-35.27198028564453,-4.873832702636719,profited,4
-32.52252960205078,-29.616886138916016,-2.9056434631347656,helped,5
-38.06496047973633,-35.91041946411133,-2.154541015625,profited,5
-38.07190704345703,-55.65304946899414,17.58114242553711,cost,6
-47.644981384277344,-56.15087127685547,8.505889892578125,fetched,6
-33.245887756347656,-33.390708923339844,0.1448211669921875,earned,7
-24.863691329956055,-46.458797454833984,21.59510612487793,cost,8
-34.65595245361328,-41.45718002319336,6.801227569580078,fetched,8
-30.462360382080078,-39.49629211425781,9.033931732177734,earned,9
-32.4290771484375,-42.61032485961914,10.18124771118164,cost,10
-41.821659088134766,-46.87373352050781,5.052074432373047,fetched,10
-42.16504669189453,-49.781776428222656,7.616729736328125,earned,6
-30.43683624267578,-43.202186584472656,12.765350341796875,cost,7
-40.0504035949707,-41.66563415527344,1.6152305603027344,fetched,7
-33.784908294677734,-33.390602111816406,-0.3943061828613281,earned,8
-28.325565338134766,-42.64677810668945,14.321212768554688,cost,9
-36.78980255126953,-46.5869026184082,9.797100067138672,fetched,9
-32.85552215576172,-35.413944244384766,2.558422088623047,earned,10
-40.51243209838867,-40.24064636230469,-0.2717857360839844,emanated,11
-31.52918243408203,-36.70676040649414,5.177577972412109,radiated,11
-45.165313720703125,-45.19982147216797,0.03450775146484375,discharged,12
-39.978511810302734,-41.075401306152344,1.0968894958496094,emitted,12
-44.695987701416016,-37.06973648071289,-7.626251220703125,emanated,13
-36.71489334106445,-42.45256423950195,5.7376708984375,radiated,13
-42.80137634277344,-44.68579864501953,1.8844223022460938,discharged,14
-38.16246032714844,-42.41434097290039,4.251880645751953,emitted,14
-46.11212921142578,-39.612117767333984,-6.500011444091797,emanated,15
-39.01374435424805,-34.32323455810547,-4.690509796142578,emitted,15
-37.38985824584961,-36.859718322753906,-0.5301399230957031,discharged,11
-38.63145446777344,-37.75511932373047,-0.8763351440429688,emitted,11
-57.48155212402344,-50.48212814331055,-6.999423980712891,emanated,12
-45.47052764892578,-49.22882843017578,3.75830078125,radiated,12
-39.384490966796875,-40.85120391845703,1.4667129516601562,discharged,13
-31.679092407226562,-34.26417922973633,2.5850868225097656,emitted,13
-32.98116683959961,-46.58283996582031,13.601673126220703,emanated,14
-35.485511779785156,-45.1358528137207,9.650341033935547,radiated,14
-40.23368453979492,-38.906036376953125,-1.3276481628417969,discharged,15
-41.02019500732422,-40.158843994140625,-0.8613510131835938,radiated,15
-45.47052764892578,-42.614654541015625,-2.8558731079101562,approximated,16
-46.35881805419922,-41.629234313964844,-4.729583740234375,mirrored,16
-32.54448699951172,-35.69440460205078,3.1499176025390625,matched,17
-30.316104888916016,-47.761661529541016,17.445556640625,resembled,17
-40.968833923339844,-47.105926513671875,6.137092590332031,approximated,18
-36.51335144042969,-38.840484619140625,2.3271331787109375,mirrored,18
-27.01348876953125,-26.741943359375,-0.27154541015625,matched,19
-22.960514068603516,-34.61894989013672,11.658435821533203,resembled,19
-43.26164245605469,-47.29402160644531,4.032379150390625,approximated,20
-31.655994415283203,-52.44702911376953,20.791034698486328,resembled,20
-38.35035705566406,-37.964019775390625,-0.3863372802734375,matched,16
-41.76423645019531,-50.22167205810547,8.457435607910156,resembled,16
-38.95841979980469,-48.09710693359375,9.138687133789062,approximated,17
-36.59297180175781,-35.681312561035156,-0.9116592407226562,mirrored,17
-35.964656829833984,-38.09080505371094,2.126148223876953,matched,18
-34.278175354003906,-44.83784866333008,10.559673309326172,resembled,18
-36.63279724121094,-36.63168716430664,-0.001110076904296875,approximated,19
-25.484603881835938,-28.71805191040039,3.233448028564453,mirrored,19
-26.35573959350586,-37.84614562988281,11.490406036376953,matched,20
-31.770456314086914,-42.47340393066406,10.702947616577148,mirrored,20
-27.76000213623047,-38.88368606567383,11.12368392944336,required,21
-24.668630599975586,-45.39072036743164,20.722089767456055,lasted,22
-24.656116485595703,-40.5434684753418,15.887351989746094,took,22
-28.59085464477539,-37.612430572509766,9.021575927734375,required,23
-27.035715103149414,-53.671775817871094,26.63606071472168,lasted,24
-28.906347274780273,-46.838172912597656,17.931825637817383,took,24
-35.88502883911133,-49.24494934082031,13.359920501708984,required,25
-21.022661209106445,-45.954559326171875,24.93189811706543,lasted,21
-20.71158790588379,-34.84798049926758,14.136392593383789,took,21
-31.701515197753906,-38.59944534301758,6.897930145263672,required,22
-22.41073989868164,-50.07426452636719,27.663524627685547,lasted,23
-22.197193145751953,-34.895851135253906,12.698657989501953,took,23
-30.413169860839844,-51.77033233642578,21.357162475585938,required,24
-26.054935455322266,-52.46554946899414,26.410614013671875,lasted,25
-28.1751708984375,-45.484622955322266,17.309452056884766,took,25
-35.45137023925781,-34.96345901489258,-0.4879112243652344,hit,26A
-27.008869171142578,-45.487831115722656,18.478961944580078,hit,26B
-31.85123062133789,-31.948564529418945,0.09733390808105469,hit,26C
-30.369356155395508,-35.89680862426758,5.52745246887207,pushed,27A
-36.148319244384766,-35.73948287963867,-0.40883636474609375,pushed,27B
-37.01659393310547,-38.423946380615234,1.4073524475097656,washed,28A
-32.814674377441406,-35.07640075683594,2.2617263793945312,washed,28B
-31.24908447265625,-40.36111068725586,9.11202621459961,washed,28C
-30.05384635925293,-33.962642669677734,3.9087963104248047,dropped,29A
-36.73934555053711,-32.9401741027832,-3.7991714477539062,dropped,29B
-33.73698425292969,-30.251449584960938,-3.48553466796875,carried,30A
-23.704181671142578,-36.08635711669922,12.38217544555664,carried,30B
-40.6753044128418,-32.182945251464844,-8.492359161376953,hit,26D
-32.53901672363281,-34.18048858642578,1.6414718627929688,hit,26E
-35.33173751831055,-39.381736755371094,4.049999237060547,pushed,27C
-31.24047088623047,-33.76711654663086,2.5266456604003906,pushed,27D
-32.68415069580078,-33.371585845947266,0.6874351501464844,pushed,27E
-31.810928344726562,-37.647830963134766,5.836902618408203,washed,28D
-31.355682373046875,-40.284244537353516,8.92856216430664,washed,28E
-31.542043685913086,-35.0510368347168,3.508993148803711,dropped,29C
-30.059616088867188,-30.288496017456055,0.2288799285888672,dropped,29D
-28.231800079345703,-37.36835861206055,9.136558532714844,dropped,29E
-32.035980224609375,-32.62831497192383,0.5923347473144531,carried,30C
-28.263134002685547,-34.41498565673828,6.151851654052734,carried,30D
-31.401119232177734,-37.57371139526367,6.1725921630859375,carried,30E
-27.242544174194336,-33.65670394897461,6.414159774780273,saw,31C
-29.00739097595215,-38.92659378051758,9.91920280456543,saw,31A
-28.240631103515625,-40.094451904296875,11.85382080078125,saw,31B
-27.048776626586914,-30.466705322265625,3.417928695678711,heard,32A
-37.41133499145508,-37.939666748046875,0.5283317565917969,heard,32B
-30.034643173217773,-33.16636276245117,3.1317195892333984,knew,33A
-28.213390350341797,-39.40119934082031,11.187808990478516,knew,33B
-26.145957946777344,-36.06168746948242,9.915729522705078,knew,33C
-30.77425193786621,-33.25297546386719,2.4787235260009766,liked,34A
-35.0361213684082,-38.59406661987305,3.5579452514648438,liked,34B
-32.37613296508789,-33.06859588623047,0.6924629211425781,remembered,35A
-35.55156707763672,-41.349205017089844,5.797637939453125,remembered,35B
-33.64267349243164,-42.48162078857422,8.838947296142578,remembered,35C
-32.868289947509766,-32.48799133300781,-0.3802986145019531,saw,31D
-32.378761291503906,-36.27425003051758,3.895488739013672,saw,31E
-31.13274383544922,-36.8527717590332,5.720027923583984,heard,32C
-29.711162567138672,-44.97493362426758,15.263771057128906,heard,32D
-31.896602630615234,-45.351173400878906,13.454570770263672,heard,32E
-29.88001823425293,-34.399139404296875,4.519121170043945,knew,33D
-31.122453689575195,-35.4581298828125,4.335676193237305,knew,33E
-31.0283203125,-33.197879791259766,2.1695594787597656,liked,34C
-29.32312774658203,-39.15044403076172,9.827316284179688,liked,34D
-27.9193115234375,-38.32707977294922,10.407768249511719,liked,34E
-29.191654205322266,-35.59205627441406,6.400402069091797,remembered,35D
-37.30937957763672,-39.65021514892578,2.3408355712890625,remembered,35E
