active_score,passive_score,pass_drop,verb,frame
-27.868532180786133,-39.386497497558594,11.517965316772461,benefited,1
-34.19628143310547,-41.29052734375,7.094245910644531,profited,1
-29.72071075439453,-32.00439453125,2.2836837768554688,helped,2
-33.93433380126953,-33.56345748901367,-0.3708763122558594,strengthened,2
-28.899513244628906,-34.452659606933594,5.5531463623046875,benefited,3
-29.884090423583984,-38.58079528808594,8.696704864501953,profited,3
-31.890670776367188,-29.74256706237793,-2.148103713989258,helped,4
-36.496849060058594,-33.71050262451172,-2.786346435546875,strengthened,4
-29.476760864257812,-34.07630157470703,4.599540710449219,benefited,5
-34.757347106933594,-31.8346004486084,-2.9227466583251953,strengthened,5
-28.334840774536133,-35.60771942138672,7.272878646850586,helped,1
-30.61980628967285,-38.25695037841797,7.637144088745117,strengthened,1
-34.014060974121094,-35.373653411865234,1.3595924377441406,benefited,2
-40.839778900146484,-38.730613708496094,-2.1091651916503906,profited,2
-27.475486755371094,-29.30696678161621,1.8314800262451172,helped,3
-27.181320190429688,-30.073759078979492,2.8924388885498047,strengthened,3
-34.29383850097656,-33.224205017089844,-1.0696334838867188,benefited,4
-42.26507568359375,-33.936370849609375,-8.328704833984375,profited,4
-32.49784851074219,-31.37982749938965,-1.118021011352539,helped,5
-35.52589797973633,-36.97357177734375,1.4476737976074219,profited,5
-34.223976135253906,-52.85502243041992,18.631046295166016,cost,6
-38.61488342285156,-55.4047966003418,16.789913177490234,fetched,6
-34.44542694091797,-35.58482360839844,1.1393966674804688,earned,7
-24.653400421142578,-42.18035125732422,17.52695083618164,cost,8
-31.948715209960938,-44.270416259765625,12.321701049804688,fetched,8
-31.94611930847168,-37.779624938964844,5.833505630493164,earned,9
-30.2126407623291,-42.10862731933594,11.895986557006836,cost,10
-35.91919708251953,-42.75669860839844,6.837501525878906,fetched,10
-39.34051513671875,-48.12215042114258,8.781635284423828,earned,6
-26.952796936035156,-41.4334716796875,14.480674743652344,cost,7
-31.315689086914062,-42.79694366455078,11.481254577636719,fetched,7
-31.79210662841797,-37.64567565917969,5.853569030761719,earned,8
-28.39215660095215,-42.53440856933594,14.142251968383789,cost,9
-34.70240020751953,-45.04650115966797,10.344100952148438,fetched,9
-28.654664993286133,-34.21757507324219,5.562910079956055,earned,10
-31.972673416137695,-43.43483352661133,11.462160110473633,emanated,11
-29.735639572143555,-39.8529167175293,10.117277145385742,radiated,11
-35.428123474121094,-37.06102752685547,1.632904052734375,discharged,12
-32.79570007324219,-33.481346130371094,0.6856460571289062,emitted,12
-35.0548095703125,-41.343875885009766,6.289066314697266,emanated,13
-34.13924026489258,-41.79451370239258,7.6552734375,radiated,13
-39.4190673828125,-40.678428649902344,1.2593612670898438,discharged,14
-36.77479553222656,-39.34397888183594,2.569183349609375,emitted,14
-36.127197265625,-41.700897216796875,5.573699951171875,emanated,15
-34.76165008544922,-33.190589904785156,-1.5710601806640625,emitted,15
-37.4281005859375,-39.62044143676758,2.192340850830078,discharged,11
-33.595069885253906,-39.73598861694336,6.140918731689453,emitted,11
-35.174171447753906,-42.58232879638672,7.4081573486328125,emanated,12
-35.99772644042969,-37.84310531616211,1.8453788757324219,radiated,12
-38.529605865478516,-40.552852630615234,2.0232467651367188,discharged,13
-31.28396987915039,-34.70940017700195,3.4254302978515625,emitted,13
-34.979698181152344,-40.92091369628906,5.941215515136719,emanated,14
-32.74781036376953,-39.80780792236328,7.05999755859375,radiated,14
-37.82489776611328,-39.4952392578125,1.6703414916992188,discharged,15
-35.17504119873047,-39.86358642578125,4.688545227050781,radiated,15
-40.68492126464844,-38.061485290527344,-2.6234359741210938,approximated,16
-39.910919189453125,-35.936256408691406,-3.9746627807617188,mirrored,16
-34.84049987792969,-37.055442810058594,2.2149429321289062,matched,17
-31.475473403930664,-43.788597106933594,12.31312370300293,resembled,17
-36.89039611816406,-44.53572082519531,7.64532470703125,approximated,18
-33.4654655456543,-41.30169677734375,7.836231231689453,mirrored,18
-31.80236053466797,-34.75666046142578,2.9542999267578125,matched,19
-28.072532653808594,-39.6136474609375,11.541114807128906,resembled,19
-32.55583572387695,-45.80176544189453,13.245929718017578,approximated,20
-29.034324645996094,-47.718284606933594,18.6839599609375,resembled,20
-34.623497009277344,-34.41212463378906,-0.21137237548828125,matched,16
-36.36436462402344,-40.461181640625,4.0968170166015625,resembled,16
-40.09941864013672,-44.621490478515625,4.522071838378906,approximated,17
-34.5679931640625,-40.83802795410156,6.2700347900390625,mirrored,17
-31.353328704833984,-40.55615234375,9.202823638916016,matched,18
-30.528919219970703,-40.42304992675781,9.89413070678711,resembled,18
-36.090415954589844,-40.66626739501953,4.5758514404296875,approximated,19
-31.394065856933594,-35.929115295410156,4.5350494384765625,mirrored,19
-25.113391876220703,-39.803871154785156,14.690479278564453,matched,20
-26.473186492919922,-39.75605773925781,13.28287124633789,mirrored,20
-25.340534210205078,-38.03451156616211,12.693977355957031,required,21
-22.135784149169922,-46.35031509399414,24.21453094482422,lasted,22
-23.284061431884766,-43.80693435668945,20.522872924804688,took,22
-27.66246795654297,-33.07440948486328,5.4119415283203125,required,23
-26.534944534301758,-49.614402770996094,23.079458236694336,lasted,24
-27.611330032348633,-46.90381622314453,19.2924861907959,took,24
-33.46460723876953,-47.730751037597656,14.266143798828125,required,25
-24.535594940185547,-38.8033332824707,14.267738342285156,lasted,21
-19.953853607177734,-35.75117874145508,15.797325134277344,took,21
-27.62686538696289,-43.54917526245117,15.922309875488281,required,22
-23.355674743652344,-39.08301544189453,15.727340698242188,lasted,23
-23.33905029296875,-33.078529357910156,9.739479064941406,took,23
-34.50270080566406,-47.12394714355469,12.621246337890625,required,24
-29.64287757873535,-47.979881286621094,18.337003707885742,lasted,25
-28.408029556274414,-43.58876037597656,15.180730819702148,took,25
-30.663734436035156,-34.16202926635742,3.4982948303222656,hit,26
-27.247175216674805,-37.82636260986328,10.579187393188477,hit,26
-28.53387451171875,-31.094207763671875,2.560333251953125,hit,26
-30.76288604736328,-34.725486755371094,3.9626007080078125,pushed,27
-35.57392883300781,-35.08158874511719,-0.492340087890625,pushed,27
-33.499717712402344,-36.08688735961914,2.587169647216797,washed,28
-32.562740325927734,-32.872589111328125,0.3098487854003906,washed,28
-30.851181030273438,-35.717777252197266,4.866596221923828,washed,28
-29.625648498535156,-31.31266212463379,1.6870136260986328,dropped,29
-33.935970306396484,-34.844337463378906,0.9083671569824219,dropped,29
-30.419845581054688,-30.95991325378418,0.5400676727294922,carried,30
-24.495080947875977,-33.631587982177734,9.136507034301758,carried,30
-31.29084014892578,-32.438140869140625,1.1473007202148438,hit,26
