active_score,passive_score,pass_drop,verb,frame
-38.665321350097656,-43.2982177734375,4.632896423339844,benefited,1
-41.390499114990234,-45.02467727661133,3.6341781616210938,profited,1
-32.454566955566406,-33.40201950073242,0.9474525451660156,helped,2
-35.96638107299805,-37.98360824584961,2.0172271728515625,strengthened,2
-30.324447631835938,-33.37875747680664,3.054309844970703,benefited,3
-33.874000549316406,-40.686378479003906,6.8123779296875,profited,3
-34.10660171508789,-30.37362289428711,-3.7329788208007812,helped,4
-42.40416717529297,-34.64387130737305,-7.760295867919922,strengthened,4
-27.628650665283203,-30.189939498901367,2.561288833618164,benefited,5
-36.301673889160156,-28.0234375,-8.278236389160156,strengthened,5
-32.517555236816406,-38.26753616333008,5.749980926513672,helped,1
-36.51191329956055,-42.908546447753906,6.396633148193359,strengthened,1
-40.27300262451172,-37.73119354248047,-2.54180908203125,benefited,2
-47.066349029541016,-43.80009460449219,-3.266254425048828,profited,2
-28.994707107543945,-29.189834594726562,0.1951274871826172,helped,3
-29.312053680419922,-33.72003173828125,4.407978057861328,strengthened,3
-33.267818450927734,-33.7305793762207,0.46276092529296875,benefited,4
-36.58814239501953,-37.14337921142578,0.55523681640625,profited,4
-31.480274200439453,-27.33974266052246,-4.140531539916992,helped,5
-33.027137756347656,-35.1033935546875,2.0762557983398438,profited,5
-41.25926208496094,-55.088958740234375,13.829696655273438,cost,6
-51.776580810546875,-56.42420196533203,4.647621154785156,fetched,6
-38.40715408325195,-33.84282684326172,-4.564327239990234,earned,7
-23.824533462524414,-44.863365173339844,21.03883171081543,cost,8
-36.65387725830078,-44.83824920654297,8.184371948242188,fetched,8
-34.8393440246582,-34.750877380371094,-0.08846664428710938,earned,9
-31.03448486328125,-45.605247497558594,14.570762634277344,cost,10
-38.49903106689453,-49.86113739013672,11.362106323242188,fetched,10
-45.45154571533203,-48.55479049682617,3.1032447814941406,earned,6
-30.287429809570312,-45.61902618408203,15.331596374511719,cost,7
-36.46429443359375,-46.006229400634766,9.541934967041016,fetched,7
-33.919273376464844,-33.932861328125,0.01358795166015625,earned,8
-29.47843360900879,-37.3004150390625,7.821981430053711,cost,9
-44.20789337158203,-41.786075592041016,-2.4218177795410156,fetched,9
-30.618810653686523,-36.836875915527344,6.21806526184082,earned,10
-36.98127746582031,-41.61590576171875,4.6346282958984375,emanated,11
-33.05073547363281,-40.478126525878906,7.427391052246094,radiated,11
-44.50783157348633,-40.672489166259766,-3.8353424072265625,discharged,12
-40.474884033203125,-35.41625213623047,-5.058631896972656,emitted,12
-35.101539611816406,-42.03023147583008,6.928691864013672,emanated,13
-35.93408966064453,-40.201255798339844,4.2671661376953125,radiated,13
-37.06907272338867,-43.60567855834961,6.5366058349609375,discharged,14
-42.07399368286133,-44.75966262817383,2.6856689453125,emitted,14
-44.84809112548828,-44.53375244140625,-0.31433868408203125,emanated,15
-39.04374694824219,-35.20240783691406,-3.841339111328125,emitted,15
-37.76305389404297,-37.12226104736328,-0.6407928466796875,discharged,11
-38.85960388183594,-40.52715301513672,1.6675491333007812,emitted,11
-47.58366012573242,-48.19187927246094,0.6082191467285156,emanated,12
-39.04390335083008,-38.18413162231445,-0.859771728515625,radiated,12
-38.85862350463867,-40.760223388671875,1.9015998840332031,discharged,13
-30.58819007873535,-35.0841178894043,4.495927810668945,emitted,13
-37.87237548828125,-47.1369743347168,9.264598846435547,emanated,14
-40.416133880615234,-46.01987838745117,5.6037445068359375,radiated,14
-42.44575881958008,-41.240478515625,-1.2052803039550781,discharged,15
-47.65258026123047,-41.393157958984375,-6.259422302246094,radiated,15
-49.78810501098633,-42.686405181884766,-7.1016998291015625,approximated,16
-41.67439270019531,-41.310340881347656,-0.36405181884765625,mirrored,16
-28.690834045410156,-41.21542739868164,12.524593353271484,matched,17
-31.554126739501953,-45.786865234375,14.232738494873047,resembled,17
-38.0964469909668,-44.8551025390625,6.758655548095703,approximated,18
-35.93878173828125,-40.915138244628906,4.976356506347656,mirrored,18
-28.210111618041992,-31.69098663330078,3.480875015258789,matched,19
-27.47091293334961,-41.68760299682617,14.216690063476562,resembled,19
-40.608890533447266,-45.46271514892578,4.853824615478516,approximated,20
-32.08950424194336,-46.0663948059082,13.976890563964844,resembled,20
-38.448341369628906,-38.78956985473633,0.3412284851074219,matched,16
-41.86565399169922,-49.87116241455078,8.005508422851562,resembled,16
-34.217071533203125,-43.52442169189453,9.307350158691406,approximated,17
-33.7665901184082,-42.71442413330078,8.947834014892578,mirrored,17
-33.495445251464844,-39.60306167602539,6.107616424560547,matched,18
-32.98976516723633,-45.21211242675781,12.222347259521484,resembled,18
-33.25074005126953,-34.090999603271484,0.8402595520019531,approximated,19
-30.287630081176758,-35.832786560058594,5.545156478881836,mirrored,19
-28.405582427978516,-39.11015319824219,10.704570770263672,matched,20
-31.429828643798828,-35.97395706176758,4.54412841796875,mirrored,20
-26.916019439697266,-36.67794418334961,9.761924743652344,required,21
-27.485454559326172,-47.1051139831543,19.619659423828125,lasted,22
-27.36083984375,-37.20252990722656,9.841690063476562,took,22
-29.59857940673828,-39.1674690246582,9.568889617919922,required,23
-27.417041778564453,-52.45893478393555,25.041893005371094,lasted,24
-27.037616729736328,-45.374061584472656,18.336444854736328,took,24
-31.78924560546875,-54.479671478271484,22.690425872802734,required,25
-19.52157974243164,-40.291011810302734,20.769432067871094,lasted,21
-19.18026351928711,-32.59331512451172,13.41305160522461,took,21
-32.77006530761719,-38.83509826660156,6.065032958984375,required,22
-21.564250946044922,-46.72350311279297,25.159252166748047,lasted,23
-23.158771514892578,-33.13827133178711,9.979499816894531,took,23
-27.367454528808594,-47.820003509521484,20.45254898071289,required,24
-25.62552833557129,-57.77086639404297,32.14533996582031,lasted,25
-26.270870208740234,-50.23236846923828,23.961498260498047,took,25
-33.36383819580078,-37.63232421875,4.268486022949219,hit,26A
-25.71270751953125,-46.21198654174805,20.499279022216797,hit,26B
-25.938953399658203,-35.25472640991211,9.315773010253906,hit,26C
-33.17753601074219,-33.61043167114258,0.4328956604003906,pushed,27A
-38.51167678833008,-36.16901397705078,-2.342662811279297,pushed,27B
-34.005592346191406,-33.17385482788086,-0.8317375183105469,washed,28A
-33.96470642089844,-31.443634033203125,-2.5210723876953125,washed,28B
-38.785797119140625,-42.391441345214844,3.6056442260742188,washed,28C
-30.564716339111328,-34.01274108886719,3.4480247497558594,dropped,29A
-39.86865234375,-37.132564544677734,-2.7360877990722656,dropped,29B
-35.504024505615234,-29.964923858642578,-5.539100646972656,carried,30A
-26.533374786376953,-33.41011047363281,6.876735687255859,carried,30B
-32.85188674926758,-36.26702880859375,3.415142059326172,hit,26D
-33.23033905029297,-38.19283676147461,4.962497711181641,hit,26E
-34.64577865600586,-34.24427032470703,-0.4015083312988281,pushed,27C
-32.5579719543457,-32.13774490356445,-0.42022705078125,pushed,27D
-29.915037155151367,-32.72745895385742,2.8124217987060547,pushed,27E
-32.718711853027344,-36.55235290527344,3.8336410522460938,washed,28D
-35.413787841796875,-38.81598663330078,3.4021987915039062,washed,28E
-35.10737228393555,-33.76842498779297,-1.3389472961425781,dropped,29C
-33.18574142456055,-31.165212631225586,-2.020528793334961,dropped,29D
-26.833303451538086,-40.20277404785156,13.369470596313477,dropped,29E
-34.89087677001953,-34.74211120605469,-0.14876556396484375,carried,30C
-30.25867462158203,-34.27566146850586,4.016986846923828,carried,30D
-31.062179565429688,-37.51649475097656,6.454315185546875,carried,30E
-26.5720157623291,-32.72795104980469,6.155935287475586,saw,31C
-30.594266891479492,-40.69824981689453,10.103982925415039,saw,31A
-27.53495979309082,-40.4592170715332,12.924257278442383,saw,31B
-25.518280029296875,-30.205835342407227,4.687555313110352,heard,32A
-32.818397521972656,-39.98222351074219,7.163825988769531,heard,32B
-30.098175048828125,-32.345741271972656,2.2475662231445312,knew,33A
-31.28891372680664,-38.762664794921875,7.473751068115234,knew,33B
-25.732980728149414,-35.410430908203125,9.677450180053711,knew,33C
-29.230222702026367,-35.555049896240234,6.324827194213867,liked,34A
-31.455055236816406,-37.94453430175781,6.489479064941406,liked,34B
-30.854602813720703,-34.018577575683594,3.1639747619628906,remembered,35A
-41.31857681274414,-42.95322799682617,1.6346511840820312,remembered,35B
-31.22003173828125,-44.611236572265625,13.391204833984375,remembered,35C
-32.78083801269531,-34.19727325439453,1.4164352416992188,saw,31D
-30.385536193847656,-35.159912109375,4.774375915527344,saw,31E
-29.97107696533203,-32.40093231201172,2.4298553466796875,heard,32C
-32.05093002319336,-43.98575210571289,11.934822082519531,heard,32D
-31.267288208007812,-43.04109573364258,11.773807525634766,heard,32E
-28.352230072021484,-32.79884338378906,4.446613311767578,knew,33D
-30.36275863647461,-34.002506256103516,3.6397476196289062,knew,33E
-29.687549591064453,-32.630882263183594,2.9433326721191406,liked,34C
-33.34125900268555,-40.11227798461914,6.771018981933594,liked,34D
-28.746166229248047,-40.16492462158203,11.418758392333984,liked,34E
-30.03885269165039,-34.215911865234375,4.177059173583984,remembered,35D
-34.211143493652344,-40.25205993652344,6.040916442871094,remembered,35E
