active_score,passive_score,pass_drop,verb,frame
-28.03630828857422,-41.77796936035156,13.741661071777344,benefited,1
-41.165409088134766,-49.796958923339844,8.631549835205078,profited,1
-33.12030792236328,-33.63139343261719,0.5110855102539062,helped,2
-33.929649353027344,-33.77218246459961,-0.15746688842773438,strengthened,2
-28.358625411987305,-31.56365966796875,3.2050342559814453,benefited,3
-36.45500564575195,-42.61829376220703,6.163288116455078,profited,3
-34.73771286010742,-28.90650177001953,-5.831211090087891,helped,4
-39.933414459228516,-33.284950256347656,-6.648464202880859,strengthened,4
-26.67086410522461,-27.898616790771484,1.227752685546875,benefited,5
-33.18034362792969,-26.094152450561523,-7.086191177368164,strengthened,5
-28.724483489990234,-38.379764556884766,9.655281066894531,helped,1
-30.14352035522461,-42.609535217285156,12.466014862060547,strengthened,1
-36.44084167480469,-35.350791931152344,-1.0900497436523438,benefited,2
-44.81330108642578,-41.39912414550781,-3.4141769409179688,profited,2
-26.686443328857422,-29.84369659423828,3.1572532653808594,helped,3
-28.857398986816406,-30.703554153442383,1.8461551666259766,strengthened,3
-32.942359924316406,-31.18828582763672,-1.7540740966796875,benefited,4
-42.916099548339844,-36.4153938293457,-6.500705718994141,profited,4
-31.219144821166992,-26.230714797973633,-4.988430023193359,helped,5
-38.61777114868164,-32.4897575378418,-6.128013610839844,profited,5
-34.66223907470703,-55.79715347290039,21.13491439819336,cost,6
-47.823097229003906,-55.78343200683594,7.960334777832031,fetched,6
-35.8174934387207,-36.30448913574219,0.4869956970214844,earned,7
-22.77327537536621,-40.360469818115234,17.587194442749023,cost,8
-34.28517150878906,-41.532615661621094,7.247444152832031,fetched,8
-30.497398376464844,-38.65044403076172,8.153045654296875,earned,9
-28.290985107421875,-45.171810150146484,16.88082504272461,cost,10
-37.03786087036133,-44.35778045654297,7.319919586181641,fetched,10
-39.86817932128906,-50.167030334472656,10.298851013183594,earned,6
-28.427989959716797,-43.25856018066406,14.830570220947266,cost,7
-37.53635787963867,-43.30962371826172,5.773265838623047,fetched,7
-32.330352783203125,-34.766998291015625,2.4366455078125,earned,8
-28.240388870239258,-44.814456939697266,16.574068069458008,cost,9
-37.71302795410156,-44.02375793457031,6.31072998046875,fetched,9
-27.505247116088867,-35.97828674316406,8.473039627075195,earned,10
-39.67210388183594,-37.64883804321289,-2.023265838623047,emanated,11
-30.19898223876953,-34.719520568847656,4.520538330078125,radiated,11
-38.60096740722656,-43.154083251953125,4.5531158447265625,discharged,12
-35.681793212890625,-38.50479507446289,2.8230018615722656,emitted,12
-43.33110427856445,-44.056976318359375,0.7258720397949219,emanated,13
-35.925601959228516,-41.72845458984375,5.802852630615234,radiated,13
-40.91567611694336,-37.70939636230469,-3.206279754638672,discharged,14
-36.591182708740234,-40.42372131347656,3.832538604736328,emitted,14
-48.18352508544922,-43.86252975463867,-4.320995330810547,emanated,15
