active_score,passive_score,pass_drop,verb,frame
-6.0508222579956055,-5.986342906951904,-0.06447935104370117,benefited,1
-6.629293918609619,-5.756394386291504,-0.8728995323181152,profited,1
-6.144562721252441,-4.762406826019287,-1.3821558952331543,helped,2
-6.7336931228637695,-5.2740583419799805,-1.459634780883789,strengthened,2
-5.664801597595215,-4.735282897949219,-0.9295186996459961,benefited,3
-5.861406326293945,-5.239993095397949,-0.6214132308959961,profited,3
-6.9061384201049805,-4.237425327301025,-2.668713092803955,helped,4
-8.170877456665039,-4.714856147766113,-3.456021308898926,strengthened,4
-5.675448417663574,-4.226644039154053,-1.4488043785095215,benefited,5
-7.306143283843994,-4.161410808563232,-3.1447324752807617,strengthened,5
-5.781045913696289,-5.37114953994751,-0.4098963737487793,helped,1
-6.188420295715332,-6.038956165313721,-0.14946413040161133,strengthened,1
-7.329190254211426,-5.308422565460205,-2.0207676887512207,benefited,2
-8.046974182128906,-5.485837936401367,-2.561136245727539,profited,2
-5.449039936065674,-4.3562493324279785,-1.0927906036376953,helped,3
-5.774137020111084,-4.685238361358643,-1.0888986587524414,strengthened,3
-7.0508928298950195,-4.6931376457214355,-2.357755184173584,benefited,4
-7.070884704589844,-4.3775739669799805,-2.6933107376098633,profited,4
-6.365875720977783,-3.8318982124328613,-2.533977508544922,helped,5
-6.761434078216553,-4.234021186828613,-2.5274128913879395,profited,5
-8.67721939086914,-7.2439470291137695,-1.433272361755371,cost,6
-9.062594413757324,-6.416155815124512,-2.6464385986328125,fetched,6
-6.886958122253418,-4.880677700042725,-2.0062804222106934,earned,7
-3.5293667316436768,-4.463944911956787,0.9345781803131104,cost,8
-4.353030681610107,-3.9837582111358643,-0.36927247047424316,fetched,8
-7.025930881500244,-5.625433444976807,-1.4004974365234375,earned,9
-6.456633567810059,-6.628288269042969,0.17165470123291016,cost,10
-6.496798992156982,-5.972494125366211,-0.5243048667907715,fetched,10
-8.379918098449707,-6.574740886688232,-1.8051772117614746,earned,6
-5.923997402191162,-6.078841209411621,0.15484380722045898,cost,7
-6.288328170776367,-5.256546974182129,-1.0317811965942383,fetched,7
-4.866827964782715,-3.657167673110962,-1.209660291671753,earned,8
-6.247809410095215,-6.5162529945373535,0.26844358444213867,cost,9
-6.997709274291992,-5.984864234924316,-1.0128450393676758,fetched,9
-6.623356819152832,-5.3937907218933105,-1.2295660972595215,earned,10
-6.940400123596191,-4.868305206298828,-2.0720949172973633,emanated,11
-6.211826324462891,-4.461746692657471,-1.75007963180542,radiated,11
-5.0808024406433105,-5.785618305206299,0.7048158645629883,discharged,12
