active_score,passive_score,pass_drop,verb,frame
-6.421531677246094,-6.002555847167969,-0.418975830078125,benefited,1
-6.483928203582764,-5.634410381317139,-0.849517822265625,profited,1
-6.805310249328613,-4.815823078155518,-1.9894871711730957,helped,2
-6.804743766784668,-4.766161918640137,-2.0385818481445312,strengthened,2
-6.150441646575928,-5.193335056304932,-0.9571065902709961,benefited,3
-5.7213969230651855,-4.833158493041992,-0.8882384300231934,profited,3
-6.7042412757873535,-4.514949798583984,-2.189291477203369,helped,4
-7.616237640380859,-4.813864231109619,-2.8023734092712402,strengthened,4
-6.721133232116699,-4.885470390319824,-1.835662841796875,benefited,5
-6.519352912902832,-4.446534156799316,-2.0728187561035156,strengthened,5
-6.000500679016113,-5.664764881134033,-0.3357357978820801,helped,1
-6.660437107086182,-6.101067066192627,-0.5593700408935547,strengthened,1
-7.352686882019043,-5.227773189544678,-2.1249136924743652,benefited,2
-6.966781139373779,-4.8783674240112305,-2.088413715362549,profited,2
-5.440232276916504,-4.744356632232666,-0.6958756446838379,helped,3
-5.718811988830566,-4.863953113555908,-0.8548588752746582,strengthened,3
-7.267852783203125,-4.863915920257568,-2.4039368629455566,benefited,4
-6.6049885749816895,-4.164403915405273,-2.440584659576416,profited,4
-6.668588161468506,-4.52101993560791,-2.1475682258605957,helped,5
-6.271851062774658,-4.351728916168213,-1.9201221466064453,profited,5
-7.6435227394104,-6.988637924194336,-0.6548848152160645,cost,6
-7.559349536895752,-6.381383895874023,-1.1779656410217285,fetched,6
-6.054890155792236,-5.365559101104736,-0.6893310546875,earned,7
-3.6115362644195557,-4.222699165344238,0.6111629009246826,cost,8
-4.801493167877197,-3.946864366531372,-0.8546288013458252,fetched,8
-5.7630438804626465,-5.765505790710449,0.0024619102478027344,earned,9
-6.243076324462891,-6.583312034606934,0.34023571014404297,cost,10
-5.803843021392822,-5.452211380004883,-0.35163164138793945,fetched,10
-7.688085079193115,-6.815371036529541,-0.8727140426635742,earned,6
-6.7615838050842285,-6.025150775909424,-0.7364330291748047,cost,7
-6.514533996582031,-5.160144329071045,-1.3543896675109863,fetched,7
-4.411805152893066,-3.7826199531555176,-0.6291851997375488,earned,8
-5.673391819000244,-6.2332916259765625,0.5598998069763184,cost,9
-6.427793979644775,-5.652103424072266,-0.7756905555725098,fetched,9
-5.787274360656738,-5.785001277923584,-0.002273082733154297,earned,10
-7.039141654968262,-5.391416549682617,-1.6477251052856445,emanated,11
-6.6749162673950195,-5.329051494598389,-1.3458647727966309,radiated,11
-6.443428039550781,-5.092892169952393,-1.3505358695983887,discharged,12
-5.431271553039551,-3.9854202270507812,-1.4458513259887695,emitted,12
-6.826280117034912,-5.763814926147461,-1.0624651908874512,emanated,13
-6.377424240112305,-5.560990333557129,-0.8164339065551758,radiated,13
-9.609280586242676,-6.326894283294678,-3.282386302947998,discharged,14
-9.212735176086426,-6.584285736083984,-2.6284494400024414,emitted,14
-7.467343807220459,-5.188237190246582,-2.279106616973877,emanated,15
-7.705937385559082,-5.060597896575928,-2.6453394889831543,emitted,15
-9.011219024658203,-5.8925299644470215,-3.1186890602111816,discharged,11
-8.344446182250977,-6.039714813232422,-2.3047313690185547,emitted,11
-5.654970169067383,-4.2486677169799805,-1.4063024520874023,emanated,12
-5.618472576141357,-4.155645847320557,-1.4628267288208008,radiated,12
-7.789283752441406,-6.367329120635986,-1.42195463180542,discharged,13
-6.840985298156738,-5.652201175689697,-1.188784122467041,emitted,13
-7.902638912200928,-5.9105682373046875,-1.9920706748962402,emanated,14
-7.226426601409912,-5.937081813812256,-1.2893447875976562,radiated,14
-8.93601131439209,-5.671103477478027,-3.2649078369140625,discharged,15
-7.639394283294678,-5.016343593597412,-2.6230506896972656,radiated,15
-7.702749729156494,-4.933090686798096,-2.7696590423583984,approximated,16
-7.969187259674072,-5.127722263336182,-2.8414649963378906,mirrored,16
-6.204969882965088,-5.203751564025879,-1.001218318939209,matched,17
-6.129788398742676,-5.635643005371094,-0.49414539337158203,resembled,17
-5.93554162979126,-4.904851913452148,-1.0306897163391113,approximated,18
-6.715714454650879,-4.938129901885986,-1.7775845527648926,mirrored,18
