active_score,passive_score,pass_drop,verb,frame
-5.665755271911621,-5.769595623016357,0.10384035110473633,benefited,1
-6.786189556121826,-5.90132474899292,-0.8848648071289062,profited,1
-6.06320858001709,-4.9398345947265625,-1.1233739852905273,helped,2
-6.040339946746826,-5.34059476852417,-0.6997451782226562,strengthened,2
-5.691188812255859,-4.825209617614746,-0.8659791946411133,benefited,3
-5.990870952606201,-5.328509330749512,-0.6623616218566895,profited,3
-6.557863712310791,-4.115484714508057,-2.4423789978027344,helped,4
-8.026251792907715,-4.800261974334717,-3.225989818572998,strengthened,4
-5.792012691497803,-4.528952598571777,-1.2630600929260254,benefited,5
-6.963862419128418,-4.196953773498535,-2.766908645629883,strengthened,5
-6.1061553955078125,-5.245002746582031,-0.8611526489257812,helped,1
-5.958326816558838,-5.926127910614014,-0.03219890594482422,strengthened,1
-7.047690391540527,-5.176501274108887,-1.8711891174316406,benefited,2
-6.9568705558776855,-5.278738021850586,-1.6781325340270996,profited,2
-5.358806610107422,-4.294471263885498,-1.0643353462219238,helped,3
-6.162346839904785,-4.538894176483154,-1.6234526634216309,strengthened,3
-6.308673858642578,-4.3240485191345215,-1.9846253395080566,benefited,4
-6.754391193389893,-4.196383953094482,-2.55800724029541,profited,4
-7.031980991363525,-4.115417957305908,-2.916563034057617,helped,5
-6.301489353179932,-4.19086217880249,-2.1106271743774414,profited,5
-7.858516693115234,-7.258135795593262,-0.6003808975219727,cost,6
-7.801553249359131,-5.95352840423584,-1.848024845123291,fetched,6
-6.920175075531006,-4.802919864654541,-2.117255210876465,earned,7
-3.7019004821777344,-4.729234218597412,1.0273337364196777,cost,8
-4.502949237823486,-3.9025330543518066,-0.6004161834716797,fetched,8
-6.405433654785156,-5.04771089553833,-1.3577227592468262,earned,9
-6.4223952293396,-5.79538631439209,-0.6270089149475098,cost,10
-6.516538143157959,-5.16876745223999,-1.3477706909179688,fetched,10
-8.497998237609863,-6.033839702606201,-2.464158535003662,earned,6
-5.875321388244629,-6.078774929046631,0.20345354080200195,cost,7
-6.102026462554932,-5.054004669189453,-1.0480217933654785,fetched,7
-4.843743801116943,-3.8270628452301025,-1.0166809558868408,earned,8
-6.379819393157959,-6.208770275115967,-0.1710491180419922,cost,9
-6.1346659660339355,-4.955957889556885,-1.1787080764770508,fetched,9
-6.508544921875,-4.762312412261963,-1.746232509613037,earned,10
-6.894837856292725,-4.981417655944824,-1.9134202003479004,emanated,11
-6.262765884399414,-4.747103691101074,-1.5156621932983398,radiated,11
-5.996273517608643,-4.698579788208008,-1.2976937294006348,discharged,12
-5.0553412437438965,-3.9676268100738525,-1.087714433670044,emitted,12
-6.388711929321289,-5.451239585876465,-0.9374723434448242,emanated,13
-5.818812847137451,-5.284453392028809,-0.5343594551086426,radiated,13
-10.1728515625,-5.652272701263428,-4.520578861236572,discharged,14
-9.789773941040039,-6.101783752441406,-3.687990188598633,emitted,14
-6.827129364013672,-5.628232002258301,-1.198897361755371,emanated,15
-8.332538604736328,-5.270755290985107,-3.0617833137512207,emitted,15
-8.333603858947754,-4.7140421867370605,-3.6195616722106934,discharged,11
-8.503152847290039,-5.239220142364502,-3.263932704925537,emitted,11
-4.955794334411621,-4.4091010093688965,-0.5466933250427246,emanated,12
-4.386322975158691,-4.012438774108887,-0.3738842010498047,radiated,12
-7.712156772613525,-5.609947204589844,-2.1022095680236816,discharged,13
-6.419295310974121,-4.974007606506348,-1.4452877044677734,emitted,13
