active_score,passive_score,pass_drop,verb,frame
-5.607261657714844,-5.968281269073486,0.3610196113586426,benefited,1
-6.860901355743408,-6.2246198654174805,-0.6362814903259277,profited,1
-6.624061584472656,-4.804484844207764,-1.8195767402648926,helped,2
-6.7859296798706055,-4.824597358703613,-1.9613323211669922,strengthened,2
-5.671725273132324,-4.50909423828125,-1.1626310348510742,benefited,3
-6.075834274291992,-5.327286720275879,-0.7485475540161133,profited,3
-6.947542667388916,-4.129500389099121,-2.818042278289795,helped,4
-7.986682891845703,-4.754992961883545,-3.231689929962158,strengthened,4
-5.33417272567749,-3.9855167865753174,-1.3486559391021729,benefited,5
-6.636068820953369,-3.727735996246338,-2.9083328247070312,strengthened,5
-5.74489688873291,-5.482823371887207,-0.2620735168457031,helped,1
-6.0287041664123535,-6.087076663970947,0.05837249755859375,strengthened,1
-7.288168430328369,-5.050113201141357,-2.2380552291870117,benefited,2
-7.468883514404297,-5.174890518188477,-2.2939929962158203,profited,2
-5.337288856506348,-4.26338529586792,-1.0739035606384277,helped,3
-5.771479606628418,-4.386221885681152,-1.3852577209472656,strengthened,3
-6.58847188949585,-4.455469608306885,-2.133002281188965,benefited,4
-7.152683258056641,-4.551924228668213,-2.6007590293884277,profited,4
-6.243828773498535,-3.7472450733184814,-2.4965837001800537,helped,5
-6.436295032501221,-4.061219692230225,-2.375075340270996,profited,5
-6.932447910308838,-6.974644184112549,0.04219627380371094,cost,6
-7.970516204833984,-6.198159217834473,-1.7723569869995117,fetched,6
-7.163498878479004,-5.1863555908203125,-1.9771432876586914,earned,7
-3.2533249855041504,-4.484496593475342,1.2311716079711914,cost,8
-4.285646438598633,-4.153261661529541,-0.1323847770690918,fetched,8
-6.099479675292969,-5.521492004394531,-0.5779876708984375,earned,9
-5.658196926116943,-6.453115940093994,0.7949190139770508,cost,10
-6.172976970672607,-5.544722557067871,-0.6282544136047363,fetched,10
-7.973635673522949,-6.270878791809082,-1.7027568817138672,earned,6
-5.685597896575928,-6.1797943115234375,0.49419641494750977,cost,7
-6.256059646606445,-5.413702964782715,-0.8423566818237305,fetched,7
-4.618621826171875,-3.86299991607666,-0.7556219100952148,earned,8
-5.648077964782715,-6.402065277099609,0.7539873123168945,cost,9
-6.2855048179626465,-5.502969741821289,-0.7825350761413574,fetched,9
-5.501049518585205,-5.1397552490234375,-0.3612942695617676,earned,10
-7.934420585632324,-4.706104755401611,-3.228315830230713,emanated,11
-6.039796352386475,-4.339940071105957,-1.6998562812805176,radiated,11
-5.514423847198486,-4.79489803314209,-0.7195258140563965,discharged,12
-5.0973992347717285,-4.278310775756836,-0.8190884590148926,emitted,12
-7.221850872039795,-5.507122039794922,-1.714728832244873,emanated,13
-5.987600326538086,-5.216056823730469,-0.7715435028076172,radiated,13
-10.22891902923584,-5.387056827545166,-4.841862201690674,discharged,14
-9.147795677185059,-5.77481746673584,-3.3729782104492188,emitted,14
-8.030587196350098,-5.482816219329834,-2.5477709770202637,emanated,15
-7.548343658447266,-5.4222564697265625,-2.126087188720703,emitted,15
-8.59228515625,-4.504775047302246,-4.087510108947754,discharged,11
-8.40203857421875,-5.168529987335205,-3.233508586883545,emitted,11
-5.704550266265869,-4.959897041320801,-0.7446532249450684,emanated,12
-4.7551422119140625,-4.140167236328125,-0.6149749755859375,radiated,12
-7.101853847503662,-5.8829474449157715,-1.2189064025878906,discharged,13
