active_score,passive_score,pass_drop,verb,frame
-6.102522850036621,-5.599564552307129,-0.5029582977294922,benefited,1
-6.125278949737549,-5.835147380828857,-0.2901315689086914,profited,1
-5.901813507080078,-4.835438251495361,-1.0663752555847168,helped,2
-6.406920433044434,-4.60269832611084,-1.8042221069335938,strengthened,2
-5.725011348724365,-4.70217752456665,-1.0228338241577148,benefited,3
-6.377283573150635,-4.984910011291504,-1.3923735618591309,profited,3
-6.701068878173828,-4.215966701507568,-2.4851021766662598,helped,4
-7.967427730560303,-4.773578643798828,-3.1938490867614746,strengthened,4
-6.0528130531311035,-4.693251132965088,-1.3595619201660156,benefited,5
-7.2933759689331055,-4.266817569732666,-3.0265583992004395,strengthened,5
-6.128228187561035,-5.211182594299316,-0.9170455932617188,helped,1
-6.208941459655762,-5.562830448150635,-0.646111011505127,strengthened,1
-6.708913326263428,-4.997025489807129,-1.7118878364562988,benefited,2
-6.231151580810547,-5.147348880767822,-1.0838027000427246,profited,2
-5.5637969970703125,-4.377054691314697,-1.1867423057556152,helped,3
-5.656252861022949,-4.6436686515808105,-1.0125842094421387,strengthened,3
-6.911163330078125,-4.694571495056152,-2.2165918350219727,benefited,4
-6.557740688323975,-4.487463474273682,-2.070277214050293,profited,4
-6.7708330154418945,-4.350050449371338,-2.4207825660705566,helped,5
-6.120170593261719,-4.294967174530029,-1.8252034187316895,profited,5
-7.1959547996521,-7.052800178527832,-0.14315462112426758,cost,6
-7.002874851226807,-6.252599716186523,-0.7502751350402832,fetched,6
-7.187404632568359,-5.265016078948975,-1.9223885536193848,earned,7
-3.0134832859039307,-4.555685043334961,1.5422017574310303,cost,8
-3.9250621795654297,-3.9434661865234375,0.018404006958007812,fetched,8
-5.603575706481934,-5.716116905212402,0.11254119873046875,earned,9
-6.06496524810791,-5.740567207336426,-0.3243980407714844,cost,10
-5.608439922332764,-4.966876983642578,-0.6415629386901855,fetched,10
-7.083073616027832,-6.2552032470703125,-0.8278703689575195,earned,6
-5.685063362121582,-6.41666841506958,0.731605052947998,cost,7
-6.296514511108398,-5.434938430786133,-0.8615760803222656,fetched,7
-4.7539849281311035,-3.820235013961792,-0.9337499141693115,earned,8
-5.569242000579834,-6.370850086212158,0.8016080856323242,cost,9
-5.675464153289795,-5.735369682312012,0.0599055290222168,fetched,9
-6.151032447814941,-4.755278587341309,-1.3957538604736328,earned,10
-6.730206489562988,-5.343266487121582,-1.3869400024414062,emanated,11
-5.9928507804870605,-5.514345169067383,-0.47850561141967773,radiated,11
-5.171445369720459,-4.87254524230957,-0.29890012741088867,discharged,12
-4.103080749511719,-4.100748538970947,-0.0023322105407714844,emitted,12
-7.134294033050537,-5.32957124710083,-1.804722785949707,emanated,13
-6.234888553619385,-5.453072547912598,-0.7818160057067871,radiated,13
-9.819869995117188,-5.4561896324157715,-4.363680362701416,discharged,14
-9.909883499145508,-4.95436954498291,-4.955513954162598,emitted,14
-7.409738540649414,-5.473538398742676,-1.9362001419067383,emanated,15
-7.617120265960693,-5.015949726104736,-2.601170539855957,emitted,15
-8.185523986816406,-5.718401908874512,-2.4671220779418945,discharged,11
-8.475988388061523,-5.506972312927246,-2.9690160751342773,emitted,11
-5.178678512573242,-4.429537296295166,-0.7491412162780762,emanated,12
-4.534318923950195,-4.4758100509643555,-0.058508872985839844,radiated,12
-7.750291347503662,-5.598416328430176,-2.1518750190734863,discharged,13
-6.209906578063965,-4.737425327301025,-1.4724812507629395,emitted,13
-8.354107856750488,-5.138952255249023,-3.215155601501465,emanated,14
-6.75427770614624,-5.250753402709961,-1.5035243034362793,radiated,14
-7.279162406921387,-6.017441272735596,-1.261721134185791,discharged,15
-5.909000396728516,-5.257813930511475,-0.651186466217041,radiated,15
-7.448540210723877,-4.639477252960205,-2.809062957763672,approximated,16
-8.2037992477417,-5.468770503997803,-2.7350287437438965,mirrored,16
-6.21097469329834,-5.594449520111084,-0.6165251731872559,matched,17
-6.332554817199707,-6.131454944610596,-0.20109987258911133,resembled,17
-7.045961380004883,-5.845580577850342,-1.200380802154541,approximated,18
-6.708657741546631,-5.599788188934326,-1.1088695526123047,mirrored,18
-5.531641006469727,-4.287795066833496,-1.2438459396362305,matched,19
-4.7694220542907715,-4.998646259307861,0.22922420501708984,resembled,19
-6.950292110443115,-5.293460369110107,-1.6568317413330078,approximated,20
-5.907238483428955,-6.0513505935668945,0.14411211013793945,resembled,20
-7.4922776222229,-5.177226543426514,-2.3150510787963867,matched,16
-6.997319221496582,-5.503767490386963,-1.4935517311096191,resembled,16
-7.650806903839111,-6.402223110198975,-1.2485837936401367,approximated,17
-6.1788434982299805,-5.820126056671143,-0.3587174415588379,mirrored,17
-6.706811428070068,-6.039583683013916,-0.6672277450561523,matched,18
-6.3797712326049805,-5.518566608428955,-0.8612046241760254,resembled,18
-5.790049076080322,-4.985867977142334,-0.8041810989379883,approximated,19
-5.023678779602051,-4.390265941619873,-0.6334128379821777,mirrored,19
-5.179457664489746,-5.668551921844482,0.48909425735473633,matched,20
-6.441732883453369,-5.538033485412598,-0.9036993980407715,mirrored,20
-5.372876167297363,-5.029496669769287,-0.34337949752807617,required,21
-4.049551486968994,-5.968382835388184,1.9188313484191895,lasted,22
-5.157871246337891,-5.695362567901611,0.5374913215637207,took,22
-5.487390995025635,-5.215406894683838,-0.2719841003417969,required,23
-4.7605085372924805,-5.709991931915283,0.9494833946228027,lasted,24
-5.59859561920166,-5.35552453994751,-0.2430710792541504,took,24
-6.1856842041015625,-6.334811687469482,0.14912748336791992,required,25
-3.707650661468506,-5.396857261657715,1.689206600189209,lasted,21
-3.8575758934020996,-5.032489776611328,1.1749138832092285,took,21
-5.890419006347656,-5.2375288009643555,-0.6528902053833008,required,22
-4.52568244934082,-5.619459629058838,1.0937771797180176,lasted,23
-4.561054229736328,-5.0261030197143555,0.46504878997802734,took,23
