active_score,passive_score,pass_drop,verb,frame
-5.744148254394531,-5.767159461975098,0.023011207580566406,benefited,1
-6.9080047607421875,-5.677815914154053,-1.2301888465881348,profited,1
-7.4431352615356445,-4.76778507232666,-2.6753501892089844,helped,2
-6.748095512390137,-4.81891393661499,-1.9291815757751465,strengthened,2
-5.653540134429932,-4.8533477783203125,-0.8001923561096191,benefited,3
-6.605278491973877,-5.048987865447998,-1.556290626525879,profited,3
-6.364124298095703,-4.112420082092285,-2.251704216003418,helped,4
-7.1731719970703125,-4.655491352081299,-2.5176806449890137,strengthened,4
-5.714049816131592,-4.428697109222412,-1.2853527069091797,benefited,5
-7.101492404937744,-4.030749320983887,-3.0707430839538574,strengthened,5
-5.87061882019043,-5.549726963043213,-0.3208918571472168,helped,1
-6.5842132568359375,-5.776585578918457,-0.8076276779174805,strengthened,1
-7.4187774658203125,-5.361363410949707,-2.0574140548706055,benefited,2
-7.07020378112793,-5.251055717468262,-1.819148063659668,profited,2
-5.811923980712891,-4.36993932723999,-1.4419846534729004,helped,3
-6.203789710998535,-4.519551753997803,-1.6842379570007324,strengthened,3
-6.284125328063965,-4.500187397003174,-1.783937931060791,benefited,4
-6.322128772735596,-4.192999839782715,-2.129128932952881,profited,4
-6.565062522888184,-4.0919952392578125,-2.473067283630371,helped,5
-6.481146335601807,-4.280695915222168,-2.2004504203796387,profited,5
-7.687504768371582,-5.760994911193848,-1.9265098571777344,cost,6
-7.6671462059021,-5.796682357788086,-1.8704638481140137,fetched,6
-7.112835884094238,-5.19480562210083,-1.9180302619934082,earned,7
-3.41308331489563,-3.9586050510406494,0.5455217361450195,cost,8
-4.647059440612793,-3.8869197368621826,-0.7601397037506104,fetched,8
-6.3566484451293945,-5.679412364959717,-0.6772360801696777,earned,9
-6.3267717361450195,-6.226492881774902,-0.10027885437011719,cost,10
-6.496669769287109,-5.380212783813477,-1.1164569854736328,fetched,10
-8.202545166015625,-5.66473388671875,-2.537811279296875,earned,6
-5.672582149505615,-5.7557783126831055,0.08319616317749023,cost,7
-6.474562168121338,-5.387951374053955,-1.0866107940673828,fetched,7
-4.570384502410889,-3.7487988471984863,-0.8215856552124023,earned,8
-5.870701789855957,-5.651998043060303,-0.2187037467956543,cost,9
-6.623659610748291,-5.701389312744141,-0.9222702980041504,fetched,9
-5.611873626708984,-5.162283420562744,-0.44959020614624023,earned,10
-7.857318878173828,-4.943781852722168,-2.91353702545166,emanated,11
