active_score,passive_score,pass_drop,verb,frame
-6.281124114990234,-5.997840881347656,-0.2832832336425781,benefited,1
-6.467998504638672,-5.517087459564209,-0.9509110450744629,profited,1
-6.966865539550781,-4.919651985168457,-2.047213554382324,helped,2
-6.900748252868652,-5.5067548751831055,-1.3939933776855469,strengthened,2
-5.791617393493652,-4.783951759338379,-1.0076656341552734,benefited,3
-5.515085697174072,-4.8458356857299805,-0.6692500114440918,profited,3
-6.958020210266113,-4.040685176849365,-2.917335033416748,helped,4
-8.1345796585083,-4.827456951141357,-3.3071227073669434,strengthened,4
-5.721685409545898,-4.809773921966553,-0.9119114875793457,benefited,5
-7.220789909362793,-4.2181596755981445,-3.0026302337646484,strengthened,5
-6.250568389892578,-5.429501533508301,-0.8210668563842773,helped,1
-6.722413063049316,-6.1392059326171875,-0.5832071304321289,strengthened,1
-7.352971076965332,-5.215096950531006,-2.137874126434326,benefited,2
-8.38729476928711,-4.947250843048096,-3.4400439262390137,profited,2
-5.914078712463379,-4.255463123321533,-1.6586155891418457,helped,3
-5.7859907150268555,-4.633787631988525,-1.15220308303833,strengthened,3
-6.71755838394165,-4.486713409423828,-2.2308449745178223,benefited,4
-7.182122707366943,-4.077369689941406,-3.104753017425537,profited,4
-5.962620735168457,-3.7031190395355225,-2.2595016956329346,helped,5
-6.5716376304626465,-4.42899751663208,-2.1426401138305664,profited,5
-8.942704200744629,-7.616590976715088,-1.326113224029541,cost,6
-9.102639198303223,-7.372677326202393,-1.72996187210083,fetched,6
-7.279843330383301,-5.509188175201416,-1.7706551551818848,earned,7
-3.5682907104492188,-4.2722015380859375,0.7039108276367188,cost,8
-4.673971176147461,-4.0970635414123535,-0.5769076347351074,fetched,8
-6.084099769592285,-5.931191444396973,-0.1529083251953125,earned,9
-6.6613054275512695,-5.825201988220215,-0.8361034393310547,cost,10
-6.619211673736572,-5.391805648803711,-1.2274060249328613,fetched,10
-8.611310958862305,-7.2518205642700195,-1.3594903945922852,earned,6
-6.811087608337402,-6.201114177703857,-0.6099734306335449,cost,7
-6.429351329803467,-5.6675262451171875,-0.7618250846862793,fetched,7
-4.813563823699951,-3.8882763385772705,-0.9252874851226807,earned,8
-6.034470558166504,-6.340798377990723,0.30632781982421875,cost,9
-6.065729141235352,-5.920071601867676,-0.14565753936767578,fetched,9
-6.046000003814697,-4.650021553039551,-1.3959784507751465,earned,10
-7.631479740142822,-5.285261154174805,-2.3462185859680176,emanated,11
-6.146254539489746,-5.038653373718262,-1.1076011657714844,radiated,11
-6.33646297454834,-5.266158103942871,-1.0703048706054688,discharged,12
-5.378749370574951,-4.639074325561523,-0.7396750450134277,emitted,12
-8.3274564743042,-5.559775352478027,-2.767681121826172,emanated,13
-6.775594234466553,-5.090421676635742,-1.6851725578308105,radiated,13
-9.821244239807129,-5.70340633392334,-4.117837905883789,discharged,14
-8.769038200378418,-5.708502769470215,-3.060535430908203,emitted,14
-7.529524326324463,-5.722908020019531,-1.8066163063049316,emanated,15
-8.291064262390137,-5.494051456451416,-2.7970128059387207,emitted,15
-8.518882751464844,-5.547109127044678,-2.971773624420166,discharged,11
-8.536986351013184,-5.703077793121338,-2.8339085578918457,emitted,11
-6.299057960510254,-5.241312503814697,-1.0577454566955566,emanated,12
-5.552596092224121,-4.49617338180542,-1.0564227104187012,radiated,12
-8.484458923339844,-6.11812686920166,-2.3663320541381836,discharged,13
-6.633374214172363,-5.242992877960205,-1.3903813362121582,emitted,13
-7.943469047546387,-5.241262912750244,-2.7022061347961426,emanated,14
-6.816465854644775,-4.934111595153809,-1.8823542594909668,radiated,14
-7.349775791168213,-6.493045330047607,-0.8567304611206055,discharged,15
-7.223741054534912,-5.3781609535217285,-1.8455801010131836,radiated,15
-7.162537097930908,-5.091581344604492,-2.070955753326416,approximated,16
-7.848650932312012,-5.53007173538208,-2.3185791969299316,mirrored,16
-5.698957920074463,-5.238647937774658,-0.4603099822998047,matched,17
-5.428048610687256,-5.247019290924072,-0.1810293197631836,resembled,17
-7.477834224700928,-5.844221115112305,-1.633613109588623,approximated,18
-6.956179141998291,-5.942323207855225,-1.0138559341430664,mirrored,18
-5.312907695770264,-3.909921646118164,-1.4029860496520996,matched,19
-4.6287031173706055,-4.507481575012207,-0.12122154235839844,resembled,19
-6.685662746429443,-6.029687881469727,-0.6559748649597168,approximated,20
-5.4136528968811035,-6.89975643157959,1.4861035346984863,resembled,20
-7.846487522125244,-5.151049613952637,-2.6954379081726074,matched,16
-8.185830116271973,-6.035326957702637,-2.150503158569336,resembled,16
-6.029283046722412,-6.037371635437012,0.00808858871459961,approximated,17
-6.071227073669434,-5.424649238586426,-0.6465778350830078,mirrored,17
-6.6426873207092285,-5.810745716094971,-0.8319416046142578,matched,18
-6.591489315032959,-5.9482598304748535,-0.6432294845581055,resembled,18
-5.9756340980529785,-5.040594100952148,-0.9350399971008301,approximated,19
-5.263449192047119,-4.273025035858154,-0.9904241561889648,mirrored,19
-5.472457408905029,-5.678374767303467,0.2059173583984375,matched,20
-6.031496047973633,-5.872303485870361,-0.15919256210327148,mirrored,20
-5.262986660003662,-4.898079872131348,-0.36490678787231445,required,21
-5.220353126525879,-7.19814395904541,1.9777908325195312,lasted,22
-5.212141513824463,-5.9772868156433105,0.7651453018188477,took,22
-5.5193891525268555,-5.875311374664307,0.35592222213745117,required,23
-4.957041263580322,-6.376152038574219,1.4191107749938965,lasted,24
-5.471551418304443,-5.616883277893066,0.14533185958862305,took,24
-7.318137168884277,-6.643784999847412,-0.6743521690368652,required,25
-4.257500171661377,-5.947823524475098,1.6903233528137207,lasted,21
-4.078896999359131,-4.2368268966674805,0.1579298973083496,took,21
-6.054305553436279,-5.760746002197266,-0.29355955123901367,required,22
