active_score,passive_score,pass_drop,verb,frame
-5.821904182434082,-5.204117774963379,-0.6177864074707031,benefited,1
-6.682096004486084,-5.4857587814331055,-1.1963372230529785,profited,1
-5.99582052230835,-5.035269737243652,-0.9605507850646973,helped,2
-6.333813667297363,-5.322629451751709,-1.0111842155456543,strengthened,2
-5.59670352935791,-4.425633430480957,-1.1710700988769531,benefited,3
-6.588942050933838,-5.160303115844727,-1.4286389350891113,profited,3
-6.516995429992676,-4.0928568840026855,-2.4241385459899902,helped,4
-7.216344356536865,-4.207262992858887,-3.0090813636779785,strengthened,4
-6.1355085372924805,-3.990201473236084,-2.1453070640563965,benefited,5
-6.7800612449646,-3.688387155532837,-3.0916740894317627,strengthened,5
-6.282061576843262,-4.961228847503662,-1.3208327293395996,helped,1
-6.309817314147949,-5.301582336425781,-1.008234977722168,strengthened,1
-6.918141841888428,-5.6447858810424805,-1.2733559608459473,benefited,2
-7.050025939941406,-5.6028666496276855,-1.4471592903137207,profited,2
-5.422085762023926,-4.1040425300598145,-1.3180432319641113,helped,3
-5.691248893737793,-4.352313041687012,-1.3389358520507812,strengthened,3
-6.574328422546387,-4.364292621612549,-2.210035800933838,benefited,4
-6.912530899047852,-4.028268814086914,-2.8842620849609375,profited,4
-6.8260087966918945,-3.792116403579712,-3.0338923931121826,helped,5
-6.7946038246154785,-3.7373557090759277,-3.057248115539551,profited,5
-7.8554887771606445,-7.3594889640808105,-0.495999813079834,cost,6
-8.268988609313965,-6.448095321655273,-1.8208932876586914,fetched,6
-7.098031520843506,-5.128754615783691,-1.9692769050598145,earned,7
-3.3692126274108887,-4.891434192657471,1.522221565246582,cost,8
-4.408054828643799,-3.690023422241211,-0.7180314064025879,fetched,8
-6.411857604980469,-5.766575336456299,-0.6452822685241699,earned,9
-6.555840969085693,-7.037715911865234,0.481874942779541,cost,10
-6.212857723236084,-5.704085826873779,-0.5087718963623047,fetched,10
-8.32610034942627,-6.424427509307861,-1.9016728401184082,earned,6
-6.132164478302002,-6.664155006408691,0.5319905281066895,cost,7
-6.3771843910217285,-4.9988298416137695,-1.378354549407959,fetched,7
-5.1862711906433105,-3.8415234088897705,-1.34474778175354,earned,8
-6.216893196105957,-6.8023600578308105,0.5854668617248535,cost,9
-7.055015563964844,-6.080702304840088,-0.9743132591247559,fetched,9
-6.425248146057129,-5.565269470214844,-0.8599786758422852,earned,10
-6.926967620849609,-4.525931358337402,-2.401036262512207,emanated,11
-6.262453079223633,-4.301107883453369,-1.9613451957702637,radiated,11
-5.981351375579834,-5.118175506591797,-0.8631758689880371,discharged,12
-4.839079856872559,-4.474397659301758,-0.3646821975708008,emitted,12
-6.876376628875732,-5.373061180114746,-1.5033154487609863,emanated,13
-5.878439426422119,-5.623623847961426,-0.25481557846069336,radiated,13
-8.844351768493652,-5.85618257522583,-2.9881691932678223,discharged,14
-10.030853271484375,-5.902543067932129,-4.128310203552246,emitted,14
-7.412295818328857,-5.60789155960083,-1.8044042587280273,emanated,15
-8.786409378051758,-5.250511169433594,-3.535898208618164,emitted,15
