active_score,passive_score,pass_drop,verb,frame
-6.698668003082275,-5.920321941375732,-0.778346061706543,benefited,1
-7.00776481628418,-5.698415279388428,-1.309349536895752,profited,1
-7.2704572677612305,-5.130721092224121,-2.1397361755371094,helped,2
-6.998015403747559,-5.6306586265563965,-1.367356777191162,strengthened,2
-5.491733551025391,-4.859139442443848,-0.632594108581543,benefited,3
-5.905327320098877,-5.070207595825195,-0.8351197242736816,profited,3
-6.794976234436035,-4.162389755249023,-2.6325864791870117,helped,4
-7.56182861328125,-4.8352203369140625,-2.7266082763671875,strengthened,4
-5.726601600646973,-4.913367748260498,-0.8132338523864746,benefited,5
-6.8251752853393555,-4.321633815765381,-2.5035414695739746,strengthened,5
-6.56463623046875,-5.40259313583374,-1.1620430946350098,helped,1
-6.405862331390381,-6.083544731140137,-0.32231760025024414,strengthened,1
-8.08997917175293,-5.332666873931885,-2.757312297821045,benefited,2
-8.751717567443848,-4.998606204986572,-3.7531113624572754,profited,2
-5.778042793273926,-4.293510913848877,-1.4845318794250488,helped,3
-5.7021331787109375,-4.581076622009277,-1.1210565567016602,strengthened,3
-6.756011962890625,-4.595892429351807,-2.1601195335388184,benefited,4
-6.7149505615234375,-4.324301719665527,-2.39064884185791,profited,4
-6.221972465515137,-3.913278818130493,-2.3086936473846436,helped,5
-6.529382228851318,-4.645101070404053,-1.8842811584472656,profited,5
-8.605531692504883,-7.42969274520874,-1.1758389472961426,cost,6
-8.512309074401855,-6.850318431854248,-1.6619906425476074,fetched,6
-7.316213130950928,-5.379767417907715,-1.936445713043213,earned,7
-3.4060254096984863,-4.166565418243408,0.7605400085449219,cost,8
-4.592313766479492,-3.8762900829315186,-0.7160236835479736,fetched,8
-6.0504279136657715,-5.856022834777832,-0.19440507888793945,earned,9
-6.623344421386719,-6.128276824951172,-0.4950675964355469,cost,10
-6.705415725708008,-5.477588176727295,-1.227827548980713,fetched,10
-8.280293464660645,-6.945906639099121,-1.3343868255615234,earned,6
-6.606636047363281,-6.107658386230469,-0.4989776611328125,cost,7
-6.638031005859375,-5.176425457000732,-1.4616055488586426,fetched,7
-4.708465576171875,-3.805492401123047,-0.9029731750488281,earned,8
-6.046939849853516,-6.349125385284424,0.3021855354309082,cost,9
-5.789287567138672,-5.763757228851318,-0.025530338287353516,fetched,9
-6.053643226623535,-4.724251747131348,-1.3293914794921875,earned,10
-7.229367256164551,-5.1755218505859375,-2.0538454055786133,emanated,11
-6.178511619567871,-5.262022018432617,-0.9164896011352539,radiated,11
-6.04968786239624,-5.50728178024292,-0.5424060821533203,discharged,12
-4.7593607902526855,-4.714794635772705,-0.04456615447998047,emitted,12
-7.762994766235352,-5.422184467315674,-2.3408102989196777,emanated,13
-6.527002811431885,-5.2120795249938965,-1.3149232864379883,radiated,13
-10.250478744506836,-6.028403282165527,-4.222075462341309,discharged,14
-9.218706130981445,-6.1168212890625,-3.1018848419189453,emitted,14
-7.8155035972595215,-6.053513526916504,-1.7619900703430176,emanated,15
-8.57975959777832,-5.443743705749512,-3.1360158920288086,emitted,15
-8.406813621520996,-5.484130382537842,-2.9226832389831543,discharged,11
-8.893598556518555,-5.980423450469971,-2.913175106048584,emitted,11
-5.99141788482666,-5.243129730224609,-0.7482881546020508,emanated,12
-5.523484230041504,-4.438093662261963,-1.085390567779541,radiated,12
-8.44956111907959,-6.06754732131958,-2.3820137977600098,discharged,13
-6.419978141784668,-5.155270099639893,-1.2647080421447754,emitted,13
-7.844224452972412,-5.505073070526123,-2.339151382446289,emanated,14
-6.802685737609863,-5.210330963134766,-1.5923547744750977,radiated,14
-7.728179931640625,-6.385493278503418,-1.342686653137207,discharged,15
-7.752013683319092,-5.442318916320801,-2.309694766998291,radiated,15
-6.693832874298096,-4.869395732879639,-1.824437141418457,approximated,16
-7.859034061431885,-5.597233295440674,-2.261800765991211,mirrored,16
-5.151745796203613,-5.451003074645996,0.2992572784423828,matched,17
-5.423748970031738,-5.524191379547119,0.10044240951538086,resembled,17
-7.168525218963623,-5.840732574462891,-1.3277926445007324,approximated,18
-7.108511447906494,-5.8814167976379395,-1.2270946502685547,mirrored,18
-5.0915398597717285,-3.8191845417022705,-1.272355318069458,matched,19
-4.6043596267700195,-4.311685085296631,-0.29267454147338867,resembled,19
-6.506879806518555,-5.665239334106445,-0.8416404724121094,approximated,20
-5.606125831604004,-7.035332202911377,1.429206371307373,resembled,20
-7.504225730895996,-5.366311073303223,-2.1379146575927734,matched,16
-8.1278715133667,-6.129855632781982,-1.9980158805847168,resembled,16
-5.355764865875244,-5.766757965087891,0.4109930992126465,approximated,17
-5.866755485534668,-5.540961265563965,-0.3257942199707031,mirrored,17
-6.7514166831970215,-6.031327724456787,-0.7200889587402344,matched,18
-6.671497344970703,-6.057933807373047,-0.6135635375976562,resembled,18
-5.917551040649414,-4.639217376708984,-1.2783336639404297,approximated,19
-4.947429656982422,-4.088901042938232,-0.8585286140441895,mirrored,19
-5.612041473388672,-5.6483306884765625,0.036289215087890625,matched,20
-5.76035737991333,-5.785601615905762,0.02524423599243164,mirrored,20
-5.432407379150391,-5.248812198638916,-0.1835951805114746,required,21
-5.197192192077637,-7.286938190460205,2.0897459983825684,lasted,22
-5.101701259613037,-6.153494358062744,1.051793098449707,took,22
-5.352871417999268,-5.124057292938232,-0.22881412506103516,required,23
-5.055300712585449,-6.652098655700684,1.5967979431152344,lasted,24
-5.627094268798828,-5.756193161010742,0.12909889221191406,took,24
-7.401398658752441,-6.6291184425354,-0.772280216217041,required,25
-4.534979343414307,-6.25217342376709,1.7171940803527832,lasted,21
-4.278752326965332,-4.462906837463379,0.18415451049804688,took,21
-6.402608394622803,-5.941108703613281,-0.4614996910095215,required,22
-4.364897727966309,-7.204665660858154,2.8397679328918457,lasted,23
-4.501738548278809,-4.903702735900879,0.4019641876220703,took,23
-6.665236473083496,-5.669715881347656,-0.9955205917358398,required,24
-5.878228187561035,-7.672001361846924,1.7937731742858887,lasted,25
-5.428746223449707,-6.572920322418213,1.1441740989685059,took,25
-6.411286354064941,-4.4185357093811035,-1.992750644683838,hit,26
-4.835633277893066,-6.464940547943115,1.6293072700500488,hit,26
-5.464471817016602,-4.4894795417785645,-0.9749922752380371,hit,26
-5.444164276123047,-5.095401287078857,-0.34876298904418945,pushed,27
-7.489105224609375,-5.453553199768066,-2.0355520248413086,pushed,27
-6.87917423248291,-4.9841814041137695,-1.8949928283691406,washed,28
-7.021082878112793,-4.895384788513184,-2.1256980895996094,washed,28
-6.488206386566162,-5.360820293426514,-1.1273860931396484,washed,28
-5.488290786743164,-5.550648212432861,0.062357425689697266,dropped,29
-7.242907524108887,-5.3155083656311035,-1.9273991584777832,dropped,29
-7.063788414001465,-4.785416603088379,-2.278371810913086,carried,30
-4.384594440460205,-5.391387939453125,1.00679349899292,carried,30
-6.249825954437256,-4.859612941741943,-1.3902130126953125,hit,26
-5.985409736633301,-4.800347328186035,-1.1850624084472656,hit,26
-7.234868049621582,-5.220932960510254,-2.013935089111328,pushed,27
-6.5970001220703125,-4.9005584716796875,-1.696441650390625,pushed,27
-5.618675231933594,-4.171071529388428,-1.447603702545166,pushed,27
-6.091710090637207,-5.484826564788818,-0.6068835258483887,washed,28
-5.484023571014404,-5.956019878387451,0.4719963073730469,washed,28
-6.374257564544678,-5.458498477935791,-0.9157590866088867,dropped,29
-6.179850101470947,-5.054087162017822,-1.125762939453125,dropped,29
-5.3308000564575195,-5.976269245147705,0.6454691886901855,dropped,29
-6.68561315536499,-4.004847049713135,-2.6807661056518555,carried,30
-5.609127998352051,-4.868333339691162,-0.7407946586608887,carried,30
-6.274557590484619,-5.674642086029053,-0.5999155044555664,carried,30
-5.46469783782959,-4.171716213226318,-1.2929816246032715,saw,31
-5.490872383117676,-5.951224327087402,0.46035194396972656,saw,31
-5.050766944885254,-6.048663139343262,0.9978961944580078,saw,31
-5.18662166595459,-4.269120693206787,-0.9175009727478027,heard,32
-6.271262168884277,-5.461319446563721,-0.8099427223205566,heard,32
-6.062911033630371,-4.4121880531311035,-1.6507229804992676,knew,33
-5.975081443786621,-5.652946949005127,-0.32213449478149414,knew,33
-4.8800368309021,-5.246461391448975,0.366424560546875,knew,33
-5.829713344573975,-4.722625732421875,-1.1070876121520996,liked,34
-6.342253684997559,-4.765575885772705,-1.5766777992248535,liked,34
-6.430052757263184,-4.121537208557129,-2.3085155487060547,remembered,35
-7.395227909088135,-6.421900272369385,-0.97332763671875,remembered,35
-6.370760440826416,-6.069937229156494,-0.3008232116699219,remembered,35
-6.810023307800293,-5.279162883758545,-1.530860424041748,saw,31
-6.055560111999512,-5.0660834312438965,-0.9894766807556152,saw,31
-6.174242973327637,-4.2810587882995605,-1.8931841850280762,heard,32
-6.363276481628418,-6.0799479484558105,-0.2833285331726074,heard,32
-4.2282538414001465,-5.632338523864746,1.4040846824645996,heard,32
-6.00415563583374,-4.6815361976623535,-1.3226194381713867,knew,33
-5.652805328369141,-5.5602288246154785,-0.09257650375366211,knew,33
-6.372183322906494,-4.011267185211182,-2.3609161376953125,liked,34
-6.09311580657959,-5.577201843261719,-0.5159139633178711,liked,34
-5.092594146728516,-5.603817462921143,0.511223316192627,liked,34
-6.942714691162109,-5.197098255157471,-1.7456164360046387,remembered,35
-6.822401523590088,-5.890392303466797,-0.932009220123291,remembered,35
