active_score,passive_score,pass_drop,verb,frame
-6.206549644470215,-5.831947326660156,-0.3746023178100586,benefited,1
-6.208835601806641,-5.754769802093506,-0.45406579971313477,profited,1
-6.949287414550781,-5.043879985809326,-1.905407428741455,helped,2
-6.674854278564453,-5.430083274841309,-1.2447710037231445,strengthened,2
-5.649509429931641,-4.158329010009766,-1.491180419921875,benefited,3
-6.560179233551025,-5.413430213928223,-1.1467490196228027,profited,3
-6.892431735992432,-4.246861457824707,-2.6455702781677246,helped,4
-8.177787780761719,-4.745987892150879,-3.43179988861084,strengthened,4
-5.880721092224121,-4.27149772644043,-1.6092233657836914,benefited,5
-7.418862342834473,-3.966841459274292,-3.4520208835601807,strengthened,5
-5.927873134613037,-5.754821300506592,-0.1730518341064453,helped,1
-6.290181636810303,-6.153737545013428,-0.136444091796875,strengthened,1
-7.502928733825684,-5.486354351043701,-2.0165743827819824,benefited,2
-7.263185977935791,-5.913643836975098,-1.3495421409606934,profited,2
-5.59877872467041,-4.033321857452393,-1.5654568672180176,helped,3
-5.684605598449707,-4.252237319946289,-1.432368278503418,strengthened,3
-6.762022495269775,-4.589969635009766,-2.1720528602600098,benefited,4
-6.580130100250244,-3.976897716522217,-2.6032323837280273,profited,4
-5.9638237953186035,-3.946762800216675,-2.0170609951019287,helped,5
-5.936515808105469,-3.9830634593963623,-1.9534523487091064,profited,5
-8.92776870727539,-7.275604248046875,-1.6521644592285156,cost,6
-8.267169952392578,-6.5934319496154785,-1.6737380027770996,fetched,6
-7.142930030822754,-4.880641460418701,-2.2622885704040527,earned,7
-3.492504596710205,-4.494661331176758,1.0021567344665527,cost,8
-4.4437456130981445,-4.227474689483643,-0.21627092361450195,fetched,8
-6.276782035827637,-5.406018257141113,-0.8707637786865234,earned,9
-6.396939277648926,-7.125115871429443,0.7281765937805176,cost,10
-6.609078884124756,-5.689938545227051,-0.9191403388977051,fetched,10
-9.097274780273438,-6.377103328704834,-2.7201714515686035,earned,6
-5.9617018699646,-5.883153438568115,-0.07854843139648438,cost,7
-5.623055934906006,-5.155309677124023,-0.4677462577819824,fetched,7
-4.9907546043396,-3.6184260845184326,-1.372328519821167,earned,8
-5.645715236663818,-6.17814302444458,0.5324277877807617,cost,9
-6.53419828414917,-5.490138053894043,-1.044060230255127,fetched,9
-6.147946357727051,-5.3836669921875,-0.7642793655395508,earned,10
-6.85495662689209,-4.639015197753906,-2.2159414291381836,emanated,11
-5.225212574005127,-4.848857879638672,-0.3763546943664551,radiated,11
-5.84190034866333,-4.754528522491455,-1.087371826171875,discharged,12
-4.414132118225098,-4.440000534057617,0.02586841583251953,emitted,12
-6.368566036224365,-5.433106899261475,-0.9354591369628906,emanated,13
-5.963465213775635,-5.680457592010498,-0.2830076217651367,radiated,13
-9.505131721496582,-6.239051818847656,-3.266079902648926,discharged,14
-9.051240921020508,-6.15221643447876,-2.899024486541748,emitted,14
-7.66900634765625,-5.980006694793701,-1.6889996528625488,emanated,15
-8.408124923706055,-5.509974956512451,-2.8981499671936035,emitted,15
-9.573480606079102,-5.914534568786621,-3.6589460372924805,discharged,11
-8.895129203796387,-5.254234313964844,-3.640894889831543,emitted,11
-5.669983863830566,-4.846584320068359,-0.823399543762207,emanated,12
-4.782673358917236,-4.442261695861816,-0.3404116630554199,radiated,12
-7.615870475769043,-5.998964786529541,-1.616905689239502,discharged,13
-6.231531620025635,-4.8426899909973145,-1.3888416290283203,emitted,13
-6.5487518310546875,-5.478798866271973,-1.0699529647827148,emanated,14
-6.854634761810303,-5.758410453796387,-1.096224308013916,radiated,14
-7.956511497497559,-6.576632022857666,-1.3798794746398926,discharged,15
-7.2671990394592285,-5.400393486022949,-1.8668055534362793,radiated,15
-8.64421272277832,-5.057021141052246,-3.587191581726074,approximated,16
-8.788352012634277,-5.703857421875,-3.0844945907592773,mirrored,16
-6.575374603271484,-5.316830635070801,-1.2585439682006836,matched,17
-6.4176788330078125,-5.298666477203369,-1.1190123558044434,resembled,17
-6.9173126220703125,-5.3809895515441895,-1.536323070526123,approximated,18
-7.7293219566345215,-6.113335132598877,-1.6159868240356445,mirrored,18
-6.1289167404174805,-4.3667120933532715,-1.762204647064209,matched,19
-5.131344318389893,-4.4247565269470215,-0.7065877914428711,resembled,19
-6.40862512588501,-5.72154426574707,-0.6870808601379395,approximated,20
-6.636283874511719,-6.234161853790283,-0.40212202072143555,resembled,20
-7.728778839111328,-5.851899147033691,-1.8768796920776367,matched,16
-7.879626274108887,-5.965195655822754,-1.9144306182861328,resembled,16
-6.4211506843566895,-5.410041332244873,-1.0111093521118164,approximated,17
-7.708294868469238,-5.619614601135254,-2.0886802673339844,mirrored,17
-7.5185418128967285,-5.704055309295654,-1.8144865036010742,matched,18
-6.571648597717285,-5.575231075286865,-0.9964175224304199,resembled,18
-5.8761820793151855,-4.1218791007995605,-1.754302978515625,approximated,19
-6.08190393447876,-4.723258018493652,-1.3586459159851074,mirrored,19
-5.8932905197143555,-5.635262489318848,-0.2580280303955078,matched,20
-7.0567731857299805,-5.828304290771484,-1.228468894958496,mirrored,20
-5.417903423309326,-5.318894386291504,-0.09900903701782227,required,21
-4.740062236785889,-7.310696125030518,2.570633888244629,lasted,22
-5.309739112854004,-5.83778715133667,0.528048038482666,took,22
-5.692049980163574,-5.733928203582764,0.04187822341918945,required,23
-5.307589054107666,-5.714900970458984,0.40731191635131836,lasted,24
-6.346325397491455,-4.390325546264648,-1.9559998512268066,took,24
-6.6744585037231445,-6.729956150054932,0.05549764633178711,required,25
-3.8532962799072266,-6.569619178771973,2.716322898864746,lasted,21
-3.9753947257995605,-4.359316349029541,0.38392162322998047,took,21
-5.674948215484619,-5.915863037109375,0.24091482162475586,required,22
-4.824397087097168,-7.250845909118652,2.4264488220214844,lasted,23
-4.673219203948975,-4.927724361419678,0.2545051574707031,took,23
-6.475171089172363,-4.6722893714904785,-1.8028817176818848,required,24
-5.229662895202637,-7.849649906158447,2.6199870109558105,lasted,25
-5.493640899658203,-5.876339912414551,0.38269901275634766,took,25
-6.7957024574279785,-5.007023334503174,-1.7886791229248047,hit,26
-5.300909996032715,-5.713709354400635,0.4127993583679199,hit,26
-5.456744194030762,-4.322245121002197,-1.1344990730285645,hit,26
-5.710455894470215,-5.181522846221924,-0.528933048248291,pushed,27
-7.302781105041504,-5.298149108886719,-2.004631996154785,pushed,27
-6.648722171783447,-5.920773983001709,-0.7279481887817383,washed,28
-6.750571250915527,-5.234830379486084,-1.5157408714294434,washed,28
-5.922406196594238,-6.313107013702393,0.3907008171081543,washed,28
-6.230388641357422,-5.135876655578613,-1.0945119857788086,dropped,29
