active_score,passive_score,pass_drop,verb,frame
-6.1586127281188965,-5.663233280181885,-0.4953794479370117,benefited,1
-6.345064640045166,-5.579463958740234,-0.7656006813049316,profited,1
-6.325439453125,-4.899394989013672,-1.4260444641113281,helped,2
-6.982983589172363,-5.143620014190674,-1.8393635749816895,strengthened,2
-5.744612693786621,-4.833824157714844,-0.9107885360717773,benefited,3
-6.728280544281006,-5.076540946960449,-1.6517395973205566,profited,3
-6.809680938720703,-4.511539459228516,-2.2981414794921875,helped,4
-7.620054721832275,-4.767399787902832,-2.8526549339294434,strengthened,4
-5.508131504058838,-4.424011707305908,-1.0841197967529297,benefited,5
-7.161539554595947,-3.9124362468719482,-3.249103307723999,strengthened,5
-6.2790045738220215,-5.061127185821533,-1.2178773880004883,helped,1
-6.099992275238037,-5.671252727508545,-0.4287395477294922,strengthened,1
-7.851654052734375,-5.552093505859375,-2.299560546875,benefited,2
-8.250716209411621,-5.646512985229492,-2.604203224182129,profited,2
-5.4233717918396,-4.06412935256958,-1.3592424392700195,helped,3
-5.386990070343018,-4.467311859130859,-0.9196782112121582,strengthened,3
-6.892346382141113,-4.839142799377441,-2.053203582763672,benefited,4
-6.479720592498779,-4.4546403884887695,-2.0250802040100098,profited,4
-6.366456508636475,-4.03921365737915,-2.327242851257324,helped,5
-6.0062737464904785,-3.96519136428833,-2.0410823822021484,profited,5
-8.193163871765137,-7.520401954650879,-0.6727619171142578,cost,6
-7.765160083770752,-7.025506496429443,-0.7396535873413086,fetched,6
-6.682126045227051,-5.047610759735107,-1.6345152854919434,earned,7
-3.323690176010132,-4.400365352630615,1.0766751766204834,cost,8
-4.082709789276123,-4.206645965576172,0.12393617630004883,fetched,8
-5.780023097991943,-5.060082912445068,-0.719940185546875,earned,9
-6.314976692199707,-6.297276020050049,-0.017700672149658203,cost,10
-5.69127082824707,-5.549152374267578,-0.1421184539794922,fetched,10
-7.857962131500244,-6.947373867034912,-0.910588264465332,earned,6
-5.295196056365967,-6.314350605010986,1.0191545486450195,cost,7
-5.800140380859375,-5.397637367248535,-0.40250301361083984,fetched,7
-4.338520526885986,-3.7371935844421387,-0.6013269424438477,earned,8
-6.252406597137451,-5.7059478759765625,-0.5464587211608887,cost,9
-6.410575866699219,-5.255702972412109,-1.1548728942871094,fetched,9
-6.015324592590332,-4.881160259246826,-1.1341643333435059,earned,10
-8.23078441619873,-4.924942970275879,-3.3058414459228516,emanated,11
-6.525559902191162,-4.5747785568237305,-1.9507813453674316,radiated,11
-5.9039154052734375,-4.851438045501709,-1.0524773597717285,discharged,12
-5.245386600494385,-4.1186203956604,-1.1267662048339844,emitted,12
-7.475543975830078,-5.479727268218994,-1.995816707611084,emanated,13
-6.357517242431641,-5.4018049240112305,-0.9557123184204102,radiated,13
-10.143242835998535,-5.7227783203125,-4.420464515686035,discharged,14
-9.235261917114258,-6.404873847961426,-2.830388069152832,emitted,14
-7.94983434677124,-5.058460235595703,-2.891374111175537,emanated,15
-8.654943466186523,-4.8637590408325195,-3.791184425354004,emitted,15
