active_score,passive_score,pass_drop,verb,frame
-5.5751447677612305,-5.997440814971924,0.42229604721069336,benefited,1
-5.833238124847412,-5.666221618652344,-0.16701650619506836,profited,1
-6.473197937011719,-4.927128791809082,-1.5460691452026367,helped,2
-6.7828826904296875,-4.968140602111816,-1.814742088317871,strengthened,2
-5.163236141204834,-4.762175559997559,-0.4010605812072754,benefited,3
-5.482594966888428,-4.87451171875,-0.6080832481384277,profited,3
-6.986058235168457,-4.109503269195557,-2.8765549659729004,helped,4
-7.69879674911499,-4.802209377288818,-2.896587371826172,strengthened,4
-5.800273418426514,-4.409832954406738,-1.3904404640197754,benefited,5
-7.328583717346191,-3.9786152839660645,-3.349968433380127,strengthened,5
-5.899648189544678,-5.601518154144287,-0.2981300354003906,helped,1
-5.924948215484619,-5.969781398773193,0.04483318328857422,strengthened,1
-7.1283063888549805,-5.38950252532959,-1.7388038635253906,benefited,2
-6.6221795082092285,-4.729825019836426,-1.8923544883728027,profited,2
-5.310591697692871,-4.3708062171936035,-0.9397854804992676,helped,3
-5.171139717102051,-4.573239803314209,-0.5978999137878418,strengthened,3
-6.618499755859375,-4.555869102478027,-2.0626306533813477,benefited,4
-6.009130001068115,-4.180075645446777,-1.829054355621338,profited,4
-6.854936122894287,-4.012683391571045,-2.842252731323242,helped,5
-6.228696346282959,-4.191376209259033,-2.037320137023926,profited,5
-7.9400787353515625,-6.398882865905762,-1.5411958694458008,cost,6
-8.243770599365234,-5.733756065368652,-2.510014533996582,fetched,6
-6.516302585601807,-5.2330098152160645,-1.2832927703857422,earned,7
-3.2444097995758057,-4.418860912322998,1.1744511127471924,cost,8
-4.56822395324707,-3.9973652362823486,-0.5708587169647217,fetched,8
-6.886726379394531,-5.416662693023682,-1.4700636863708496,earned,9
-6.135289669036865,-6.349059581756592,0.21376991271972656,cost,10
-6.435792922973633,-5.141152858734131,-1.294640064239502,fetched,10
-8.347539901733398,-5.742650032043457,-2.6048898696899414,earned,6
-5.3786115646362305,-6.052714824676514,0.6741032600402832,cost,7
-6.040772914886475,-5.122347354888916,-0.9184255599975586,fetched,7
-4.289230823516846,-3.7783491611480713,-0.5108816623687744,earned,8
-5.984025001525879,-5.915801048278809,-0.06822395324707031,cost,9
-6.857917308807373,-5.512514114379883,-1.3454031944274902,fetched,9
-5.976637363433838,-4.903353691101074,-1.0732836723327637,earned,10
-7.861090660095215,-4.637497901916504,-3.223592758178711,emanated,11
-6.422310829162598,-4.378313064575195,-2.0439977645874023,radiated,11
-5.173439025878906,-4.84321928024292,-0.33021974563598633,discharged,12
-4.315981864929199,-4.518094062805176,0.20211219787597656,emitted,12
-7.204260349273682,-5.687403202056885,-1.5168571472167969,emanated,13
-6.516507625579834,-5.50975227355957,-1.0067553520202637,radiated,13
-9.886796951293945,-5.603371620178223,-4.283425331115723,discharged,14
-9.336291313171387,-5.847939968109131,-3.488351345062256,emitted,14
-7.52233362197876,-5.165577411651611,-2.3567562103271484,emanated,15
-7.522151947021484,-5.189327716827393,-2.332824230194092,emitted,15
-8.692042350769043,-4.666846752166748,-4.025195598602295,discharged,11
-8.284399032592773,-5.139472961425781,-3.144926071166992,emitted,11
-5.243613243103027,-4.986876487731934,-0.25673675537109375,emanated,12
-4.4569549560546875,-4.788113594055176,0.3311586380004883,radiated,12
-7.4950103759765625,-6.326228141784668,-1.1687822341918945,discharged,13
-6.898646354675293,-5.4637932777404785,-1.4348530769348145,emitted,13
-8.934812545776367,-5.423086643218994,-3.511725902557373,emanated,14
-7.743127346038818,-5.237565517425537,-2.5055618286132812,radiated,14
-8.221386909484863,-6.195904731750488,-2.025482177734375,discharged,15
-7.689321041107178,-5.13218879699707,-2.5571322441101074,radiated,15
-7.1488494873046875,-4.817808628082275,-2.331040859222412,approximated,16
-8.270537376403809,-5.433035373687744,-2.8375020027160645,mirrored,16
-5.544279098510742,-5.060883522033691,-0.4833955764770508,matched,17
-5.6240386962890625,-5.489837646484375,-0.1342010498046875,resembled,17
-6.409181118011475,-5.782810688018799,-0.6263704299926758,approximated,18
-7.374056339263916,-6.388383388519287,-0.9856729507446289,mirrored,18
-5.494142055511475,-3.795365810394287,-1.6987762451171875,matched,19
-5.6346540451049805,-4.646461009979248,-0.9881930351257324,resembled,19
-6.140665531158447,-5.425492763519287,-0.7151727676391602,approximated,20
-6.539236545562744,-7.096675395965576,0.557438850402832,resembled,20
-7.3446044921875,-4.7288641929626465,-2.6157402992248535,matched,16
-7.86920166015625,-6.58213472366333,-1.28706693649292,resembled,16
-5.750645160675049,-5.469457626342773,-0.2811875343322754,approximated,17
-6.462272644042969,-5.622855186462402,-0.8394174575805664,mirrored,17
-6.632241249084473,-5.577264308929443,-1.0549769401550293,matched,18
-6.9667534828186035,-6.079355716705322,-0.8873977661132812,resembled,18
-5.367103576660156,-4.359219551086426,-1.0078840255737305,approximated,19
-5.49371337890625,-4.4477362632751465,-1.0459771156311035,mirrored,19
-5.936164855957031,-5.622656345367432,-0.3135085105895996,matched,20
-6.892972469329834,-6.071850299835205,-0.8211221694946289,mirrored,20
-5.218836784362793,-4.958495140075684,-0.2603416442871094,required,21
-4.659844398498535,-6.617427349090576,1.957582950592041,lasted,22
-5.552224636077881,-5.455843448638916,-0.09638118743896484,took,22
-5.4706501960754395,-5.234438896179199,-0.23621129989624023,required,23
-5.121194362640381,-5.646391868591309,0.5251975059509277,lasted,24
-5.967853546142578,-4.904989242553711,-1.0628643035888672,took,24
-6.828176021575928,-6.74030065536499,-0.0878753662109375,required,25
-4.4633026123046875,-5.907393932342529,1.4440913200378418,lasted,21
-4.1127190589904785,-4.836822032928467,0.7241029739379883,took,21
-5.354422569274902,-5.442630290985107,0.08820772171020508,required,22
-4.486721992492676,-6.406264305114746,1.9195423126220703,lasted,23
-4.396868705749512,-4.795050621032715,0.3981819152832031,took,23
-5.917934417724609,-5.1847662925720215,-0.7331681251525879,required,24
-5.70916748046875,-7.4828901290893555,1.7737226486206055,lasted,25
-5.614348888397217,-6.372520446777344,0.758171558380127,took,25
-6.383707523345947,-4.39852237701416,-1.985185146331787,hit,26
-5.141429901123047,-5.657986164093018,0.5165562629699707,hit,26
-5.1243414878845215,-4.155515193939209,-0.9688262939453125,hit,26
-6.054266929626465,-4.659877300262451,-1.3943896293640137,pushed,27
-8.179356575012207,-4.956453800201416,-3.222902774810791,pushed,27
-6.990708827972412,-5.274630069732666,-1.716078758239746,washed,28
-6.69802713394165,-5.050490379333496,-1.6475367546081543,washed,28
-6.866372585296631,-5.523473262786865,-1.3428993225097656,washed,28
-5.657184600830078,-4.753490924835205,-0.903693675994873,dropped,29
-7.061892032623291,-4.987895488739014,-2.0739965438842773,dropped,29
-6.500113010406494,-4.157814979553223,-2.3422980308532715,carried,30
-5.435922622680664,-4.879256248474121,-0.556666374206543,carried,30
-6.133742809295654,-4.473183631896973,-1.6605591773986816,hit,26
-6.918412208557129,-4.848873615264893,-2.0695385932922363,hit,26
-6.9665327072143555,-4.811007976531982,-2.155524730682373,pushed,27
-6.688561916351318,-4.7686357498168945,-1.9199261665344238,pushed,27
-6.203478813171387,-4.329673767089844,-1.873805046081543,pushed,27
-6.319332122802734,-5.108157157897949,-1.2111749649047852,washed,28
-7.466392517089844,-5.778450965881348,-1.687941551208496,washed,28
-6.299516201019287,-4.770724296569824,-1.528791904449463,dropped,29
-6.105935096740723,-4.616806983947754,-1.4891281127929688,dropped,29
-6.018702030181885,-5.411911964416504,-0.6067900657653809,dropped,29
-6.6175127029418945,-4.279773712158203,-2.3377389907836914,carried,30
-5.227608680725098,-4.7663702964782715,-0.46123838424682617,carried,30
-6.289253234863281,-5.304270267486572,-0.984982967376709,carried,30
-5.680215358734131,-4.328611850738525,-1.3516035079956055,saw,31
